dc.type.full,dc.identifier.uri,dc.date.issued,dc.title,dc.authority.people
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532245,2004,Edmund Husserl. Fenomenologia e teoria della conoscenza,"VOLONTE', PAOLO GAETANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532346,2004,Solution oriented partnership. How to design industrialised sustainable solutions,"MANZINI, EZIO;COLLINA, LUISA MARIA VIRGINIA;STEVE EVANS"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532533,2004,Progetto giovane,"SIMONELLI, GIULIANO;BARONI D."
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532706,2004,Design della comunicazione ed esperienze di acquisto,"BUCCHETTI, VALERIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/554612,2004,"Sapere, immaginare, fare: il design d’innovazione per l’elettrodomestico. Formazione post-lauream per il design dei prodotti a media complessità","RAMPINO, LUCIA ROSA ELENA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/554653,2004,Design e finitura dei compositi derivati dal legno,"INGARAMO, MATTEO ORESTE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/563132,2004,Interaction Design,"RIZZO, FRANCESCA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/641735,2004,“SENTIERI NELL’ARTE”. Il contemporaneo nel paesaggio toscano,"MAZZANTI, ANNA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/243592,2005,Gesticolando. cenni sulla diversità,"CRIPPA, DAVIDE;DI PRETE, BARBARA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/251057,2005,Packaging design,"BUCCHETTI, VALERIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/261995,2005,"Designing Designers: Designing Hospitality- Visions, scenarios, systems, services, spaces and products","COLLINA, LUISA MARIA VIRGINIA;SCULLICA, FRANCESCO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/266768,2005,ManteroMood. Moviedesign for the silk concepì store La Tessitura_Como,"GALBIATI, MARIA LUISA;PIREDDA, FRANCESCA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/268961,2005,"Methodology for Product Service System. How to develop clean, clever and competitive strategies in companies","C. Van Halen;VEZZOLI, CARLO ARNALDO;R. Wimmer"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/274162,2005,Performance. Designing for a cultural challange,"CRESPI, LUCIANO;PICCINNO, GIOVANNA;REBAGLIO, AGNESE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532294,2005,Costruire imbarcazioni da diporto. Esperienze in cantiere,"PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA;MAGGIULLI F."
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532316,2005,Materiali e Design,"ROGNOLI, VALENTINA;PEDEFERRI, MARIAPIA;DEL CURTO, BARBARA;LEVI, MARINELLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532352,2005,"Design, imprese, distretti. Un approccio all'innovazione","ARQUILLA, VENANZIO;VIGNATI, ARIANNA;SIMONELLI, GIULIANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532388,2005,La semiotica e le arti utili in undici dialoghi,"ZINGALE, SALVATORE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532437,2005,Il progetto in Biodesign. La costruzione di un percorso,"CANINA, MARIA RITA;VICENTINI, FEDERICO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532543,2005,"KIWI, Knowledge Interaction Web Instruction","COLORNI VITALE, ALBERTO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532575,2005,Costruire imbarcazioni da diporto - Esperienze in cantiere,"PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA;F. MAGGIULLI"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532707,2005,La coda della Q. 50 marchi per la Fondazione Quarta,"BUCCHETTI, VALERIA LUISA;MINOGGIO, MAURIZIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/553865,2005,"Hard Design. Il Product Design oggi, tra innovazione e creatività","INGARAMO, MATTEO ORESTE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/662196,2005,ManteroMood. Movie design for the silk concept La Tessitura_Como,"GALBIATI, MARIA LUISA;PIREDDA, FRANCESCA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/691044,2005,Le case nella Triennale. Dal Parco al QT8,"CIAGA', GRAZIELLA LEYLA;TONON, GRAZIELLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/691292,2005,La semiotica e le arti utili in undici dialoghi,"ZINGALE, SALVATORE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/692782,2005,Luciano Baldessari e Milano. Progetti e realizzazioni in Lombardia,"CIAGA', GRAZIELLA LEYLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/694273,2005,Materiali e Design,"LEVI, MARINELLA;PEDEFERRI, MARIAPIA;DEL CURTO, BARBARA;ROGNOLI, VALENTINA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/242885,2006,La luce come strumento di progetto,"ROSSI, MAURIZIO;SEASSARO, ALBERTO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/269198,2006,"KIWI, Knowledge Interaction Web Instruction","COLORNI VITALE, ALBERTO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532241,2006,Comunicare le identità. Percorsi della soggettività nell'età contemporanea,"L. BOVONE;VOLONTE', PAOLO GAETANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532273,2006,Books. The future of reading?,"CRESPI, LUCIANO;PICCINNO, GIOVANNA;REBAGLIO, AGNESE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532312,2006,ergonomia e aspetti psicosociali - nuove competenze nella prevenzione dei rischi lavorativi,"FIGIANI, MAURIZIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532323,2006,"Design, territorio e patrimonio culturale","V. CRISTALLO;E. GUIDA;A. MORONE;PARENTE, MARINA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532324,2006,Il design per la valorizzazione dei beni culturali. Le premesse fondative della ricerca d.Cult,"MAFFEI, STEFANO;PARENTE, MARINA;VILLARI, BEATRICE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532349,2006,Design e Imprese Artigiane. Un modello per l'innovazione.,"ARQUILLA, VENANZIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532418,2006,Living room design,"MAFFEI, STEFANO;PARINI B;ARQUILLA, VENANZIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532513,2006,Moda e Design. Cross fertilization per l'innovazione,"BERTOLA, PAOLA;CONTI, GIOVANNI MARIA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/552831,2006,Design degli interni,"GUERRINI, LUCA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/552839,2006,Books. The future of reading?,"CRESPI, LUCIANO;PICCINNO, GIOVANNA;REBAGLIO, AGNESE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/552855,2006,L’inventiva. Psòmega vent’anni dopo,"ZINGALE, SALVATORE;BONFANTINI M. A."
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/552861,2006,Salons,"ARQUILLA, VENANZIO;MAFFEI, STEFANO;B. Parini"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/552867,2006,Premio Biagio Rossetti 2005,"GUERRINI, LUCA;VENTURA, NICOLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/552868,2006,Advanced Living Scenarios. Contemporary Trends in European Housing,"BOSONI, GIAMPIERO;MANFREDINI, MANFREDO;PIARDI, SILVIA ELVIRA MARIA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/552960,2006,Salotti d'autore,"ARQUILLA, VENANZIO;MAFFEI, STEFANO;B. Parini"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/640323,2006,"Designing Designers: Design Evolution by east and west. New ambients, new products, new designers","COLLINA, LUISA MARIA VIRGINIA;SCULLICA, FRANCESCO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/642126,2006,Arte in Maremma nella prima metà del Novecento,"E. Crispolti;MAZZANTI, ANNA;L. Quattrocchi"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/881657,2006,L'archivio dell'architetto Mario Terzaghi presso il Casva,"FERABOLI, MARIA TERESA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/989810,2006,Corpi arredativi,"Guerriero, Alessandro;Bobbioni, Mariapia;CRIPPA, DAVIDE;DI PRETE, BARBARA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/246819,2007,"Design per la sostenibilità. Strumenti e strategie per la decade ""Educazione per lo sviluppo sostenibile"" Nazioni Unite (2005-2014)","P. Tamborrini;VEZZOLI, CARLO ARNALDO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/250929,2007,Playing Design,"L. Cavadini;DELL'ACQUA BELLAVITIS, ARTURO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/251168,2007,Packaging controverso,"BUCCHETTI, VALERIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/257240,2007,Designing Designers: Unbranded design for new user expectations,"COLLINA, LUISA MARIA VIRGINIA;SCULLICA, FRANCESCO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/258844,2007,Movie Design for Experience Project. Visual scenarios for Illy concept store,"GALBIATI, MARIA LUISA;GALLI, FRANCESCO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/269762,2007,"Sole vento acqua vegetazione e tecnologie avanzate: matrici di un nuovo approccio progettuale al territorio, architettura e design strategico.","BLASI, CESARE;NEBULONI, ATTILIO;PADOVANO, GABRIELLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/269994,2007,La Moda e il Design. Il trasferimento di conoscenza a servizio dell'innovazione,"BERTOLA, PAOLA;CONTI, GIOVANNI MARIA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/274057,2007,Culture visive,"BUCCHETTI, VALERIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/274058,2007,Packaging: tra vista e tatto,"BUCCHETTI, VALERIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532286,2007,Creative Communities. People inventing sustainable ways of living.,"MERONI, ANNA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532713,2007,"Abitare la complessità: Branson Coates, Coop Himmelblau, Daniel Libeskind, M&M, Mecanoo, Naga Studio, NL Architects, ODBC, R&Sie, RUR, SMAQ architects, Tomorrow, UNStudio. Serie: Complessità e Sostenibilità: il territorio e l'architettura - Rivista bimestrale digitale di pianificazione e progettazione, n° 01","G. PADOVANO;C. BLASI;NEBULONI, ATTILIO;I. ANASTASIO;V. ARRIGONI"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532714,2007,"Architetture sostenibili: Behnisch & Partner, Mario Cucinella, FOA, Zaha Hadid, LAB Architecture, Manfredi Nicoletti, ODBC, Petzinka-Pink, R&Sie, Samyn and Partners, Synthesis & Research. Serie: Complessità e Sostenibilità: il territorio e l'architettura - Rivista bimestrale digitale di pianificazione e progettazione, n° 02","G. PADOVANO;C. BLASI;NEBULONI, ATTILIO;I. ANASTASIO;V. ARRIGONI"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532715,2007,"Europa, Oceania e Far-East: strategie di pianificazione per i territori. Testi di G. Padovano, J. Peyrony, L. Porsche, K. Serranos, E. Gianniris, M. Zifou, M. Carta, D. Ronsivalle, F. Vescovi, M. Vliet, J. Goedman, C. Anderton, D. Ciesielska, M. Lasocki, D. Blaganje, M. Benabent, P. McFarland, M. Gunder, R. Lizhi, X. Fei, Y. Jing, K. Moriyasu, Y. Pandya, R. Nair, L. Meng, K. Ong, K. Peng. Serie: Complessità e Sostenibilità: il territorio e l'architettura - Rivista bimestrale digitale di pianificazione e progettazione, n° 03-04","G. PADOVANO;C. BLASI;NEBULONI, ATTILIO;I. ANASTASIO;V. ARRIGONI"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/548046,2007,Ricerca e design per il prodotto moda,"BERTOLA, PAOLA;COLOMBI, CHIARA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/551602,2007,Leonardo. Dagli studi di proporzioni al Trattato della Pittura,"M. Fiorio;MARANI, PIETRO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/551625,2007,MuVi. Video and moving image on synesthesia and visual music,"M. De Cordoba;RICCO', DINA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/551626,2007,Fashion Plus. Un'azione di valorizzazione guidata dal design per le PMI del territorio regionale e miliano,"BERTOLA, PAOLA;MAFFEI, STEFANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/551633,2007,The new generation. The design role in the new generation world,"CRESPI, LUCIANO;PICCINNO, GIOVANNA;REBAGLIO A."
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/561919,2007,The new generation: the design role in the new generation world,"CRESPI, LUCIANO;PICCINNO, GIOVANNA;REBAGLIO, AGNESE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/692927,2007,In pubblico. Azioni e idee degli anni settanta in Italia,"M. Fochessati;PIAZZA, MARIO;S. Solimano"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/693436,2007,That’s Poli. Polimi at That’s Design,"PIAZZA, MARIO;M. Pelizzari"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/881651,2007,Renzo Piano. Le città visibili,"IRACE, FULVIO;FERABOLI, MARIA TERESA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/989815,2007,Investigations into Decor and Decus / Indagini tra Decor e Decus,"CRIPPA, DAVIDE;DI PRETE, BARBARA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532242,2008,La creatività nelle professioni,"VOLONTE', PAOLO GAETANO;PEDRONI, MARCO LUCA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532243,2008,La creatività diffusa. Culture e mestieri della moda oggi,"VOLONTE', PAOLO GAETANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532244,2008,Max Weber. La scienza come professione,"VOLONTE', PAOLO GAETANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532416,2008,"Design, Research, Maps. Prospettive della ricerca universitaria in design in Italia. 2003-2007","MAFFEI, STEFANO;BERTOLA, PAOLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532726,2008,L'impresa di successo. Il Design e la competitività,"RAMPINO, LUCIA ROSA ELENA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532782,2008,System Innovation for Sustainability 1. Perspectives on Radical Changes to Sustainable Consumption and Production,"VEZZOLI, CARLO ARNALDO;A. TUKKER;M. CHARTER;E. STØ;M. M. ANDERSEN"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532787,2008,Argomenti di ergonomia. Un glossario. Vol. I,"PIZZOCARO, SILVIA LUISA;FIGIANI, MAURIZIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/545230,2008,Housing in Europe and in China,"PIARDI, SILVIA ELVIRA MARIA;MANFREDINI, MANFREDO;BOSONI, GIAMPIERO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/547653,2008,"Place and Themes of Interiors, Contemporary Research Studies","BASSO PERESSUT, GIAN LUCA;FORINO, IMMACOLATA CONCEZIONE;POSTIGLIONE, GENNARO;SCULLICA, FRANCESCO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/547668,2008,The Hospitable city,"FASSI, DAVIDE;SCULLICA, FRANCESCO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/549670,2008,Bruno Munari,"FINESSI, GIUSEPPE;M. Meneguzzo"
