title,pubLink,year,innerCoAuthorsNames,innerCoAuthorsId,outerCoAuthors
OLTRE L’ABITO. IRIDESCENZE NELLA MODA CONTEMPORANEA,http://hdl.handle.net/11311/1009996,2017,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",rp18715;rp14712,
Commons people: additive manufacturing enabled collaborative commons production (by design),http://hdl.handle.net/11311/1009997,2017,"MORTATI, MARZIA",rp07363,"Smith, Paul"
Updating the Tradition: Italian Design in the First Decade of the New Century,http://hdl.handle.net/11311/1010141,2016,"GUERRINI, LUCA;GEROSA, GIULIA MARIA",rp13216;rp00520,
Polimi Design PhD_017,http://hdl.handle.net/11311/1010369,2017,"BIAMONTI, ALESSANDRO;GUERRINI, LUCA",rp17669;rp13216,
Interior Design As An Environmental System Of “Activators Of Well-Being”: The Therapeutic Habitat Model For Alzheimer’s Disease,http://hdl.handle.net/11311/1010387,2017,"GRAMEGNA, SILVIA MARIA",rp11431,
Design capability and business innovation,http://hdl.handle.net/11311/1010663,2016,"MORTATI, MARZIA;VILLARI, BEATRICE",rp07363;rp00937,
"SOCIAL FOOD CLUB. SERVICE E FOOD DESIGN COME ABILITATORI DI NUOVI MODELLI DI SVILUPPO, INNOVAZIONE E COESIONE SOCIALE.",http://hdl.handle.net/11311/1010664,2016,"MAFFEI, STEFANO;VILLARI, BEATRICE;TAMINI, LUCA;PARINI, BARBARA",rp13561;rp00937;rp01074;rp21231,
Progettare per la persona: la moda,http://hdl.handle.net/11311/1010984,2017,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",rp18715;rp14712,
Interazioni e influenze nel progetto,http://hdl.handle.net/11311/1010985,2017,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",rp18715;rp14712,
Stagionalità e riconoscibilità della moda,http://hdl.handle.net/11311/1010986,2017,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",rp18715;rp14712,
Oltre l’abito. Progettare il corpo,http://hdl.handle.net/11311/1010987,2017,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",rp18715;rp14712,
"Per il corpo, non solo l’abito",http://hdl.handle.net/11311/1010988,2017,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",rp18715;rp14712,
Progettare per un corpo vestito,http://hdl.handle.net/11311/1010989,2017,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",rp18715;rp14712,
L’abito sul corpo,http://hdl.handle.net/11311/1011006,2017,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",rp18715;rp14712,
Abiti fluidi su corpi fluidi,http://hdl.handle.net/11311/1011007,2017,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",rp18715;rp14712,
Il progetto del corpo maschile,http://hdl.handle.net/11311/1011008,2017,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",rp18715;rp14712,
L’abito maschile nel meridione d’Italia,http://hdl.handle.net/11311/1011010,2017,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",rp18715;rp14712,
La figura del sarto e la sua formazione,http://hdl.handle.net/11311/1011064,2017,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",rp18715;rp14712,
Il passato come riscoperta delle future tradizioni,http://hdl.handle.net/11311/1011065,2017,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",rp18715;rp14712,
Abiti maschili ibridi: tra lo sportivo e il sartoriale,http://hdl.handle.net/11311/1011066,2017,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",rp18715;rp14712,
Due progetti di cappello: il Borsalino e la coppola,http://hdl.handle.net/11311/1011067,2017,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",rp18715;rp14712,
Dispositivo di navigazione indossabile da una persona,http://hdl.handle.net/11311/1011853,2017,"CHE ME, ROSALAM;BIAMONTI, ALESSANDRO;FERRARO, VENERE;STEPANOVIC, MILA",rp13802;rp17669;rp00495;rp51889,
CampUS: How the Co-design approach can support the social innovation in urban context,http://hdl.handle.net/11311/1012447,2016,"FASSI, DAVIDE;GALLUZZO, LAURA;DE ROSA, ANNALINDA",rp01829;rp10168;rp10072,
CampUS: co-designing spaces for urban agriculture with local communities,http://hdl.handle.net/11311/1012448,2016,"FASSI, DAVIDE;GALLUZZO, LAURA;DE ROSA, ANNALINDA",rp01829;rp10168;rp10072,
"Comunicare il viaggio: dalla guida al blog, dalla propaganda al branding",http://hdl.handle.net/11311/1012519,2016,"GUIDA, FRANCESCO ERMANNO",rp00283,
"La grafica essenziale di Gino Anselmi, un napoletano razionalista",http://hdl.handle.net/11311/1013039,2017,"GUIDA, FRANCESCO ERMANNO",rp00283,
Le aziende e la ricerca. Quando università e impresa fanno squadra,http://hdl.handle.net/11311/1013175,2017,"PALMIERI, STEFANIA",rp08604,"Amandolese, Daniela"
INDUSTRY 4.0 – DIGITALIZATION FROM DESIGN TO PRODUCTION AND MARKET IN INDUSTRIAL SYSTEMS,http://hdl.handle.net/11311/1013178,2017,"PALMIERI, STEFANIA",rp08604,"Amandolese, Daniela"
INNOVATION AND COMPETITIVENESS GO VIA UNIVERSITIES,http://hdl.handle.net/11311/1013183,2017,"PALMIERI, STEFANIA",rp08604,"Amandolese, Daniela"
LA CERAMICA TRA DESIGN E INNOVAZIONE,http://hdl.handle.net/11311/1013187,2017,"PALMIERI, STEFANIA",rp08604,"Amandolese, daniela;Nicolosi, Angela"
INNOVATIVE MATERIAL DRIVEN DESIGN BUSINESS,http://hdl.handle.net/11311/1013189,2017,"PALMIERI, STEFANIA",rp08604,Amandolese Daniela
