dc.type.full,dc.identifier.uri,dc.date.issued,dc.title,dc.authority.people
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/265843,2007,Textile Design,"FRASSINE, ROBERTO;RUBERTELLI, MANUELA;SOLDATI, MARIA GRAZIA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/267043,2002,"Una firma per sei. Bernazzoli, Biassoni, Costantini, Veruggio, Luzzati, Piombino","PIAZZA, MARIO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/269662,2004,Lo studio televisivo: macchina luogo metafora. Le professioni della televisione,"GALBIATI, MARIA LUISA;GALLI, FRANCESCO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/273975,2002,Il design degli spazi abitativi. La cultura tecnologica della progettazione dagli spazi fissi agli spazi in movimento,"PIARDI, SILVIA ELVIRA MARIA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/274056,2007,Durabilità e scadenza nella comunicazione di prodotto,"BUCCHETTI, VALERIA LUISA;CIRAVEGNA, ERIK"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/274063,2007,Strumenti di design management,"CAUTELA, CABIRIO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/274069,2007,Design per la sostenibilità ambientale. Design for environmental sustainability,"VEZZOLI, CARLO ARNALDO;MANZINI, EZIO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/274272,2007,Next architetti. Paesaggi ralazionali,"E. Avallone;G. Forte;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504073,2003,La fabbrica dei significati solidi. Indagine sulla cultura della scienza,"VOLONTE', PAOLO GAETANO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504074,2001,Razionalità e responsabilità. La fondazione etica dell'epistemologia delle scienze sociali in Max Weber,"VOLONTE', PAOLO GAETANO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504075,2001,Le imprese sociali e i beni culturali,"VOLONTE', PAOLO GAETANO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504077,1988,Etica ed economia,"VOLONTE', PAOLO GAETANO;DUILIO, L."
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504079,2004,"Sociologia. Concetti, metodi, temi di scienze sociali","VOLONTE', PAOLO GAETANO;C. LUNGHI;M. MAGATTI;E. MORA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504080,1997,Husserls Phänomenologie der Imagination. Zur Funktion der Phantasie bei der Konstitution von Erkenntnis,"VOLONTE', PAOLO GAETANO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504081,1999,"Concetti, metodi, temi di sociologia. Dodici moduli di scienze sociali","VOLONTE', PAOLO GAETANO;LUNGHI C.;MAGATTI M.;MORA E."
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504082,1999,Nietzsche,"VOLONTE', PAOLO GAETANO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504084,2000,Edmund Husserl. Fenomenologia e teoria della conoscenza,"VOLONTE', PAOLO GAETANO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504085,2008,Vita da stilista. Il ruolo sociale del fashion designer,"VOLONTE', PAOLO GAETANO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504086,2008,Il campo sociale della fisica particellare in Italia. Uno studio sociologico,"BELLOTTI, ELISA;BELTRAME L;VOLONTE', PAOLO GAETANO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504160,2006,RURAL LANDSCAPE AND ARCHITECTURAL QUALITY Raccomandazioni per una nuova qualità urbana,"AMORUSO, GIUSEPPE;R. MINGUCCI"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504161,2006,L'Architettura dei Fari Italiani / The Architecture of Italian Lighthouses,"C. BARTOLOMEI;AMORUSO, GIUSEPPE"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504162,2007,Rethinking the city. Projects for a new urban quality La rappresentazione del paesaggio urbano,"AMORUSO, GIUSEPPE;R. MINGUCCI"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504163,2007,Innovazione e Riqualificazione Urbana,"R. MINGUCCI;C. BARTOLOMEI;AMORUSO, GIUSEPPE"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504164,2007,"L'Architettura dei Fari Italiani - The Architecture of Italian Lighthouses. Sardegna, vol. 3","C. BARTOLOMEI;AMORUSO, GIUSEPPE"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504296,2003,i luoghi dell'interazione. il progetto del controllo e del comando,"BISSON, MARIO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504297,2006,variazioni sul colore,"BISSON, MARIO;CRISTINA BOERI"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504345,2004,Design & Beni Culturali. La cultura del progetto nella valorizzazione del bene culturale,"TROCCHIANESI, RAFFAELLA;F. CELASCHI"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504429,2003,TRANS-ALPS A Transport model for decisions on Traffic Management Plans,"STUDER, LUCA PASINO;ARDITI R;MAJA, ROBERTO;PONTI, MARCO;SALA G;VERONESI, ELEONORA;JAVICOLI A."
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504440,2002,Il design degli spazi abitativi. La cultura tecnologica della progettazione dagli spazi fissi agli spazi in movimento,"PIARDI, SILVIA ELVIRA MARIA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504442,2003,Progettare e costruire imbarcazioni da diporto. Esperienze del Master in Yacht Design del POlitecnico di Milano,"PIARDI, SILVIA ELVIRA MARIA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504444,2005,Progettazione ecocompatibile dell'architettura,"GROSSO M.;PERETTI S.;PIARDI, SILVIA ELVIRA MARIA;SCUDO G."
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504474,2000,LETTURE DINAMICHE DELL'ARTE CON LE TECNOLOGIE DIGITALI. ELEMENTI DI REGIA PER LA PRODUZIONE DI FILM D'ARTE,"GALBIATI, MARIA LUISA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504475,2005,MOVIE DESIGN. SCENARI PROGETTUALI PER IL DESIGN DELLA COMUNICAZIONE AUDIOVISIVA E MULTIMEDIALE,"GALBIATI, MARIA LUISA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504488,2002,Riflessioni e scenari innovativi nel progetto del punto vendita,"IANNILLI, VALERIA MARIA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504489,2002,"La conoscenza scientifica e tecnologica. I luoghi, le memorie, le tracce","PARENTE, MARINA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504490,2002,Design e sistema territoriale. Cinque casi studio di successo in Campania.,"V. CRISTALLO;E. GUIDA;A. MORONE;PARENTE, MARINA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504502,2008,"Materiali intelligenti, sensibili, interattivi. 02 materiali per il design","M. CARDILLO;FERRARA, MARIA RITA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504586,2007,Moda e Design: il progetto dell'eccellenza,"CAPPELLIERI, ALBA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504588,2007,"Gioiello Italiano Contemporaneo, tecniche e materiali tra arte e design","CAPPELLIERI, ALBA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504596,2002,"Ricerca, Design e sperimentazione per l’innovazione di prodotto nel settore dell’accessorio moda: il caso Mangiameli","CAPPELLIERI, ALBA;BERTOLA, PAOLA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504597,2008,"Ron Arad: arte, architettura, design.","CAPPELLIERI, ALBA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504645,2002,design della comunicazione ipertestuale,"BERTOLO, MARESA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504646,2006,Flash! Percorso guidato per le animazioni interattive,"BERTOLO, MARESA;DE LUCA V;GRASSI A;LOCHIS G."
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504647,1999,Bruno Morassutti.Quattro Realizzazioni Un percorso metodologico,"SCULLICA, FRANCESCO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504696,2008,I disegni di Leonardo da Vinci e della sua cerchia nelle collezioni pubbliche in Francia,"MARANI;MARANI, PIETRO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504726,2007,Sussidiario di semiotica. In dieci lezioni e duecento immagini,"ZINGALE, SALVATORE;BONFANTINI M. A;BRAMATI J."
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504727,2009,"Gioco, dialogo, design. Una ricerca semiotica","ZINGALE, SALVATORE"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/504750,1999,“Design: progettazione continua: nuove tecniche di sviluppo dei prodotti industriali”,"BRUNO, DAVIDE MARIA"
