dc.type.full,dc.identifier.uri,dc.date.issued,dc.title,dc.authority.people
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/244761,2003,convegno,"COSTA, FIAMMETTA CARLA ENRICA;R. Tartaglia"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/245697,2003,convegno,"PIZZOCARO, SILVIA LUISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/247008,2003,convegno,"BINDA, LUIGIA;ANZANI, ANNA;J. Pina Henriques;TONGINI FOLLI, ROBERTA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/249228,2003,convegno,"ANZANI, ANNA;BINDA, LUIGIA;FONTANA, ALBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/251099,2003,convegno,"CANINA, MARIA RITA;ROVETTA, ALBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/253435,2003,convegno,"OBERTI, ILARIA;BAGLIONI, ADRIANA;PIARDI, SILVIA ELVIRA MARIA;PLANTAMURA, FRANCESCA;RATTI, ANDREA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/253483,2003,convegno,"CELI, MANUELA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/254518,2003,convegno,"CANINA, MARIA RITA;T. Chettibi;ROVETTA, ALBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/255122,2003,convegno,"ROGNOLI, VALENTINA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/255207,2003,convegno,"BINDA, LUIGIA;ANZANI, ANNA;SAISI, ANTONELLA ELIDE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/260631,2003,convegno,"SCULLICA, FRANCESCO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/261310,2003,convegno,"RAMPINO, LUCIA ROSA ELENA;INGARAMO, MATTEO ORESTE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/264772,2003,convegno,"BIAMONTI, ALESSANDRO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/265468,2003,convegno,"PIARDI, SILVIA ELVIRA MARIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/267075,2003,convegno,"BRAMBILLA, MARCO GIOVANNI;ERBA, STEFANO;PONTI, MARCO GUIDO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/268633,2003,convegno,"ARQUILLA, VENANZIO;MAFFEI, STEFANO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/272549,2003,convegno,"PONTI, MARCO GUIDO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/273307,2003,convegno,"BINDA, LUIGIA;ANZANI, ANNA;SAISI, ANTONELLA ELIDE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/501525,2003,convegno,"BINDA, LUIGIA;A. Fontana;ANZANI, ANNA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/502114,2003,convegno,"PIZZOCARO, SILVIA LUISA;L. Bollini"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/502838,2003,convegno,"CANINA, MARIA RITA;ROVETTA, ALBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/502839,2003,convegno,"CANINA, MARIA RITA;ROVETTA, ALBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/503426,2003,convegno,"RICCO', DINA;BELLUSCIO A.;GUERINI S."
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/535925,2003,convegno,"PARENTE, MARINA;V. CRISTALLO;A. MORONE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/537048,2003,convegno,"BREVI, FAUSTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538443,2003,convegno,"MAFFEI, STEFANO;SANGIORGI, DANIELA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538444,2003,convegno,"MAFFEI, STEFANO;ARQUILLA, VENANZIO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538445,2003,convegno,"MAFFEI, STEFANO;SANGIORGI, DANIELA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538446,2003,convegno,"MAFFEI, STEFANO;SANGIORGI, DANIELA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/539712,2003,convegno,"TOSI F;ANSELMI, LAURA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/539755,2003,convegno,"BERTOLA, PAOLA;COLLINA, LUISA MARIA VIRGINIA;CIUCCARELLI, PAOLO;INNOCENTI P."
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/542789,2003,convegno,"BINDA, LUIGIA;ANZANI, ANNA;SAISI, ANTONELLA ELIDE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/542818,2003,convegno,"CALABI, DANIELA ANNA;STEFANO MOTTURA;MARCO SACCO;GIAMPAOLO VIGANO'"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/556245,2003,convegno,"CANINA, MARIA RITA;ROVETTA, ALBERTO;PEGORARO R."
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/556319,2003,convegno,"CANINA, MARIA RITA;ROVETTA, ALBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/556505,2003,convegno,"DOMINONI, ANNALISA;S. Ferraris"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/556555,2003,convegno,"M. Bruno;FERRARI, SIMONE;P. Orlando;PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA;R. Trenta"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/556623,2003,convegno,"PIARDI, SILVIA ELVIRA MARIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/556736,2003,convegno,"ROVETTA, ALBERTO;CHETTIBI T;CANINA, MARIA RITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/561654,2003,convegno,"BRUGLIERI, MAURIZIO;MALUCELLI, FEDERICO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/567007,2003,convegno,"CECONELLO, MAURO ATTILIO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/687799,2003,convegno,"RIZZO, FRANCESCA;O. Parlangeli;S. Bagnara"
