dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.country,dc.publisher.place,dc.subject.keywords,item.collection,item.openaireRights,dc.authority.people,
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1017614,eng;ita,2017,Comitato scientifico,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,1,"CAPPELLIERI, ALBA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1017621,eng;ita,2017,Comitato scientifico,-,-,-,-,"DESIGN FOR CHILDREN, triennale di milano, alba cappellieri, politecnico di milano, italian design,",01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,1,"CAPPELLIERI, ALBA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1017974,eng;ita,2016,-,-,-,-,-,"CMF design, materiali, design primario, Trini Castelli",01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,1,"BOSONI, GIAMPIERO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1017976,eng;ita,2016,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,1,"BOSONI, GIAMPIERO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1017978,eng;jpn,2016,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,1,"BOSONI, GIAMPIERO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1017979,chi,2016,-,-,-,-,-,"Italian design, modo italiano",01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,2,"BOSONI, GIAMPIERO;Lecce C."
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1018137,eng;ita;fre;dut,2016,-,-,-,-,-,"design italiano, maestri,",01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,1,"BOSONI, GIAMPIERO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1018221,eng;ita,2016,Comitato scientifico,-,-,-,-,"Design, Innovazione sociale, Prodotto, Emergenza,",01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"BIAMONTI, ALESSANDRO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1018222,eng,2016,Comitato scientifico,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,3,"CASCIANI, DARIA;MUSANTE, FULVIO;ROSSI, MAURIZIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1018223,eng,2016,Esperti anonimi,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,4,"ROSSI, MAURIZIO;Rizzi, Alessandro;Bonanomi, Cristian;SINISCALCO, ANDREA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1018224,eng,2016,Comitato scientifico,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,2,"MUSANTE, FULVIO;ROSSI, MAURIZIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1018545,eng,2016,Comitato scientifico,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,2,"GENTILI, HELENA;CASCIANI, DARIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1018547,eng;ita,2016,Comitato scientifico,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,3,"D'Alesio, Carlo;GENTILI, HELENA;CASCIANI, DARIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1018685,eng,2016,Esperti anonimi,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,2,"SEDINI, CARLA;FOIS, LUCA"
