dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.country,dc.publisher.place,dc.relation.medium,dc.title,dc.subject.keywordsita,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1009996,ita,2017,-,-,deleyva editore,-,Milano,-,OLTRE L’ABITO. IRIDESCENZE NELLA MODA CONTEMPORANEA,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,2,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1010664,ita,2016,-,-,MACRO,-,Milano,-,"SOCIAL FOOD CLUB. SERVICE E FOOD DESIGN COME ABILITATORI DI NUOVI MODELLI DI SVILUPPO, INNOVAZIONE E COESIONE SOCIALE.",-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,4,"MAFFEI, STEFANO;VILLARI, BEATRICE;TAMINI, LUCA;PARINI, BARBARA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1014983,ita,2016,Comitato scientifico,-,Bruno Mondadori,ITA,Milano-Torino,STAMPA,Spazio pubblico e attrattività urbana. L'Isola e le sue piazze,spazio pubblico,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,3,"BRUZZESE, MARIA ANTONELLA;GEROSA, GIULIA MARIA;TAMINI, LUCA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1016673,ita,2016,-,-,Electa,ITA,Milano,STAMPA,Il design e gli interni di Franco Albini,-,Albini,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,2,"BUCCI, FEDERICO;BOSONI, GIAMPIERO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1018130,eng;ita,2016,-,-,Libraccio,ITA,Milano,STAMPA,Next Design Innovation,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,2,"MAFFEI, STEFANO;BIANCHINI, MASSIMO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1018379,ita,2016,-,-,FrancoAngeli,ITA,Milano,STAMPA,Adapting Reuse. Strategie di conversione d'uso degli interni e di rinnovamento urbano,-,"Adaptive Reuse, Urban Regeneration, Interior Design, Change of Use, Re-use",03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,"CAMOCINI, BARBARA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1018791,eng,2017,-,-,Springer,CHE,-,STAMPA,CoDesign for Public-Interest Services,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,"SELLONI, DANIELA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1018817,eng,2016,-,-,Mc Graw HILL,ITA,Milano,STAMPA,"Moving design
The flow of people in the cities of the future","mobilità, trasporti, smart cities, commuting, territorio, design, strategie territoriali",-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,"BRUNO, DAVIDE MARIA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1019052,ita,2016,-,-,Corriere della Sera e Politecnico di Milano,ITA,-,STAMPA,MICHELE DE LUCCHI,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,"DE LUCCHI, MICHELE"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1019544,spa,2016,-,-,Editorial Designio,MEX,Città del Messico,STAMPA,Diseňo de productos ambientalmente sustentables,-,"design per la sostenibilità, Life Cycle Design, Life Cycle Assesment, design di prodotto",03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,2,"VEZZOLI, CARLO ARNALDO;MANZINI, EZIO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1019554,eng,2016,Esperti anonimi,-,IGI Global,USA,"Hershey, PA 17033-1240, USA",ELETTRONICO,Handbook of Research on Visual Computing and Emerging Geometrical Design Tools,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,1,"AMORUSO, GIUSEPPE"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1022048,eng;ita,2017,-,-,Corraini Edizioni,ITA,Mantova,STAMPA,SaloneSatellite. 20 anni di nuova creatività,-,-,03.1 Monografia o trattato scientifico,none,1,"FINESSI, GIUSEPPE"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1026910,eng,2016,-,-,"Lulu Press, Inc",USA,"Raleigh, NC",STAMPA,LIGHTING ARTWORKS IN ART EXIBITIONS,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,1,"MURANO, FRANCESCO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1028150,ita,2015,Comitato scientifico,-,Maggioli spa,ITA,-,STAMPA,Sulla spiaggia,design degli spazi,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,"FASSI, DAVIDE"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1029588,eng,2017,Esperti non anonimi,-,francoangeli,ITA,milano,ELETTRONICO,Design & Interiors. Considerations on an evolving discipline between education and profession,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,"BIAMONTI, ALESSANDRO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1031371,ita,2017,-,-,FrancoAngeli,-,Milano,-,Media Culture Design. Introduzione alla Cultura dei Media per il Design della Comunicazione,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,"CIASTELLARDI, MATTEO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1031375,ita,2017,-,-,LED,-,-,-,"La Gestione Bottom-up dell'Informazione in Rete. 
Analisi progettuale e sintesi critica dei sistemi partecipativi online",-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,"CIASTELLARDI, MATTEO"
