dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.place,dc.publisher.country,dc.relation.ispartofbook,item.journal.title,dc.relation.medium,dc.relation.conferenceplace,dc.relation.conferencename,,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/675773,eng,2012,Comitato scientifico,internazionale,Politecnico di Milano,Milano,ITA,"Cities in transformation-Research & Design. Ideas, Methods, Techniques, Tools, Case Studies",-,-,Milano,"Cities in transformation-Research & Design. Ideas, Methods, Techniques, Tools, Case Studies",,urban design; education; method; urban contest analysis; cultural engineering; psychogeography; ethnography; scenarios,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"DE PAOLIS, ROBERTO;FERRARA, MARIA RITA;D. Morigi"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/676350,eng,2012,"Sì, ma tipo non specificato",internazionale,USA Publishing,San Francisco,USA,2012 AHFE International Conference Proceedings,-,-,San Francisco,Applied Human Factors and Ergonomics Conference,,disabled; boating; yachting,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA;ERCOLI, SEBASTIANO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/680398,ita,2012,Nessuno,nazionale,maggioli Editore,Santarcangelo di Romagna,ITA,Colore e colorimetria vol VIII/A,-,STAMPA,Bologna,Ottava conferenza del colore,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"ROSSI, MICHELA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/680401,ita,2012,"Sì, ma tipo non specificato",internazionale,EDIFIR - Edizioni Firenze,Firenze,ITA,Architettura eremitica. Sistemi progettuali e paesaggi culturali,-,-,Camaldoli,Terzo convegno internazionale di Studi,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"Giampiero Mele;ROSSI, MICHELA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/683449,eng,2012,-,internazionale,-,-,-,-,-,-,"San Francisco, CA, USA",AHFE 2012 - 4.th International Conference on Applied Human Factors and Ergonomics,,-,04.1 Contributo in Atti di convegno,none,3,"MAZZOLA, MARCO;COSTA, FIAMMETTA CARLA ENRICA;ANDREONI, GIUSEPPE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/683814,eng,2012,Esperti anonimi,internazionale,CRC Press,-,USA,Advances in Human Aspects of Healthcare,-,-,San Francisco,4th AHFE Conference 2012,,-,04.1 Contributo in Atti di convegno,none,5,"A. Fanelli;SIGNORINI, MARIA GABRIELLA;PEREGO, PAOLO;G. Magenes;ANDREONI, GIUSEPPE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/685202,eng,2012,-,internazionale,-,-,-,-,-,-,Glasgow (UK),The 2nd International Conference on Design Creativity (ICDC2012),,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"MAIOCCHI, MARCO MARIA;PILLAN, MARGHERITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/685203,eng,2012,-,internazionale,-,-,-,-,-,-,Glasgow (UK),The 2nd International Conference on Design Creativity (ICDC2012),,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"MAIOCCHI, MARCO MARIA;PILLAN, MARGHERITA;GALLI, FRANCESCO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/685208,eng,2012,-,internazionale,-,-,ESP,"5th International Conference of Education, Research and Innovation",-,-,Madrid,"5th International Conference of Education, Research and Innovation",,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"MAIOCCHI, MARCO MARIA;PILLAN, MARGHERITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/685210,eng,2012,-,internazionale,-,-,USA,-,-,-,Orlando (Florida - USA),"The 2nd International Conference on Design and Modeling in Science, Education, and Technology: DeMset 2012",,Design Theory; Design Model; Emotional Design; Perception; Design and Cultures; Design and Neurosciences,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"MAIOCCHI, MARCO MARIA;PILLAN, MARGHERITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/685296,eng,2012,-,internazionale,Associazione sezione italiana del Combustion Institute,-,ITA,Proceedings of the XXXV Meeting of the Italian Section of the Combustion Institute,-,-,Milano,Meeting of the italian section of the Combustion Institute,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,7,"BORGHETTI, FABIO;GANDINI, PAOLO;IULIANO, ROSANNA;FRASSOLDATI, ALESSIO;CUOCI, ALBERTO;DERUDI, MARCO;TAVELLI, SILVIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/685487,eng,2012,Nessuno,internazionale,-,-,-,Proceedings of the 2nd International Conference on Design Creativity,-,-,Glasgow,2nd International Conference on Design Creativity,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"MORTATI, MARZIA;VILLARI, BEATRICE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/685896,eng,2012,"Sì, ma tipo non specificato",internazionale,IADE,Lisbona,PRT,"Senses & Sensibility in Lisbon. Advertising, Design, Fashion, Marketing, Photography and Visual Culture in the Right place",-,-,Lisbon,"Senses & Sensibility in Lisbon. Advertising, Design, Fashion, Marketing, Photography and Visual Culture in the Right place. Proceedings of the UNIDCOM/IADE’s, 6th International Conference,",,communication design; synesthesia; audio description; visually impaired,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"RICCO', DINA;CARATTI, ELENA;C. Bustamante"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/686090,eng,2012,Esperti anonimi,internazionale,"Central Saint Martins College of Arts & Design, London, England.",London,GBR,"ut of Control : Proceedings of 8th International Design and Emotion Conference, Design and Emotion Society",-,-,"London, UK",8° international conference on Design & Emotion: out of control,,design; emotion; product; material,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"G. Crippa;ROGNOLI, VALENTINA;LEVI, MARINELLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/686283,eng,2012,"Sì, ma tipo non specificato",internazionale,Design Management Institute,Boston MA (USA),-,Leading Innovation Through design,-,-,Boston MA (USA),Leading Innovation through design,,"Creative and design services, 3-D printing, open business models",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"CAUTELA, CABIRIO;P. Pisano;M. Pironti;A. Rieple"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/686333,eng,2012,"Sì, ma tipo non specificato",internazionale,DMI (Design Management Institute),Boston,USA,Leading Innovation through Design: Proceedings of the DMI 2012 International Research Conference,-,-,Boston,Leading Innovation through Design: Proceedings of the DMI 2012,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"CANTU', DARIA;RIZZO, FRANCESCA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/686617,eng,2012,Comitato scientifico,internazionale,Umberto Allemandi & C.,Torino,ITA,-,-,-,Torino,Innovation in design education,,Design education; metadesign; mood-board; vision; scenario,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"CELI, MANUELA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/687065,eng,2012,Esperti anonimi,internazionale,IEEE,-,USA,Proceedings of the VSMM 2012. Virtual Systems in the Information Society.,-,-,Milano,VSMM 2012. 18th International Conference on Virtual Systems and Multimedia: Virtual Systems in the Information Society,,cultural heritage; mobile technology; design framework; cultural learning; social engagement,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"SPALLAZZO, DAVIDE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/687455,eng,2012,Nessuno,internazionale,-,-,-,China International Boat Show & High Performance Marine Vessels (HPMV) Conference 2012,-,-,Shanghai - Cina,17° HPMV - High Performanche Marine Vessels,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"RATTI, ANDREA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/688019,eng,2012,-,internazionale,-,-,-,"Proceedings of the International Conference ""Response of Ships and Shipping Research to the International Crisis""",-,-,Napoli,Response of Ships and Shipping Research to the International Crisis,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"RATTI, ANDREA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/688733,eng,2012,"Sì, ma tipo non specificato",internazionale,Urbani Izzive Publikacije,Ljubjlana,-,Human Cities - Civil Societyreclaims public space,-,-,Bruxelles,Human Cities - Civil Societyreclaims public space,,toolbox; public space; design action; service; exhibition,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,5,"FASSI, DAVIDE;J. Gemayel;ROGEL, LIAT;A. Seyrig;R. Motter"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/688734,eng,2012,"Sì, ma tipo non specificato",internazionale,Urbani Izziv Publikacije,Ljubjlana,SVN,Human Cities - Civil Societyreclaims public space,-,-,Bruxelles,Human Cities - Civil Societyreclaims public space,,evaluation; quality; experience; map; co-design; urban,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"FASSI, DAVIDE;M. Niksic;B. Golicnik Marusic;R. Houlstan Hasaerts"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/688748,eng,2012,"Sì, ma tipo non specificato",internazionale,Maggioli S.p.A.,Sant’Angelo di Romagna,ITA,Color and Colorimetry. Multidisciplinary Contributions,-,-,Università di Bologna,VII Conferenza del Colore,,colore; videoarte; tradizione,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"MAZZANTI, ANNA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/689964,eng,2012,Esperti anonimi,internazionale,"Universitade de Minas Gerais, Belo Horizonte, Brazil","Belo Horizonte, MG Brazil",BRA,Design Process: Diversity. Design/ Humanities,-,ELETTRONICO,"Belo Horizonte, MG, Brazil",IV International Forum of Design of design as a process,,-,04.1 Contributo in Atti di convegno,none,3,"IANNILLI, VALERIA MARIA;PENATI, ANTONELLA VALERIA;VACCA, FEDERICA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/690072,eng,2012,Esperti anonimi,internazionale,UMBERTO ALLEMANDI & C.,Torino,ITA,Innovation in Design Education. Prooceedings of the third international forum of design as a process,-,-,Torino,Innovation in Design Education. Third international forum of design as a process,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"CELASCHI, FLAVIANO;FORMIA, ELENA MARIA;LUPO, ELEONORA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/690221,eng,2012,Esperti anonimi,internazionale,Umberto Allemandi & C.,"Torino (Londra, Venezia, New York)",ITA,Innovation in design education,-,-,"Torino, castello del Valentino",3rd International Forum of Design as a Process,,cultural design; aziende; arte; artigianato,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"TROCCHIANESI, RAFFAELLA;GUGLIELMETTI, ILARIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/690237,ita,2012,-,internazionale,Maggioli,Sant'Arcangelo di Romagna (RN),ITA,Colore e Colorimetria Contributi Multidisciplinari,-,-,"Bologna, Università Alma Mater Studiorum",Ottava Conferenza del Colore.,,allestimento; illustrazione; cultura urbana,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"TROCCHIANESI, RAFFAELLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/690247,eng,2012,Esperti anonimi,internazionale,"Faculdade de Arquitectura da Universidade do Porto, FAUP",Porto,PRT,EURAU12 Porto | Espaço Público e Cidade Contemporânea,-,-,"Porto, Faculdade de Arquitectura",EURAU12 Porto | Espaço Público e Cidade Contemporânea,,oral patrimony; historical centres; design for cultural heritage; narrative,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"DELGADO BARON, TANIA CATALINA;MUSSINELLI, ELENA GERMANA;TROCCHIANESI, RAFFAELLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/690827,ita;eng,2012,-,internazionale,-,-,-,-,-,-,Napoli,Abitare il nuovo/abitare di nuovo ai tempi della crisi. Inhabiting the new/inhabiting again in times of crisis,,-,04.1 Contributo in Atti di convegno,none,5,"BELLINI, OSCAR EUGENIO;DAGLIO, LAURA;DALL'O', GIULIANO;GEROSA, GIULIA MARIA;SCOCCIMARRO, ANTONIO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/690860,eng,2012,Nessuno,internazionale,-,-,-,International Semantic Web Conference (2),-,-,"Boston, MA, USA",International Semantic Web Conference,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,7,"I. Celino;S. Contessa;CORUBOLO, MARTA;DELL'AGLIO, DANIELE;DELLA VALLE, EMANUELE;S. Fumeo;T. Kruger"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/690877,eng,2012,-,internazionale,IOS Press,-,-,-,WORK,-,"Recife, Brazil",18th World Congress on Ergonomics 2012,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,5,"ANDREONI, GIUSEPPE;ARSLAN, PELIN;COSTA, FIAMMETTA CARLA ENRICA;MUSCHIATO, SABRINA;ROMERO, MAXIMILIANO ERNESTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/691717,eng,2012,-,internazionale,ACM,New York,USA,Proceedings Conference DPPI 2011 - Designing Pleasurable Products and Interfaces,-,-,Politecnico di Milano - Facoltà del Design,How can design research serve industry?,,Interation design; User centered design; Design management; design research,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"CAUTELA, CABIRIO;F. Rizzo"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/692466,eng,2012,Esperti anonimi,internazionale,Green Lines Institute,-,-,Heritage 2012 – Heritage and Sustainable Development,-,-,Porto,Heritage 2012- 3rd International Conference on Heritage and Sustainable Development,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"LUPO, ELEONORA;N. Pedrazzini"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/693040,eng;ita,2012,-,internazionale,-,-,-,Proceedings of the International Conference “Cittaslow: the Value of Slowness for the Tourism of the Future”,-,-,Perugia - Orvieto,Cittaslow: the Value of Slowness for the Tourism of the Future,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"GEROSA, GIULIA MARIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/693667,eng,2012,-,internazionale,-,-,-,-,-,-,"San Francisco, CA, USA",Applied Human Factors and Ergonomics (AHFE 2012),,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,5,"MUSCHIATO, SABRINA;ROMERO, MAXIMILIANO ERNESTO;PEREGO, PAOLO;COSTA, FIAMMETTA CARLA ENRICA;ANDREONI, GIUSEPPE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/693670,eng,2012,-,internazionale,-,-,-,[Applied Human Factors and Ergonomics (AHFE 2012)],-,-,"San Francisco, CA, USA",Applied Human Factors and Ergonomics (AHFE 2012),,-,04.1 Contributo in Atti di convegno,none,9,"ANDREONI, GIUSEPPE;COSTA, FIAMMETTA CARLA ENRICA;FRIGO, CARLO ALBINO;E. Gruppioni;PAVAN, ESTEBAN ENRIQUE;ROMERO, MAXIMILIANO ERNESTO;B. Saldutto;L. Scapini;G. Verni"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/693671,eng,2012,-,internazionale,-,-,USA,Proceedings of the International Conference on Applied Human Factors and Ergonomics (AHFE 2012),-,-,"San Francisco, CA, USA",Applied Human Factors and Ergonomics (AHFE 2012),,-,04.1 Contributo in Atti di convegno,none,8,"ANDREONI, GIUSEPPE;COSTA, FIAMMETTA CARLA ENRICA;MAZZOLA, MARCO;FUSCA, MARCELLO CONO;ROMERO, MAXIMILIANO ERNESTO;Carniglia, E.;ZAMBARBIERI, DANIELA;SANTAMBROGIO, GIORGIO CESARE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/693674,eng,2012,Nessuno,internazionale,-,-,-,Proceedings of EDULEARN12 Conference,-,-,"Barcelona, Spain",EDULEARN12 Conference,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"STANDOLI, CARLO EMILIO;ROMERO, MAXIMILIANO ERNESTO;G. Vazzoler"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/693975,eng,2012,-,internazionale,-,-,-,-,-,-,recife-brasile,"18TH world congress on ergonomics,design and sustainable future",,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,5,"ANDREONI, GIUSEPPE;ARSLAN, PELIN;COSTA, FIAMMETTA CARLA ENRICA;MUSCHIATO, SABRINA;Maximiliano Romero"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/697118,eng,2012,Esperti anonimi,internazionale,-,Genova,-,Response of Ships and Shipping Research to the International Crisis,-,-,Napoli,"NAV2012, 17th International Conference on Ship and Shipping Research",,Design; interior; Ship,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"PIARDI, SILVIA ELVIRA MARIA;PASINA, IRENE;TIEGHI, SILVIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/701722,eng,2012,Nessuno,internazionale,-,-,-,Proceedings of the ICDHS 2012 - 8th Conference of the International Committee for Design History & Design Studies,-,-,"San Paolo, Brasile",ICDHS 2012 - 8th Conference of the International Committee for Design History & Design Studies,,-,04.1 Contributo in Atti di convegno,none,2,"MORTATI, MARZIA;SIMONELLI, GIULIANO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/703323,ita;eng,2012,Comitato scientifico,internazionale,Gangemi Editore,roma,ITA,Elogio della Teoria. Identità delle discipline del disegno e del rilievo,-,STAMPA,Roma,Elogio della Teoria. Identità delle discipline del disegno e del rilievo,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"ROSSI, MICHELA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/703351,eng,2012,Esperti anonimi,internazionale,Linköping University Electronic Press,Linköping,SWE,CONFERENCE PROCEEDINGS ServDes.2012 CO-CREATING SERVICES,-,-,"Espoo, Finland","ServDes.2012 Conference Proceedings Co-Creating Services, The 3rd Service Design and Service Innovation Conference.",,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"CANTU', DARIA;CORUBOLO, MARTA;SIMEONE, GIULIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/703927,tur;eng,2012,Comitato scientifico,internazionale,Izmir University of Economics,Izmir (Turkey),TUR,Agrindustrial Design: 2nd International Product and Service Design Congress and Exhibition on Agricultural Industries- Mediterranean Food / Design Proceedings,-,-,"Izmir, Turkey",Agrindustrial Design Symposium,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"VIGNATI, ARIANNA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/703928,eng,2012,Nessuno,internazionale,DuocUC,Santiago de Chile,CHL,Cumulus Working Paper. Projecting Design 2012,-,-,Santiago de Chile,Projecting Design 2012: Global Design Bridge,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"VIGNATI, ARIANNA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/705529,ita,2012,Comitato scientifico,internazionale,Ethos Edizioni,Oliena,-,Diagnosis for the conservation and valorization of cultural heritage,-,STAMPA,Napoli,Terzo convegno internazionale Diagnosis for the conservation and valorization of cultural heritage,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"ROSSI, MICHELA;BURATTI, GIORGIO;Giampiero Mele"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/707122,eng,2012,Comitato scientifico,internazionale,Springer,-,-,Constructing Ambient Intelligence Constructing Ambient Intelligence,-,-,Amsterdam,Ambient Gaming Workshop,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"DE LUCA, VANESSA;BERTOLO, MARESA;ZANNONI, MICHELE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/710143,por;eng,2012,Nessuno,internazionale,-,-,PRT,-,-,-,"Universidade da Beira Interior, Covilhã, Portugal",DESIGNA2011 – A Esperança Projectual / The Projectual Hope,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"CONTI, GIOVANNI MARIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/711334,eng,2012,Esperti anonimi,internazionale,-,-,-,"Procedia Computer Science, Volume 15",PROCEDIA COMPUTER SCIENCE,-,"Genova, Italia",Virtual Worlds fo Serious Applications (VS-GAMES'12),,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"RIGHI RIVA, PIETRO;PILLAN, MARGHERITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/725985,eng,2012,Comitato scientifico,internazionale,Universidade do Minho,Guimarães,PRT,Sustainable and inclusive design - 1st International Conference 2012,-,-,"Guimarães, Portogallo",International Conference on sustainable and inclusive design,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"VEZZOLI, CARLO ARNALDO;BACCHETTI, ELISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/732192,eng,2012,Esperti non anonimi,internazionale,Izmir University of Economics,Izmir,TUR,Proceedings of II Agrindustrial Design product and service design and exhibition on agrindustrial Industries,-,-,Izmir University of Economics,II Agrindustrial Design product and service design and exhibition on agrindustrial Industries,,Agrindustrial design; food design; mediterranean country; service design; product design; exhibition,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"FERRARA, MARIA RITA;A. Can Özcan;K. Nazan Turhan"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/732995,ita,2012,Comitato scientifico,nazionale,-,-,-,"Diagnosi, conservazione e valorizzazione del Patrimonio Culturale",-,-,Napoli,"Workshop Internazionale Diagnosi, conservazione e valorizzazione del Patrimonio Culturale",,3D Imaging; Legno; Confronto tecniche; low cost,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"AMORUSO, GIUSEPPE;RUSSO, MICHELE;G. Perone Ghiggi"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/738169,eng,2012,Comitato scientifico,internazionale,Ed. Luser Reasearch E.U.,Dornbirn,-,LED Lighting Technologies - Winning Approaches,-,-,Bregenz,LED professional Symposium + Expo LpS 2012,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"CASCIANI, DARIA;MUSANTE, FULVIO;PALEARI, DANILO;ROSSI, MAURIZIO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/739570,eng,2012,Esperti anonimi,internazionale,Izmir University of Economics,Izmir,TUR,Proceedings of Agrindustrial Design: 2nd Product and Service Design Congress and Exhibition on Agricultural Industries,-,-,Izmir,Agrindustrial Design: 2nd Product and Service Design Congress and Exhibition on Agricultural Industries,,Food design; Strategic Design; Service Design,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"MERONI, ANNA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/758936,eng,2012,"Sì, ma tipo non specificato",internazionale,-,-,-,Proceedings Odysseus 2012,-,-,"Mykonos, Greece",5th International Workshop on Freight Transportation and Logistics,,Lagrangean decomposition; Risk mitigation; Hazardous material transportation,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"AMALDI, EDOARDO;BRUGLIERI, MAURIZIO;A. Laurita;MAJA, ROBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/758952,eng,2012,Comitato scientifico,internazionale,-,-,-,Proceedings CTW2012,-,-,"Munchen, Germany",11th Cologne - Twente Workshop on Graphs and Combinatorial Optimization,,Rride sharing; MILP formulation; Matheuristic,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"BRUGLIERI, MAURIZIO;COLORNI VITALE, ALBERTO;T. Davidovic;S. Roksandic"
