dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.place,dc.publisher.country,dc.relation.ispartofbook,item.journal.title,dc.relation.medium,dc.relation.conferenceplace,dc.relation.conferencename,,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/502083,eng,1998,"Sì, ma tipo non specificato",internazionale,-,-,-,-,-,-,Roma,"The 7th International Conference of The Greening of Industry, 'Partnership and leadership. Building Alliances for a Sustainable Future'",,Industrial ecosystems,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"PIZZOCARO, SILVIA LUISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538925,eng,1998,-,internazionale,"J.D. Westwood, H.M. Hoffman et .. IOS Press",AMSTERDAM,NLD,Medicine Meets Virtual Reality,-,-,"San Diego, CA, USA",Medicine Meets Virtual Reality 6,,-,04.1 Contributo in Atti di convegno,none,3,"ROVETTA, ALBERTO;F. LORINI;CANINA, MARIA RITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538926,eng,1998,-,internazionale,"Edited by J.D. Westwood, H.M. Hoffman et al. IOS P",-,-,Medicine Meets Virtual Reality 6,-,-,"San Diego, California, USA",Medicine Meets Virtual Reality 6,,-,04.1 Contributo in Atti di convegno,none,7,"ROVETTA, ALBERTO;SALA, REMO;M. BRESSANELLI;M. E. GARAVALDI;F. LORINI;R. PEGORARO;CANINA, MARIA RITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538927,eng,1998,-,internazionale,"G. Morel, F. Vernadat",-,-,[Proceedings of the 9th Symposium on Information Control in Manufacturing IFAC],-,-,"Nancy - Metz, France",9th Symposium on Information Control in Manufacturing (IFAC),,-,04.1 Contributo in Atti di convegno,none,7,"ROVETTA, ALBERTO;SALA, REMO;M. BRESSANELLI;M. E. GARAVALDI;F. LORINI;R. PEGORARO;CANINA, MARIA RITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538958,eng,1998,-,internazionale,-,-,-,IFAC Conference on Manufacturing,-,-,"Cracow, Polonia",IFAC Conference on Manufacturing,,-,04.1 Contributo in Atti di convegno,none,7,"ROVETTA, ALBERTO;SALA, REMO;M. BRESSANELLI;M. E. GARAVALDI;F. LORINI;CANINA, MARIA RITA;R. PEGORARO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/540876,eng,1998,"Sì, ma tipo non specificato",internazionale,"ESA, European Space Agency",Noordwijk,NLD,-,-,-,"Cagliari, Sardegna, Italy",Explospace. Workshop on Space Exploration and Resources Exploitation,,design; comfort; garments; human factors; microgravity; items; space clothing; space design; wardrobe for space,04.1 Contributo in Atti di convegno,none,1,"DOMINONI, ANNALISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/559292,eng,1998,"Sì, ma tipo non specificato",internazionale,-,-,-,Fifth International Congress of Parkinson’s Disease and Movement Disorders,-,-,"New York, USA",-,,-,04.1 Contributo in Atti di convegno,none,5,"A. ANTONINI;ROVETTA, ALBERTO;R. FARIELLO;M. BARICHELLA;CANINA, MARIA RITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/689025,ita,1998,-,internazionale,-,Milano,-,-,-,-,Milano,"NIR-IT. Didattica, Società, Cultura, Mercato: le nuove frontiere di Internet",,-,04.1 Contributo in Atti di convegno,none,1,"RICCO', DINA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/502876,-,1999,-,-,-,-,-,-,-,-,"Florence, Italy",14th International Congress of EEG and Clinical Neurophysiology,,-,04.1 Contributo in Atti di convegno,none,3,"ROVETTA, ALBERTO;F. LORINI;CANINA, MARIA RITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538955,eng,1999,-,internazionale,-,-,-,-,-,-,"Oulu, Finland",Tenth World Congress on the Theory of Machines and Mechanisms,,-,04.1 Contributo in Atti di convegno,none,3,"ROVETTA, ALBERTO;F. LORINI;CANINA, MARIA RITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538956,eng,1999,-,internazionale,-,-,-,MMVR Int. Congress,-,-,"S. Francisco, USA",Medicine Meets Virtual Reality 7 Int. Congress,,-,04.1 Contributo in Atti di convegno,none,3,"ROVETTA, ALBERTO;CANINA, MARIA RITA;F. LORINI"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538957,eng,1999,-,nazionale,-,-,-,-,-,-,"Milan, Italy",Workshop NIR-IT '99: Internet: il media del 2000,,-,04.1 Contributo in Atti di convegno,none,4,"R. PEGORARO;ROVETTA, ALBERTO;F. LORINI;CANINA, MARIA RITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/503427,-,2000,-,-,-,-,-,-,-,-,Milano,Design plus Research,,-,04.1 Contributo in Atti di convegno,none,2,"RICCO', DINA;ANCESCHI G."
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/535927,eng,2000,-,internazionale,-,MILANO,ITA,Design Plus Research: proceedings of the Politecnico di Milano conference.,-,-,Milano,Convegno internazionale DESIGN PLUS RESEARCH,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"PARENTE, MARINA;CRISTALLO V;MORONE A."
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/537871,-,2000,-,internazionale,-,-,-,DesignPlusResearch,-,-,-,DesignPlusResearch,,-,04.1 Contributo in Atti di convegno,none,1,"COSTA, FIAMMETTA CARLA ENRICA"
