title,year,authors,internalAuthors,externalAuthors
Knitwear design new visions: smart-k project. how the traditional craft methodologies are evolving into new scenarios thanks to technological innovation.,2016,Motta martina;Gallarati federica;Conti giovanni maria;Dell'acqua bellavitis arturo,Motta martina;Gallarati federica;Conti giovanni maria;Dell'acqua bellavitis arturo
Il sistema di offerta dell'impresa entro il paradigma dell'experience design,2016,Iannilli valeria maria,Iannilli valeria maria
L'apporto delle scienze umane negli studi del design per il retail,2016,Iannilli valeria maria,Iannilli valeria maria
Smart consumer vs smart retail context,2016,Iannilli valeria maria,Iannilli valeria maria
Knowledge isles in an open access world: the project open archipelago,2011,Ciastellardi matteo;Eccli ugo;Perotta fabio,Ciastellardi matteo,Eccli ugo;Perotta fabio
Matèria connectada,2011,Ciastellardi matteo;De almeida cristina miranda,Ciastellardi matteo,De almeida cristina miranda
Connecting knowledge. innovation through bottom-up collaboration to promote and diffuse cultural heritage,2011,Ciastellardi matteo;De almeida cristina miranda,Ciastellardi matteo,De almeida cristina miranda
Il web come lo spazio della relazione. prodromi di un’ecologia del testo,2013,Ciastellardi matteo,Ciastellardi matteo
La narrazione e il supporto. il principio di traduzione nel progetto transmediale,2016,Ciastellardi matteo;De kerckhove derrick,Ciastellardi matteo,De kerckhove derrick
Digital wall. cognitive design for connective environment.,2013,De kerckhove derrick;Ciastellardi matteo;Aiello donato;Rossignaud maria pia;Irlando antonio,Ciastellardi matteo,De kerckhove derrick;Aiello donato;Rossignaud maria pia;Irlando antonio
Political reactivation in bottom-up environment. a social media framework to enhance participation from online network to everyday life and viceversa.,2011,Ciastellardi matteo,Ciastellardi matteo
Universities and industry: networks to co-innovate,2016,Palmieri stefania;Amandolese d.,Palmieri stefania,Amandolese d.
"Designing and innovating with paper, board, and cellulose pulp - progettare e fare innovazione con carta, cartone e polpa di cellulosa",2016,Bisson mario,Bisson mario
"Ultrasound system typologies, user interfaces and probes design: a review",2015,Andreoni giuseppe;Mazzola marco;Matteoli s;D’onofrio s;Forzoni l.;Procedia manufacturing  ,Andreoni giuseppe;Mazzola marco;Procedia manufacturing  ,Matteoli s;D’onofrio s;Forzoni l.
Projetando para a inovação: a cross fertilization como método,2016,Souza patrícia patrícia de mello;Conti giovanni maria;Opción  ,Conti giovanni maria;Opción  ,Souza patrícia patrícia de mello
Fun by design: the game design activity and its iterative process as (playful) learning practices,2016,Mariani ilaria;J. ackermann;Conjunctions  ,Mariani ilaria;Conjunctions  ,J. ackermann
The pragmatism as a semiotic route to designing: understanding the inferential logics of sense attribution,2016,Zingale salvatore;Domingues machado melo felipe;Dijon de moraes,Zingale salvatore;Domingues machado melo felipe,Dijon de moraes
Pegaso fit for future.,2015,Guarneri maria renata;Andreoni giuseppe,Guarneri maria renata;Andreoni giuseppe
Nuovi sistemi di salute personale: dalla ricerca al mercato,2012,Andreoni giuseppe;Collana di ingegneria biomedica  ,Andreoni giuseppe;Collana di ingegneria biomedica  
Defining requirements and related methods for designing sensorized garments,2016,Andreoni giuseppe;Standoli carlo emilio;Perego paolo;Sensors  ,Andreoni giuseppe;Standoli carlo emilio;Perego paolo;Sensors  
L’informazione mediata. il processo d’interazione nella cultura del testo,2016,Ciastellardi matteo,Ciastellardi matteo
Antropometria,2009,Andreoni giuseppe;Pizzagalli manuela,Andreoni giuseppe;Pizzagalli manuela
Biomeccanica occupazionale,2009,Andreoni giuseppe,Andreoni giuseppe
Augmented reality for collaborative media,2016,Ciastellardi matteo,Ciastellardi matteo
The empowering of the personal and situated dimensions of knowledge: web 2.0 and internet of things,2012,Ciastellardi matteo;De almeida cristina miranda,Ciastellardi matteo,De almeida cristina miranda
Education overload. mcluhan and the quest for new patterns in the era of total surround.,2013,Ciastellardi matteo,Ciastellardi matteo
Re-cognizing mcluhan’s critical thought,2011,Ciastellardi matteo;Patti emanuela,Ciastellardi matteo,Patti emanuela
From media literacy to transmedia literacy. an afterword,2013,Ciastellardi matteo;Di rosario giovanna,Ciastellardi matteo,Di rosario giovanna
Turismo spaziale,2015,Dominoni annalisa,Dominoni annalisa
Designing from the unfamiliar: how designing for space and extreme environments can generate spin-off and innovate product strategies,2015,Dominoni annalisa,Dominoni annalisa
For designers with their head beyond the clouds,2015,Dominoni annalisa;Politecnica  ,Dominoni annalisa;Politecnica  
Dispositivo educativo interattivo,2016,Sonia china;Ferraro venere;Belen corradi;Marius holter;Kasper pietrzykowski,Ferraro venere,Sonia china;Belen corradi;Marius holter;Kasper pietrzykowski
Negative experiences as learning trigger: a play experience empirical research on a game for social change case study,2016,Mariani ilaria;Gandolfi enrico;International journal of game-based learning  ,Mariani ilaria;International journal of game-based learning  ,Gandolfi enrico
Design per la sostenibilità ambiantale. progettare il ciclo di vita dei prodotti.,2017,Vezzoli carlo arnaldo,Vezzoli carlo arnaldo
Cross fertilization: um direcionamento para a inovação,2016,Souza patrícia de mello;Conti giovanni maria;Congresso brasileiro de pesquisa e desinvolvimento em design  ,Conti giovanni maria;Congresso brasileiro de pesquisa e desinvolvimento em design  ,Souza patrícia de mello
Antonio balestra e la gioventù romana.,2016,Maffeis rodolfo,Maffeis rodolfo
«quasi dentatae rotae»: leonardo disegna la luna,2015,Maffeis rodolfo;Studi e ricerche  ,Maffeis rodolfo;Studi e ricerche  
L'equivoco del sole immobile: cosmologia di leonardo tra disegni e testi,2015,Maffeis rodolfo,Maffeis rodolfo
Gioco tattile per non vedenti,2016,Ferraro venere;Lorenzo sarghini,Ferraro venere,Lorenzo sarghini
"Molto amore per nulla: il ""furioso"" in pittura nel settecento italiano",2014,Maffeis rodolfo,Maffeis rodolfo
Il cielo di leonardo e uno zodiaco dantesco.,2016,Maffeis rodolfo,Maffeis rodolfo
"Prefabricated, expandable and portable houses in the italian magazine domus from the thirties",2016,Feraboli maria teresa,Feraboli maria teresa
Le politiche per il design e il design per le politiche. dal focus sulla soluzione alla centralità della valutazione.,2016,Mortati marzia;Villari beatrice;Maffei stefano;Arquilla venanzio,Mortati marzia;Villari beatrice;Maffei stefano;Arquilla venanzio
Credere nel business sociale,2016,Galbiati maria luisa,Galbiati maria luisa
Contemporary communication scenarios,2016,Galbiati maria luisa,Galbiati maria luisa
Le prassi comunicative nell’era digitale,2016,Galbiati maria luisa;Serie di architettura e design  ,Galbiati maria luisa;Serie di architettura e design  
Designing materials experiences through passing of time - material driven design method applied to mycelium-based composites,2016,Parisi stefano;Rognoli valentina;Ayala garcia camilo,Parisi stefano;Rognoli valentina;Ayala garcia camilo
The emotional value of do-it-yourself materials,2016,Rognoli valentina;Ayala garcia camilo;Parisi stefano,Rognoli valentina;Ayala garcia camilo;Parisi stefano
Experimenting with materials-a source for designers to give meaning to new applications,2014,Ayala garcia camilo,Ayala garcia camilo
Dalla città nuova alla green city,2016,Irace fulvio,Irace fulvio
Design doing: the service designer role in a society where everybody designs,2016,Rossi martina;Touchpoint  ,Rossi martina;Touchpoint  
Tunnel fire testing and modeling  the morgex north tunnel experiment,2017,Borghetti fabio;Derudi marco;Gandini paolo;Frassoldati alessio;Tavelli silvia;Polimi springerbriefs  ,Borghetti fabio;Derudi marco;Gandini paolo;Frassoldati alessio;Tavelli silvia;Polimi springerbriefs  
Metropolis,2017,Irace fulvio,Irace fulvio
Luxusmarken-management,2017,Cappellieri alba;Tenuta livia,Cappellieri alba;Tenuta livia
"Mapping the iot: co-design, test and refine a design framework for iot products",2016,Vitali ilaria;Rognoli valentina;Arquilla venanzio,Vitali ilaria;Rognoli valentina;Arquilla venanzio
The material experiences as diy-materials:  self production of wool filled starch based composite (newool).,2016,Rognoli valentina;Ayala garcia camilo,Rognoli valentina;Ayala garcia camilo
Superfici imperfette,2016,Parisi stefano;Rognoli valentina;Md journal  ,Parisi stefano;Rognoli valentina;Md journal  
"Ics_materials: materiali interattivi, connessi e smart",2017,Rognoli valentina;Ferrara maria rita;Arquilla venanzio;Md journal  ,Rognoli valentina;Ferrara maria rita;Arquilla venanzio;Md journal  
"Comercio con la historia. oma, fondaco dei tedeschi in venice",2016,Irace fulvio;Arquitectura viva  ,Irace fulvio;Arquitectura viva  
Telling without talking: dynamic products’ potential for non-verbal communication,2016,Colombo sara;Rampino lucia rosa elena;International journal of arts and technology  ,Colombo sara;Rampino lucia rosa elena;International journal of arts and technology  
Milan 1630: the festivities to celebrate the birth of prince balthasar of spain and an invention by leonardo da vinci,2017,Marani pietro cesare;Bora giulio;The burlington magazine  ,Marani pietro cesare;The burlington magazine  ,Bora giulio
Engagement & storytelling for social innovation,2016,Galbiati maria luisa,Galbiati maria luisa
Games telling stories of and for social innovation,2016,Mariani ilaria,Mariani ilaria
A conversation with marisa galbiati & ezio manzini,2016,Galbiati maria luisa;Manzini ezio,Galbiati maria luisa;Manzini ezio
The pearl diver. the designer as storyteller,2016,Bertolotti elisa;Daam heather;Piredda francesca;Tassinari virginia,Bertolotti elisa;Piredda francesca,Daam heather;Tassinari virginia
Enriching geographic maps with accessible paths derived from implicit mobile device data collection,2016,Biagi ludovico giorgio aldo;Comai sara;Mangiarotti raffaella;Matteucci matteo;Negretti marco;Yavuz secil ugur,Biagi ludovico giorgio aldo;Comai sara;Mangiarotti raffaella;Matteucci matteo;Negretti marco,Yavuz secil ugur
