dc.publisher.place,dc.type.referee,dc.publisher.country,item.collection,item.openaireRights,dc.subject.keywordsita,dc.language.iso,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.type.full,dc.relation.ispartofbook,item.journal.title,dc.title,dc.relation.medium,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.type.circulation
-,-,-,-,none,-,ita,-,http://hdl.handle.net/11311/582420,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,NAUTECH,Imparare a generare idee nuove,-,1,-,"RATTI, ANDREA",-
-,-,-,01.1 Articolo in Rivista,none,-,ita,-,http://hdl.handle.net/11311/582424,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,NAUTECH,Alla scoperta di nuove tipologie,-,1,-,"RATTI, ANDREA",-
-,-,-,-,none,-,ita,-,http://hdl.handle.net/11311/582426,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,NAUTECH,Non solo yacht,-,1,-,"RATTI, ANDREA",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,ita,-,http://hdl.handle.net/11311/582500,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,FEDERMOBILI,il Design e i nuovi consumi,-,1,-,"DELL'ACQUA BELLAVITIS, ARTURO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,design for all; Disabled people; Interaction design; Communication systems design,http://hdl.handle.net/11311/582583,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,"KNOWLEDGE, TECHNOLOGY, & POLICY",User-Centred Design of Communication Environments and Systems for Disabled People,-,2,-,"COSTA, FIAMMETTA CARLA ENRICA;PILLAN, MARGHERITA",-
-,-,-,-,none,-,ita,-,http://hdl.handle.net/11311/582649,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,NAUTECH,Bella scoperta,-,1,-,"RATTI, ANDREA",-
-,-,-,-,none,-,ita,-,http://hdl.handle.net/11311/582651,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,NAUTECH,Prove tecniche di sostenibilità,-,1,-,"RATTI, ANDREA",-
-,-,-,01.1 Articolo in Rivista,none,-,eng,-,http://hdl.handle.net/11311/582652,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,NAUTECH,Sustainable Teaching,-,1,-,"RATTI, ANDREA",-
-,-,-,-,none,-,ita,-,http://hdl.handle.net/11311/582653,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,PROGETTARE,Materiali naturali per l'imbarcazione,-,1,-,"RATTI, ANDREA",-
-,-,-,01.1 Articolo in Rivista,none,-,ita,-,http://hdl.handle.net/11311/582655,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,VELA E MOTORE,A66. Advanced Italian Yachts,-,1,-,"RATTI, ANDREA",-
-,-,-,-,none,-,ita,-,http://hdl.handle.net/11311/582656,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,U & C. UNIFICAZIONE E CERTIFICAZIONE,La ricerca della sostenibilità di produzione attraverso la sperimentazione nel campo delle tecniche di lavorazione dei materiali compositi,-,3,-,"RATTI, ANDREA;M. Musio Sale;G. Puri",-
-,-,-,01.1 Articolo in Rivista,none,-,ita;eng,-,http://hdl.handle.net/11311/582659,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,COMPOSITI MAGAZINE,Bio-futuro per i compositi,-,1,-,"RATTI, ANDREA",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/582688,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,REDIGE,An infradisciplinary approach to interirior design,-,1,-,"DELL'ACQUA BELLAVITIS, ARTURO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/582691,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,REDIGE,"Design Knowledge sharing, creative greats events : tools for contemporary urban development",-,2,-,"GADDI, ROSSANA;DELL'ACQUA BELLAVITIS, ARTURO",-
-,-,-,-,none,-,ita,-,http://hdl.handle.net/11311/582746,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,SUITE,L’albergo urbano diffuso: nuovi orizzonti di ospitalità,-,1,-,"IANNILLI, VALERIA MARIA",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,ita,-,http://hdl.handle.net/11311/582751,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LOMBARDIA NORD-OVEST,l’autoproduzione che valorizza l’artigianato,-,1,-,"FERRARA, MARIA RITA",-
-,-,-,01.1 Articolo in Rivista,none,-,ita;eng,Museo del design; Storia del design; Frobel; Dresser; Bialetti; Dreyfuss; Sottsass,http://hdl.handle.net/11311/582754,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,ABITARE,Museo del Design - decima selezione,-,1,-,"BOSONI, GIAMPIERO",-
-,-,-,01.1 Articolo in Rivista,none,-,ita;eng,Innovazione; riduzione impatto ambientale; polpa di cellulosa,http://hdl.handle.net/11311/582767,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,.EXTRA,"Ricerca, Design e Impresa.Durapulp Lamp",-,1,-,"PICCINNO, GIOVANNA",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,ita,Storia del Design,http://hdl.handle.net/11311/582794,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,CASAMICA,Le mosse del cavallo,-,1,-,"BOSONI, GIAMPIERO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng;ita,-,http://hdl.handle.net/11311/582796,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DOMUS,"SKITSCH, Blocknotes 1, Recensioni della piccola e media industria italiana - Reviews of small and medium italian manufactures",-,1,-,"BOSONI, GIAMPIERO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,ita;eng,-,http://hdl.handle.net/11311/582797,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DOMUS,"MOROSO, Blocknotes 2, Recensioni della piccola e media industria italiana - Reviews of small and medium italian manufactures",-,1,-,"BOSONI, GIAMPIERO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,ita;eng,-,http://hdl.handle.net/11311/582798,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DOMUS,"Magis, Blocknotes 3, Recensioni della piccola e media industria italiana - Reviews of small and medium italian manufactures",-,1,-,"BOSONI, GIAMPIERO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,ita;eng,-,http://hdl.handle.net/11311/582799,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DOMUS,ROTALIANA Blocknotes 4. Recensioni della piccola e media industria italiana - Reviews of small and medium italian manufactures,-,1,-,"BOSONI, GIAMPIERO",-
-,Nessuno,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng;ita,light design; arte,http://hdl.handle.net/11311/582808,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,AND,"Ingo Maurer. Azioni di luce tra tecnica, arte e poesia",-,1,-,"TROCCHIANESI, RAFFAELLA",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,ita,-,http://hdl.handle.net/11311/582809,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,HOME ITALIA,Il dialogo azienda-distribuzione,-,1,-,"DELL'ACQUA BELLAVITIS, ARTURO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,ita,-,http://hdl.handle.net/11311/582810,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,HOME ITALIA,Tessile e valori emozionali,-,1,-,"DELL'ACQUA BELLAVITIS, ARTURO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,ita,-,http://hdl.handle.net/11311/582811,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,HOME ITALIA,Tecnologia e trends,-,1,-,"DELL'ACQUA BELLAVITIS, ARTURO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,Luigi Ferrario; scale; interior design,ita,-,http://hdl.handle.net/11311/583152,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,ARK,Progettare in verticale,-,1,-,"FERABOLI, MARIA TERESA",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,ita,Architettura moderna; design; Gio Ponti; casa di villeggiatura; Castione della Presolana; Bergamo,http://hdl.handle.net/11311/583479,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,ARK,Un progetto totale. Due case sorelle ai piedi della Presolana,-,1,-,"CIAGA', GRAZIELLA LEYLA",-
-,-,-,-,none,-,eng;ita,-,http://hdl.handle.net/11311/583503,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DOMUS,Dulio Forte. Interno in un interno,-,1,-,"FINESSI, GIUSEPPE",-
-,-,-,01.1 Articolo in Rivista,none,-,eng;ita,-,http://hdl.handle.net/11311/583504,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,ABITARE,Ospiti Inaspettati,-,1,-,"FINESSI, GIUSEPPE",-
-,-,-,01.1 Articolo in Rivista,none,-,eng;ita,-,http://hdl.handle.net/11311/583505,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,ABITARE,Progettare pensieri. Marco Ferreri Nuovo Maestro,-,1,-,"FINESSI, GIUSEPPE",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,ita,Paesaggio; italia; disegno del paesaggio; progetto,http://hdl.handle.net/11311/587275,2008,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,TAFTER JOURNAL,Dopo il paesaggio italiano,-,1,-,"PIERLUISI, GABRIELE",-
-,Esperti anonimi,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/588684,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,INTERNATIONAL JOURNAL OF DESIGN,The Innovation pyramid: a categorization of the innovation phenomenon in the product-design field,ELETTRONICO,1,-,"RAMPINO, LUCIA ROSA ELENA",-
-,Nessuno,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng;ita,-,http://hdl.handle.net/11311/589685,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DIID. DISEGNO INDUSTRIALE INDUSTRIAL DESIGN,Pet driven design,-,1,-,"CEPPI, GIULIO",-
-,Nessuno,-,01.1 Articolo in Rivista,none,-,eng,Real-time Rendering; 3D Modeling; Virtual Furniture Design; Furniture Design; Product Customization,http://hdl.handle.net/11311/598480,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DESIGN PRINCIPLES & PRACTICES,Tools and Methods to Assist the Product Customization in the Field of Furniture Design,-,4,-,"M. Gaiani;DESERTI, ALESSANDRO;BREVI, FAUSTO;S. Ferioli",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,ita,trasporti; tram; Bergamo; analisi costi benefici,http://hdl.handle.net/11311/605313,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,TERRITORIO,Il nuovo tram di Bergamo. Una valutazione ex-post,-,3,-,"BERIA, PAOLO;A. Borlini;MAJA, ROBERTO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,ita,-,http://hdl.handle.net/11311/608602,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LUCE,Il design del solid state lighting: una sperimentazione continua,-,3,-,"CASCIANI, DARIA;PALEARI, DANILO;ROSSI, MAURIZIO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng;ita,Foscarini. light design; Sadler; Iachetti,http://hdl.handle.net/11311/608693,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DOMUS,Block notes: recensioni della piccola e media industria italiana. Il caso Foscarini,-,1,-,"BOSONI, GIAMPIERO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng;ita,Riva 1920; forniture design; mobili in legno; Renzo Piano; Michele De Lucchi; Mario Botta,http://hdl.handle.net/11311/608697,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DOMUS,"Il caso Riva 1920, Block notes 7: recensioni della piccola e media industria italiana.",-,1,-,"BOSONI, GIAMPIERO",-
-,-,-,01.1 Articolo in Rivista,none,-,eng,-,http://hdl.handle.net/11311/608827,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,IEEE PULSE,Functional Evaluation and Rehabilitation Engineering,-,11,-,"ALIVERTI, ANDREA;FRIGO, CARLO ALBINO;ANDREONI, GIUSEPPE;BARONI, GUIDO;BONARINI, ANDREA;CERVERI, PIETRO;CRIVELLINI, MARCELLO;DELLACA', RAFFAELE;FERRIGNO, GIANCARLO;GALLI, MANUELA;PEDROCCHI, ALESSANDRA LAURA GIULIA",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,Transport networks; Complex systems; Safety; Vulnerability,http://hdl.handle.net/11311/608878,2008,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,RELIABILITY--THEORY & APPLICATIONS,Analysis of the safety efficiency of a road network: a real case study,-,4,-,"ZIO, ENRICO;SANSAVINI, GIOVANNI;MAJA, ROBERTO;MARCHIONNI, GIOVANNA",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,BCI; Brain–Computer Interface; Psychometric assessment; Color Progressive Matrices Raven Test,http://hdl.handle.net/11311/609093,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,JOURNAL OF NEUROSCIENCE METHODS,Cognitive ability assessment by Brain–Computer Interface: Validation of a new assessment method for cognitive abilities,-,7,-,"PEREGO, PAOLO;A. C. Turconi;ANDREONI, GIUSEPPE;MAGGI, LUCA;E. Beretta;PARINI, SERGIO;C. Gagliardi",-
-,Nessuno,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/609212,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,PROCEDIA: SOCIAL & BEHAVIORAL SCIENCES,PoliUniPool: a carpooling system for universities,-,4,-,"BRUGLIERI, MAURIZIO;D. Ciccarelli;COLORNI VITALE, ALBERTO;LUE', ALESSANDRO",-
-,-,-,01.1 Articolo in Rivista,none,-,eng,life cycle assessment; packaging for fruit and vegetables; corrugated box; reusable plastic containers,http://hdl.handle.net/11311/609239,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,PACKAGING TECHNOLOGY AND SCIENCE,A Comparative Life Cycle Assessment of Disposable and Reusable Packaging for the Distribution of Italian Fruit and Vegetables,-,4,-,"LEVI, MARINELLA;CORTESI, SARA;VEZZOLI, CARLO ARNALDO;SALVIA, GIUSEPPE",-
-,-,-,-,none,-,eng;ita,-,http://hdl.handle.net/11311/609280,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DOMUS,"Corrado Levi: ""Sono un ginnasta o sono un artista?"", 2010 (1984)",-,1,-,"FINESSI, GIUSEPPE",-
-,-,-,01.1 Articolo in Rivista,none,-,eng;ita,-,http://hdl.handle.net/11311/609281,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DOMUS,Dormire altrove,-,1,-,"FINESSI, GIUSEPPE",-
-,-,-,-,none,-,eng;ita,-,http://hdl.handle.net/11311/609282,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,INTERNI. LA RIVISTA DELL'ARREDAMENTO,Cruciale,-,1,-,"FINESSI, GIUSEPPE",-
-,Nessuno,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/614323,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,REDIGE,How to jump the pound on the female fitness Brazilian Market?Tools and strategy of design to create a path between ideas andmarkets,-,2,-,"D. Rodrigues;CONTI, GIOVANNI MARIA",-
-,-,-,-,none,-,-,-,http://hdl.handle.net/11311/628174,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DESIGN VIEW. MAGAZINE DELLA RETE NAZIONALE DI RICERCA SISTEMA DESIGN ITALIA,Valorizzare il sistema dei beni culturali con gli strumenti del design: riflessioni per la ricerca D.Cult,-,1,-,"VILLARI, BEATRICE",-
-,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/628175,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DESIGN VIEW. MAGAZINE DELLA RETE NAZIONALE DI RICERCA SISTEMA DESIGN ITALIA,Il design dei beni culturali: mappatura dei casi studio e lettura interpretativa,-,1,-,"VILLARI, BEATRICE",-
-,-,-,01.1 Articolo in Rivista,none,-,-,-,http://hdl.handle.net/11311/628176,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DESIGN VIEW. MAGAZINE DELLA RETE NAZIONALE DI RICERCA SISTEMA DESIGN ITALIA,Un modello di lettura dei beni e attività culturali in termini morfologici e organizzativi,-,1,-,"VILLARI, BEATRICE",-
-,Nessuno,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/628179,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,JOURNAL FOR THE SYSTEMIC INNOVATION OF EDUCATION,THE VALUE OF SYSTEMIC INNOVATION IN DESIGN EDUCATION,-,3,-,"BIANCHINI, MASSIMO;MAFFEI, STEFANO;VILLARI, BEATRICE",-
-,-,-,01.1 Articolo in Rivista,none,-,eng,-,http://hdl.handle.net/11311/630206,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,OTTAGONO,Scenari di vendita: un sistema di segni/Selling Scenarios: a sign language,-,1,-,"IANNILLI, VALERIA MARIA",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,"Compression tests, Masonry, Numerical modelling, Shear tests, Three-leaf walls",http://hdl.handle.net/11311/633052,2006,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,ENGINEERING STRUCTURES,A contribution for the understanding of load-transfer mechanisms in multi-leaf masonry walls: Testing and modelling,-,5,-,"BINDA, LUIGIA;J. Pina Henriques;ANZANI, ANNA;FONTANA, ALBERTO;P. B. Lourenço",-
-,Comitato scientifico,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,-,ita,Bramante; Bramantino; esami scientifici; dipinti,http://hdl.handle.net/11311/633053,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,RACCOLTA VINCIANA,"Sotto la pelle di Bramante e Bramantino: radiografie e riflettografie dei dipinti di Brera, Urbino e Madrid. Confronti e deduzioni a seguito di vecchie e nuove riprese",-,1,-,"MARANI, PIETRO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,Multiple-leaf masonry; Grout injections; Shear response; Acoustic emission technique; Damage localisation,http://hdl.handle.net/11311/633066,2008,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,MATERIALS AND STRUCTURES,Evaluation of the repair on multiple leaf stone masonry by acoustic emission,-,5,-,"ANZANI, ANNA;BINDA, LUIGIA;A. Carpinteri;G. Lacidogna;A. Manuello",-
-,Nessuno,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,por;eng,-,http://hdl.handle.net/11311/633636,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,REDIGE,Valorizing design culture through digital technologies,-,2,-,"CECONELLO, MAURO ATTILIO;SPALLAZZO, DAVIDE",-
-,-,-,01.1 Articolo in Rivista,none,-,eng;ita,nanotecnologies; smart textiles; strategic design,http://hdl.handle.net/11311/633842,2009,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,TEX INNOVATION,Design for Innovation and Industry Growth,-,1,-,"DOMINONI, ANNALISA",-
-,-,-,01.1 Articolo in Rivista,none,-,ita,-,http://hdl.handle.net/11311/633843,2005,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,L'ASTRONOMIA,Perchè l'uomo nello spazio?,-,1,-,"FERRARIS, SILVIA DEBORAH",-
-,-,-,-,none,-,ita,-,http://hdl.handle.net/11311/633846,2005,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,L'ASTRONOMIA,Abitare Marte: scienza e fantascienza,-,1,-,"FERRARIS, SILVIA DEBORAH",-
-,-,-,01.1 Articolo in Rivista,none,-,ita,-,http://hdl.handle.net/11311/633847,2003,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,IL GIORNALE DELL'ARCHITETTURA,Domotica alla fiera,-,1,-,"FERRARIS, SILVIA DEBORAH",-
-,-,-,-,none,-,ita,-,http://hdl.handle.net/11311/633850,2003,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,IL GIORNALE DELL'ARCHITETTURA,Un incubatore di cultura,-,1,-,"FERRARIS, SILVIA DEBORAH",-
-,-,-,01.1 Articolo in Rivista,none,-,ita,-,http://hdl.handle.net/11311/633851,2002,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,IL GIORNALE DELL'ARCHITETTURA,Fibre dalla luna alla terra,-,1,-,"FERRARIS, SILVIA DEBORAH",-
-,-,-,-,none,-,ita,-,http://hdl.handle.net/11311/633852,2002,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,IL GIORNALE DELL'ARCHITETTURA,La casa Risponde,-,1,-,"FERRARIS, SILVIA DEBORAH",-
-,Nessuno,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/633908,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,REDIGE,Design Research in Fashion: from Trends to Design Directions,-,1,-,"COLOMBI, CHIARA",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/636233,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,PLoS ONE,PLOS ONE,High-Resolution Measurements of Face-to-Face Contact Patterns in a Primary School,-,12,-,Cécile Viboud;Juliette Stehlé;Nicolas Voirin;Alain Barrat;Ciro Cattuto;Lorenzo Isella;Jean François Pinton;Marco Quaggiotto;Wouter Van den Broeck;Corinne Régis;Bruno Lina;Philippe Vanhems,-
-,Comitato scientifico,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,Advanced Design; Value; Process Design; Design Evaluation,http://hdl.handle.net/11311/636235,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DESIGN MANAGEMENT JOURNAL,The Extended Value of Design: an Advanced Design Perspective,-,3,-,"CELI, MANUELA;CELASCHI, FLAVIANO;MATA GARCIA, LAURA YADENIRA",-
-,Nessuno,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/636663,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DESIGN PRINCIPLES & PRACTICES,Teaching and learning graphic design basics through “play metaphor”,ELETTRONICO,1,-,"CARATTI, ELENA",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,Cloister vault; hollow bricks; steel; geometrical survey; numerical modelling,http://hdl.handle.net/11311/636904,2010,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,ADVANCED MATERIALS RESEARCH,Modeling the StaticBehaviour of a Double Curvature Brickwork Vault,-,4,-,"ANZANI, ANNA;CONDOLEO, PAOLA;GOBBO, ANTONIA;TALIERCIO, ALBERTO",-
-,-,-,-,none,-,ita,-,http://hdl.handle.net/11311/638709,2007,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,INTERNI. LA RIVISTA DELL'ARREDAMENTO,Lettera da Via Varese,-,1,-,"DE LUCCHI, MICHELE",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,fra,design management; fashion management; design research,http://hdl.handle.net/11311/640512,2004,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DESIGN MANAGEMENT MAGAZINE,Knowledge management e design: un prospective italienne.,-,1,-,"BERTOLA, PAOLA",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/641545,2012,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,WORK,Designing with Users to meet people needs: a teaching model,-,3,-,"ANSELMI, LAURA;CANINA, MARIA RITA;COCCIONI, MARIA ELISABETTA",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,ita,-,http://hdl.handle.net/11311/642328,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,WIRED,Insalata ti spiezzo in due,-,2,-,"MAFFEI, STEFANO;B. Parini",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,ita;eng,-,http://hdl.handle.net/11311/642329,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,INTERNI. LA RIVISTA DELL'ARREDAMENTO,Deja Vu,-,1,-,"MAFFEI, STEFANO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng;ita,-,http://hdl.handle.net/11311/642330,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,INTERNI. LA RIVISTA DELL'ARREDAMENTO,La cucina relazionale,-,1,-,"MAFFEI, STEFANO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng;ita,-,http://hdl.handle.net/11311/642331,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,INTERNI. LA RIVISTA DELL'ARREDAMENTO,Dal prodotto al servizio,-,1,-,"MAFFEI, STEFANO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng;ita,-,http://hdl.handle.net/11311/642332,2012,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,INTERNI. LA RIVISTA DELL'ARREDAMENTO,Il design a modo mio,-,1,-,"MAFFEI, STEFANO",-
-,Nessuno,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,ita;eng,-,http://hdl.handle.net/11311/642333,2012,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,INTERNI. LA RIVISTA DELL'ARREDAMENTO,Le nuove piattaforme produttive,-,1,-,"MAFFEI, STEFANO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,ita,-,http://hdl.handle.net/11311/642334,2011,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,IL GIORNALE DELL'ARCHITETTURA,Andrea Branzi: il design è in lutto,-,1,-,"MAFFEI, STEFANO",-
