dc.publisher.place,dc.type.referee,dc.publisher.country,item.collection,item.openaireRights,dc.subject.keywordsita,dc.language.iso,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.type.full,dc.relation.ispartofbook,item.journal.title,dc.title,dc.relation.medium,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.type.circulation
-,Comitato scientifico,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,-,eng,-,http://hdl.handle.net/11311/1018222,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,CULTURA E SCIENZE DEL COLORE / COLOR CULTURE AND SCIENCE,Domestic Horticultural – Centric Lighting Design,ELETTRONICO,3,-,"CASCIANI, DARIA;MUSANTE, FULVIO;ROSSI, MAURIZIO",-
-,Esperti anonimi,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,-,eng,-,http://hdl.handle.net/11311/1018223,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,JOURNAL OF THE INTERNATIONAL COLOUR ASSOCIATION,The colour consultant training for the future: a holistic view of design and technologies,ELETTRONICO,4,-,"ROSSI, MAURIZIO;Rizzi, Alessandro;Bonanomi, Cristian;SINISCALCO, ANDREA",-
-,Comitato scientifico,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,-,eng,-,http://hdl.handle.net/11311/1018224,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LUCE,The evaluation of flicker in LED lighting systems - La valutazione del flicker nei sistemi di illuminazione a LED,STAMPA,2,-,"MUSANTE, FULVIO;ROSSI, MAURIZIO",-
-,Comitato scientifico,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/1018545,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,PAD,Envision the nocturnal territory: Urban lighting as a design strategy for the recovery of places,ELETTRONICO,2,-,"GENTILI, HELENA;CASCIANI, DARIA",-
-,Comitato scientifico,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng;ita,-,http://hdl.handle.net/11311/1018547,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,LUCE,GENIUS LUCI - Il primo museo di illuminazione urbana all’EUR di Roma,STAMPA,3,-,"D'Alesio, Carlo;GENTILI, HELENA;CASCIANI, DARIA",-
-,Esperti anonimi,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/1018685,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,PAD,"Milano, Zona Tortona. Understanding a place branding strategy built upon history, visions and design.",ELETTRONICO,2,-,"SEDINI, CARLA;FOIS, LUCA",-
-,Esperti anonimi,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,-,eng,-,http://hdl.handle.net/11311/1018730,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,PAD,Editoriale #13. Which Design for which Territories?,ELETTRONICO,2,-,"PARENTE, MARINA;SEDINI, CARLA",-
-,Esperti anonimi,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,-,eng,-,http://hdl.handle.net/11311/1018732,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,PAD,Design for Territories as reflective practice,ELETTRONICO,1,-,"PARENTE, MARINA",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,-,eng,-,http://hdl.handle.net/11311/1018785,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,STRATEGIC DESIGN RESEARCH JOURNAL,Policy constellations as ecosystems of design actions: Exploring three cases of social innovation policies in Italy,ELETTRONICO,2,-,"SELLONI, DANIELA;MANZINI, EZIO",-
-,"Sì, ma tipo non specificato",-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,"Design degli Interni, Abitare, Società",ita,-,http://hdl.handle.net/11311/1018916,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,IL CORRIERE DELLA SERA,"Crolla un ""muro"". In soggiorno una società fluida",STAMPA,1,-,"GUERRINI, LUCA",-
-,Esperti anonimi,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,-,eng,-,http://hdl.handle.net/11311/1019018,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,OPEN LIBRARY OF HUMANITIES,Opening the Black Box of Scholarly Communication Funding: A Public Data Infrastructure for Financial Flows in Academic Publishing,ELETTRONICO,3,-,"Lawson, Stuart;Gray, Jonathan;MAURI, MICHELE",-
-,Esperti anonimi,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,"Design della comunicazione, oggetti, superficie, grafica, narrazione",ita,-,http://hdl.handle.net/11311/1019026,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,MD JOURNAL,Abiti grafici. Scritture di superficie e segni di identità,ELETTRONICO,1,-,"BUCCHETTI, VALERIA LUISA",-
