dc.subject.keywordsita,item.openaireRights,dc.subject.keywords,dc.identifier.uri,dc.type.referee,dc.publisher.name,dc.title,dc.publisher.place,dc.language.iso,item.journal.title,dc.description.allpeople,dc.relation.ispartofbook,dc.relation.medium,dc.date.issued,dc.type.circulation,dc.type.full,item.collection,dc.publisher.country,dc.description.numberofauthors
-0,none,-0,http://hdl.handle.net/11311/558164,-0,Poli.Design,Didattica&design. Processi e prodotti formativi nell'università che cambia,Milano,ita,-0,A. Penati; A. Seassaro,Didattica&Design,-0,2000,internazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,2
-0,none,-0,http://hdl.handle.net/11311/558165,-0,Poli.Design,Il design per i Distretti industriali,Milano,-0,-0,S. Maffei; G. Simonelli,-0,-0,2000,internazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,2
-0,none,-0,http://hdl.handle.net/11311/255146,-0,Edizioni Poli.Design,"Un progetto pilota.DxD-Design dor District, Progetti per un distretto, Prodotto, Comunicazione strategica",Milano,eng;ita,-0,F. Celaschi; L. Collina; G. Simonelli,-0,-0,2001,internazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,3
-0,none,-0,http://hdl.handle.net/11311/270178,-0,Edizioni Poli.Design,The themes of designing designers 2001,Milano,eng;ita,-0,L. Collina; G. Simonelli,-0,-0,2001,internazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,2
-0,none,-0,http://hdl.handle.net/11311/561513,-0,Edizioni POLI.design,MDM. Museo design Milano: il museo in rete per la rete dei musei,Milano,ita,-0,D. Moretti; J. Pallabazzer; A. Rebaglio,-0,-0,2001,-0,06 CURATELA::06.1 Curatela,-0,-0,3
-0,none,-0,http://hdl.handle.net/11311/692962,-0,GAI edizioni,Progettare il marchio. Identità del gai,-0,ita,-0,M. Piazza,-0,-0,2001,-0,06 CURATELA::06.1 Curatela,-0,-0,1
-0,-0,-0,http://hdl.handle.net/11311/242676,-0,Edizioni Poli.Design,Il design dell'ospitalità: la sala delle feste dell'Hotel Hilton Milan,Milano,-0,-0,L. Collina; L. Crespi; F. Reinhart,-0,-0,2002,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,3
-0,none,-0,http://hdl.handle.net/11311/264497,-0,Silvana Editoriale,"Design for working places. Environment, energy, new technologies",Milano,ita;eng,-0,M. Ingaramo,-0,-0,2002,internazionale,06 CURATELA::06.1 Curatela,-0,-0,1
-0,-0,-0,http://hdl.handle.net/11311/267750,-0,Edizioni Poli.Design,Movie Design per la comunicazione aziendale: Il Caso Mangiameli,Milano,-0,-0,M. Galbiati,-0,-0,2002,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,1
-0,none,design knowledge; interfacce,http://hdl.handle.net/11311/504754,-0,POLIdesign,DesignNet. Knowledge e Information Management per il design,MILANO,ita;eng,-0,P. CIUCCARELLI; INNOCENTI P.,-0,-0,2002,-0,06 CURATELA::06.1 Curatela,-0,ITA,2
-0,none,design per lo sviluppo locale; product design; communication design,http://hdl.handle.net/11311/532321,-0,Edizioni Libria,Rinnovare la tradizione: il design per il comparto ceramico di Cerreto Sannita e San Lorenzello.,MELFI (PZ),ita,-0,V. CRISTALLO; A. MORONE; M. PARENTE,-0,-0,2002,-0,06 CURATELA::06.1 Curatela,-0,ITA,3
-0,none,-0,http://hdl.handle.net/11311/532385,-0,M&B Publishing,Almanacco Tikkun 2002-2003,MILANO,-0,-0,S. ZINGALE; BONFANTINI M.A; STOCCHI. G,-0,-0,2002,-0,06 CURATELA::06.1 Curatela,-0,ITA,3
-0,none,-0,http://hdl.handle.net/11311/532420,-0,Il Sole 24 Ore Edizioni,I territori del design. Made in Italy e Sistemi Produttivi Locali,MILANO,ita,-0,S. MAFFEI; SIMONELLI G,-0,-0,2002,internazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,2
-0,none,-0,http://hdl.handle.net/11311/557131,-0,Il Sole 24 Ore,"Milano distretto del Design: un sistema di luoghi, attori e relazioni al servizio dell’innovazione",Milano,-0,-0,P. Bertola; D. Sangiorgi; G. Simonelli,-0,-0,2002,internazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,3
-0,none,-0,http://hdl.handle.net/11311/557135,-0,Esselibri,Edilizia sostenibile: 44 progetti dimostrativi,Napoli,ita,-0,S. Piardi; G. Scudo,-0,-0,2002,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,2
-0,-0,-0,http://hdl.handle.net/11311/568593,-0,Soprintendenza archeologica di Pompei,Il design della comunicazione. L'esperienza della Soprintendenza archeologica di Pompei,Napoli,-0,-0,D. Ricco',-0,-0,2002,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,1
-0,none,-0,http://hdl.handle.net/11311/692920,-0,-0,"Italic 1.0
Il disegno dei caratteri contemporaneo in Italia",-0,ita,-0,P. Lenarduzzi; M. Piazza; S. Sfligiotti,-0,-0,2002,-0,06 CURATELA::06.1 Curatela,-0,-0,3
-0,info:eu-repo/semantics/closedAccess,-0,http://hdl.handle.net/11311/989812,-0,Clup,Diritto d’Autori,-0,ita,-0,"Crippa, Davide; Di Prete, Barbara",-0,-0,2002,-0,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,2
-0,none,-0,http://hdl.handle.net/11311/242611,-0,Liguori Editore,Nuove specie di spazi,Napoli,ita,-0,I. Farè; S. Piardi,-0,-0,2003,internazionale,06 CURATELA::06.1 Curatela,-0,-0,2
-0,none,-0,http://hdl.handle.net/11311/254410,-0,Edizioni Poli.Design,DiLabb,Milano,-0,-0,A. Deserti; M. Galbiati; F. Galli,-0,-0,2003,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,3
-0,none,-0,http://hdl.handle.net/11311/262254,-0,Libreria Clup,Progettare e costruire imbarcazioni da diporto,Milano,-0,-0,S. Piardi; A. Ratti,-0,-0,2003,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,2
-0,none,-0,http://hdl.handle.net/11311/264969,-0,Edizioni Poli.Design,CimbalImage. Il movie design per la comunicazione d'impresa. Un progetto per il gruppo Cimbali-Faema,Milano,-0,-0,M. Galbiati; A. Terranova,-0,-0,2003,internazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,2
-0,none,-0,http://hdl.handle.net/11311/532240,-0,FrancoAngeli,La creatività diffusa. Culture e mestieri della moda oggi,MILANO,ita,-0,P. VOLONTE',-0,-0,2003,-0,06 CURATELA::06.1 Curatela,-0,ITA,1
-0,-0,food design; ricerca-azione; design per lo sviluppo locale,http://hdl.handle.net/11311/532322,-0,edizioni CLEAN,Design e sistema-prodotto alimentare. Un'esperienza territoriale di ricerca azione.,NAPOLI,ita,-0,V. CRISTALLO; E. GUIDA; A. MORONE; M. PARENTE,-0,-0,2003,-0,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,4
-0,none,-0,http://hdl.handle.net/11311/532345,-0,poli.design,Designing Designers: Design for a local global world,MILANO,-0,-0,L. COLLINA; GIULIANO SIMONELLI,-0,-0,2003,internazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,2
-0,none,-0,http://hdl.handle.net/11311/532386,-0,Moretti&Vitali,Un edificio per il terziario. La nuova sede ABB Italia a Sesto San Giovanni,BERGAMO,-0,-0,S. ZINGALE,-0,-0,2003,nazionale,06 CURATELA::06.1 Curatela,-0,ITA,1
-0,-0,-0,http://hdl.handle.net/11311/532511,-0,Polidesign,Ricerca design e sperimentazione per l’innovazione di prodotto nel settore dell’accessorio moda: il caso Mangiameli,MILANO,ita,-0,P. BERTOLA,-0,-0,2003,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,1
-0,none,-0,http://hdl.handle.net/11311/532576,-0,Clup,Progettare e costruire imbarcazioni da diporto,MILANO,ita,-0,A. RATTI; PIARDI S,-0,-0,2003,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,2
-0,none,-0,http://hdl.handle.net/11311/547790,-0,Poli.design,STAR | Sistema Topologico Argomentativo della Ricerca | Costruire l’organizzazione della conoscenza |Il caso ME.Design,Milano,ita,-0,A. Castelli; B. Villari,-0,-0,2003,-0,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,2
-0,info:eu-repo/semantics/closedAccess,-0,http://hdl.handle.net/11311/570243,-0,CHARTA,Acqua-da-bere,Milano,eng,-0,A. BARBARA,-0,-0,2003,internazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,1
-0,-0,-0,http://hdl.handle.net/11311/666015,-0,Alinea,16 tisaniere,Firenze,ita,-0,M. C. Tonelli,-0,-0,2003,-0,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,1
-0,none,arte ambientale; arte ambientata; ready made,http://hdl.handle.net/11311/690865,-0,Gli Ori,Il Giardino di Daniel Spoerri,Prato,ita,-0,A.Mazzanti,-0,-0,2003,-0,06 CURATELA::06.1 Curatela,-0,ITA,1
-0,none,-0,http://hdl.handle.net/11311/693207,-0,"CASVA, Centro di Alti Studi sulle Arti Visive, Comune di Milano",Gli archivi di architettura in Lombardia. Censimento delle fonti,Milano,ita,-0,G. L. Ciagà,-0,-0,2003,nazionale,06 CURATELA::06.1 Curatela,-0,-0,1
-0,info:eu-repo/semantics/closedAccess,Storia del design della comunicazione; Triennale di Milano; grafica; Milano; anni trenta; anni quaranta; anni cinquanta; anni settanta; anni ottanta; anni novanta,http://hdl.handle.net/11311/242853,-0,Casa Editrice Charta,Come Comete. Annunci e messaggi nella grafica della Triennale,Milano,ita,-0,S. Annicchiarico; M. Piazza,Come comete. Annunci e messaggi nella grafica della Triennale,-0,2004,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,2
-0,none,-0,http://hdl.handle.net/11311/244604,-0,Edizioni Poli.Design,Design Multiverso. Appunti di Fenomenologia del Design,Milano,-0,-0,P. Bertola; E. Manzini,-0,-0,2004,internazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,2
-0,-0,-0,http://hdl.handle.net/11311/247158,-0,Edizioni Poli.Design,Design at work 2004,Milano,ita;eng,-0,S. Palmieri,design at work 2004,-0,2004,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,1
-0,none,-0,http://hdl.handle.net/11311/250135,-0,Clup,Costruire imbarcazioni da diporto,Milano,-0,-0,S. Piardi; A. Ratti,-0,-0,2004,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,2
-0,none,-0,http://hdl.handle.net/11311/255226,-0,Edizioni Poli.Design,Il corpo delle cose,Milano,ita,-0,L. Collina,-0,-0,2004,nazionale,06 CURATELA::06.1 Curatela,-0,ITA,1
-0,none,Usabilità; User centred design; qualità d'uso,http://hdl.handle.net/11311/263492,-0,Moretti&Vitali,L'usabilità dei prodotti industriali,Milano,ita,-0,L. Anselmi; F. Tosi,-0,-0,2004,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,2
-0,-0,-0,http://hdl.handle.net/11311/532245,-0,Bompiani,Edmund Husserl. Fenomenologia e teoria della conoscenza,MILANO,ita;ger,-0,P. VOLONTE',-0,-0,2004,-0,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,1
-0,none,-0,http://hdl.handle.net/11311/532346,-0,Cranfield University,Solution oriented partnership. How to design industrialised sustainable solutions,-0,-0,-0,EZIO MANZINI; L. COLLINA; STEVE EVANS,-0,-0,2004,internazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,3
-0,none,-0,http://hdl.handle.net/11311/532533,-0,-0,Progetto giovane,-0,ita,-0,G. SIMONELLI; BARONI D,-0,-0,2004,internazionale,06 CURATELA::06.1 Curatela,-0,-0,2
-0,none,-0,http://hdl.handle.net/11311/532706,-0,FrancoAngeli,Design della comunicazione ed esperienze di acquisto,MILANO,ita,-0,V. BUCCHETTI,-0,-0,2004,nazionale,06 CURATELA::06.1 Curatela,-0,ITA,1
-0,info:eu-repo/semantics/closedAccess,-0,http://hdl.handle.net/11311/554612,-0,Edizioni POLI.Design,"Sapere, immaginare, fare: il design d’innovazione per l’elettrodomestico. Formazione post-lauream per il design dei prodotti a media complessità",Milano,ita,-0,L. Rampino,-0,-0,2004,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,1
-0,-0,-0,http://hdl.handle.net/11311/554653,-0,La rivista del colore,Design e finitura dei compositi derivati dal legno,Vimercate (MI),-0,-0,M. Ingaramo,-0,-0,2004,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,1
-0,-0,-0,http://hdl.handle.net/11311/563132,-0,Apogeo,Interaction Design,MILANO,ita,-0,F. Rizzo,-0,-0,2004,-0,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,1
-0,info:eu-repo/semantics/closedAccess,arte ambientale; site specific; environment art; scultura all'aperto; scultura ambientata; land art,http://hdl.handle.net/11311/641735,-0,Maschietto Editore,“SENTIERI NELL’ARTE”. Il contemporaneo nel paesaggio toscano,Firenze,ita,-0,A.Mazzanti,-0,-0,2004,-0,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,1
-0,info:eu-repo/semantics/closedAccess,-0,http://hdl.handle.net/11311/243592,-0,Clup Ed.,Gesticolando. cenni sulla diversità,Milano,ita,-0,"Davide, Crippa; Barbara, Di Prete",-0,-0,2005,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,2
-0,-0,-0,http://hdl.handle.net/11311/251057,-0,Franco Angeli,Packaging design,Milano,ita,-0,V. Bucchetti,-0,-0,2005,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,1
-0,none,Hospitality design; Ospitalità,http://hdl.handle.net/11311/261995,-0,Edizioni Poli.Design,"Designing Designers: Designing Hospitality- Visions, scenarios, systems, services, spaces and products",Milano,eng,-0,L. Collina; F. Scullica,-0,-0,2005,internazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,2
-0,none,-0,http://hdl.handle.net/11311/266768,-0,Edizioni Poli.Design,ManteroMood. Moviedesign for the silk concepì store La Tessitura_Como,Milano,-0,-0,M. Galbiati; F. Piredda,-0,-0,2005,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,2
-0,none,-0,http://hdl.handle.net/11311/268961,-0,Van Gorcum,"Methodology for Product Service System. How to develop clean, clever and competitive strategies in companies",Assen,eng,-0,C. Van Halen; C. Vezzoli; R. Wimmer,-0,-0,2005,internazionale,06 CURATELA::06.1 Curatela,-0,NLD,3
-0,none,-0,http://hdl.handle.net/11311/274162,-0,Edizioni Poli.Design,Performance. Designing for a cultural challange,Milano,-0,-0,L. Crespi; G. Piccinno; A. Rebaglio,-0,-0,2005,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,3
-0,none,-0,http://hdl.handle.net/11311/532294,-0,LibreriaClup,Costruire imbarcazioni da diporto. Esperienze in cantiere,MILANO,-0,-0,S. PIARDI; RATTI A.; MAGGIULLI F.,-0,-0,2005,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,3
-0,none,-0,http://hdl.handle.net/11311/532316,-0,CEA,Materiali e Design,MILANO,ita,-0,V. ROGNOLI; PEDEFERRI MP; DEL CURTO B; LEVI M,-0,-0,2005,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,4
-0,none,-0,http://hdl.handle.net/11311/532352,-0,POLI.design,"Design, imprese, distretti. Un approccio all'innovazione",MILANO,ita,-0,V. ARQUILLA; A. VIGNATI; G. SIMONELLI,-0,-0,2005,internazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,3
-0,none,-0,http://hdl.handle.net/11311/532388,-0,Moretti Honegger,La semiotica e le arti utili in undici dialoghi,BERGAMO,-0,-0,S. ZINGALE,-0,-0,2005,nazionale,06 CURATELA::06.1 Curatela,-0,ITA,1
-0,none,-0,http://hdl.handle.net/11311/532437,-0,Aracne Editrice,Il progetto in Biodesign. La costruzione di un percorso,ROMA,ita,-0,M. CANINA; VICENTINI F,-0,-0,2005,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,2
-0,-0,-0,http://hdl.handle.net/11311/532543,-0,-0,"KIWI, Knowledge Interaction Web Instruction",-0,-0,-0,A. COLORNI VITALE,-0,-0,2005,nazionale,06 CURATELA::06.1 Curatela,-0,-0,1
-0,none,-0,http://hdl.handle.net/11311/532575,-0,Clup,Costruire imbarcazioni da diporto - Esperienze in cantiere,MILANO,ita,-0,S. PIARDI; A. RATTI; F. MAGGIULLI,-0,-0,2005,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,3
-0,none,-0,http://hdl.handle.net/11311/532707,-0,Silvia Editrice,La coda della Q. 50 marchi per la Fondazione Quarta,MILANO,ita,-0,V. BUCCHETTI;  M. MINOGGIO,-0,-0,2005,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,2
-0,-0,-0,http://hdl.handle.net/11311/553865,-0,Aracne,"Hard Design. Il Product Design oggi, tra innovazione e creatività",Roma,-0,-0,M. Ingaramo,-0,-0,2005,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,1
-0,none,movie design; comunicazione d'impresa; Mantero; videoinstallazioni; strategie di comunicazione,http://hdl.handle.net/11311/662196,-0,Polidesign,ManteroMood. Movie design for the silk concept La Tessitura_Como,Milano,eng;ita,-0,M. Galbiati; F. Piredda,-0,-0,2005,-0,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,2
-0,none,-0,http://hdl.handle.net/11311/691044,-0,Electa,Le case nella Triennale. Dal Parco al QT8,Milano,ita,-0,G. L. Ciagà; G. Tonon,-0,-0,2005,-0,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,2
-0,info:eu-repo/semantics/closedAccess,Semitica; Arti; Design; Oggetti; Architettura; Spazi; Città,http://hdl.handle.net/11311/691292,-0,Moretti&Vitali,La semiotica e le arti utili in undici dialoghi,Bergamo,ita,-0,S. ZINGALE,-0,-0,2005,-0,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,1
-0,info:eu-repo/semantics/closedAccess,-0,http://hdl.handle.net/11311/692782,Nessuno,"CASVA, Centro di Alti Studi sulle Arti Visive, Comune di Milano",Luciano Baldessari e Milano. Progetti e realizzazioni in Lombardia,Milano,ita,-0,G. L. Ciagà,-0,-0,2005,-0,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,1
-0,none,-0,http://hdl.handle.net/11311/694273,-0,CEA,Materiali e Design,-0,ita,-0,Marinella Levi; Mariapia Pedeferri; Barbara Del Curto; Valentina Rognoli,-0,-0,2005,-0,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,4
-0,none,-0,http://hdl.handle.net/11311/242885,-0,Aracne Editrice,La luce come strumento di progetto,Roma,-0,-0,M. Rossi; A. Seassaro,-0,-0,2006,internazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,2
-0,-0,-0,http://hdl.handle.net/11311/269198,-0,Politecnico di Milano,"KIWI, Knowledge Interaction Web Instruction",Milano,-0,-0,A. Colorni,-0,-0,2006,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,1
-0,-0,-0,http://hdl.handle.net/11311/532241,-0,FrancoAngeli,Comunicare le identità. Percorsi della soggettività nell'età contemporanea,MILANO,ita,-0,L. BOVONE; P. VOLONTE',-0,-0,2006,-0,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,2
-0,none,-0,http://hdl.handle.net/11311/532273,-0,Libreria Clup,Books. The future of reading?,MILANO,eng,-0,L. CRESPI; PICCINNO G; REBAGLIO A,-0,-0,2006,internazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,3
-0,none,-0,http://hdl.handle.net/11311/532312,-0,Aracne,ergonomia e aspetti psicosociali - nuove competenze nella prevenzione dei rischi lavorativi,Roma,ita,-0,M. FIGIANI,-0,-0,2006,-0,06 CURATELA::06.1 Curatela,-0,-0,1
-0,none,design per il territorio; design per i beni culturali; design per lo sviluppo locale,http://hdl.handle.net/11311/532323,-0,Clean,"Design, territorio e patrimonio culturale",NAPOLI,ita,-0,V. CRISTALLO; E. GUIDA; A. MORONE; M. PARENTE,-0,-0,2006,-0,06 CURATELA::06.1 Curatela,-0,ITA,4
-0,info:eu-repo/semantics/closedAccess,design per i beni culturali,http://hdl.handle.net/11311/532324,-0,Poli.design,Il design per la valorizzazione dei beni culturali. Le premesse fondative della ricerca d.Cult,-0,ita,-0,MAFFEI S; M. PARENTE; VILLARI B,-0,-0,2006,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,3
-0,-0,-0,http://hdl.handle.net/11311/532349,-0,POLI.design,Design e Imprese Artigiane. Un modello per l'innovazione.,MILANO,ita,-0,V. ARQUILLA,-0,-0,2006,internazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,1
-0,none,-0,http://hdl.handle.net/11311/532418,-0,Motta,Living room design,MILANO,ita,-0,S. MAFFEI; PARINI B; ARQUILLA V,-0,-0,2006,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,3
-0,none,-0,http://hdl.handle.net/11311/532513,-0,Polidesign,Moda e Design. Cross fertilization per l'innovazione,MILANO,ita,-0,P. BERTOLA; CONTI G,-0,-0,2006,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,2
-0,none,-0,http://hdl.handle.net/11311/552831,-0,Franco Angeli,Design degli interni,Milano,-0,-0,L. Guerrini,-0,-0,2006,nazionale,06 CURATELA::06.1 Curatela,-0,-0,1
-0,none,-0,http://hdl.handle.net/11311/552839,-0,Clup,Books. The future of reading?,Milano,-0,-0,L. Crespi; G. Piccinno; A. Rebaglio,-0,-0,2006,internazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,3
-0,none,-0,http://hdl.handle.net/11311/552855,-0,Moretti Honegger,L’inventiva. Psòmega vent’anni dopo,Bergamo,-0,-0,S. ZINGALE; BONFANTINI M.A;,-0,-0,2006,nazionale,06 CURATELA::06.1 Curatela,-0,-0,2
-0,none,-0,http://hdl.handle.net/11311/552861,-0,Actes Sud,Salons,Arles Cedex,-0,-0,V. Arquilla; S. Maffei; B. Parini,-0,-0,2006,internazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,3
-0,none,-0,http://hdl.handle.net/11311/552867,-0,MusArc,Premio Biagio Rossetti 2005,Ferrara,-0,-0,L. Guerrini; N. Ventura,-0,-0,2006,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,2
