dc.relation.medium,dc.date.issued,dc.type.full,dc.type.circulation,dc.relation.ispartofbook,item.collection,dc.publisher.place,dc.identifier.uri,dc.publisher.country,dc.title,dc.relation.conferenceplace,dc.subject.keywords,dc.description.numberofauthors,item.openaireRights,dc.language.iso,dc.publisher.name,dc.relation.conferencename,dc.description.allpeople,dc.subject.keywordsita
-0,2002,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/667407,-0,Concorso internazionale ad inviti per la realizzazione del “Museo dell'audiovisivo nel Palazzo della Civiltà del Lavoro all' EUR” Roma,"EUR, Roma, Italia",-0,10,-0,ita,Ministero per i Beni Culturali. Ente E.U.R.,Concorso internazionale ad inviti,E. Avallone; G. Carbonara; G. Colucci; M. Fegiz; F. Galdo; M. Musmeci; S. Orsi; G. Pierluisi; M. sasso; A. Sciolari,-0
-0,2003,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/259638,-0,Proceedings of the 8th International Conference on Human Aspects of Advanced Manifacturing: Agility & Hybrid Automation,-0,-0,5,none,-0,-0,-0,S. Bagnara; S. Pozzi; A. Rizzo; F. Rizzo; S. Save,-0
-0,2003,07 ALTRO::07.12 Altro,internazionale,-0,-0,-0,http://hdl.handle.net/11311/565393,-0,Il tempo ai tempi di internet,-0,-0,1,none,-0,-0,-0,Guida F. E.,-0
-0,2003,07 ALTRO::07.12 Altro,nazionale,-0,-0,-0,http://hdl.handle.net/11311/565394,-0,Ma che strani tipi,-0,-0,1,none,-0,-0,-0,Guida F. E.,-0
-0,2003,07 ALTRO::07.12 Altro,nazionale,-0,-0,-0,http://hdl.handle.net/11311/570645,-0,Alitalia: un'Italia senza ali,-0,-0,1,-0,-0,-0,-0,M. Ponti,-0
-0,2003,07 ALTRO::07.12 Altro,nazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/570646,-0,La leggenda del corridoio Lisbona - Kiev,-0,-0,1,-0,-0,-0,-0,M. Ponti,-0
-0,2003,07 ALTRO::07.13 Progetti,-0,-0,-0,-0,http://hdl.handle.net/11311/638724,-0,Allestimento degli interni e grafica del Neues Museum Berlino,Berlino,-0,1,none,ger,Stiftung Preussischer Kulturbesitz rappresentato da Bundesamt für Bauwesen und Raumordnung (BBR)  Projekteferat Museumsinsel,Concorso per gli interni del Museo Egizio e Museum Preistorico,M. De Lucchi,-0
-0,2003,07 ALTRO::07.13 Progetti,-0,-0,-0,-0,http://hdl.handle.net/11311/667402,-0,"Concorso Internazionale Europan 7: “periferia-IN” sito di Bageria (PA), Italia","Bagheria (PA), Italia",-0,6,none,ita,Europan Italia_Comune di Bagheria,Concorso Internazionale Europan 7,E. Avallone; M. De Angelis; G. Forte; S. Orsi;  G. Pierluisi; A. Sciolari,-0
-0,2003,07 ALTRO::07.13 Progetti,-0,-0,-0,-0,http://hdl.handle.net/11311/667405,-0,"Concorso internazionale di progettazione in due fasi “Mille idee per un concorso” per la costruzione della nuova sede dell'Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise, Teramo.","Teramo, Italia",-0,8,none,ita,Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise,Concorso internazionale di progettazione in due fasi,E. Avallone; M. Cocciolito;  F. Galdo; G. Lupoi; M. Musmeci; S. Orsi;  G. Pierluisi; A. Sciolari,-0
-0,2003,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/689382,-0,Nuova Sede del Consiglio Regionale,Bari,-0,5,none,ita,Regione Puglia,Progettazione,P. Portoghesi; C. Blasi; G. Padovano; A. Nebuloni; M. Ruscelli,-0
