name	role	dept	SSID	OrcID
Guida Francesco Ermanno	Ricercatore universitario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-3679-3367
Iannilli Valeria Maria	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-6042-8944
Ingaramo Matteo Oreste	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-6961-7477
Irace Fulvio	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/18 - Storia Dell'Architettura	https://orcid.org/0000-0001-9938-2106
Lupo Eleonora	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-3677-0245
Maffei Stefano	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0001-9820-1326
Maffeis Rodolfo	Ricercatore legge 240/10 - t.det. a tempo pieno	Dipartimento di Design	L-ART/02 - Storia Dell'Arte Moderna	https://orcid.org/0000-0001-8341-7044
Maja Roberto	Professore associato a tempo pieno	Dipartimento di Design	ICAR/05 - Trasporti	https://orcid.org/0000-0002-3439-4963
Mangiarotti Raffaella	Ricercatore universitario a tempo definito	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-2579-5773
Marani Pietro Cesare	Professore ordinario a tempo pieno	Dipartimento di Design	L-ART/02 - Storia Dell'Arte Moderna	https://orcid.org/0000-0003-3880-8737
Mauri Michele	Ricercatore legge 240/10 - t.det. a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-1189-9624
Mazzanti Anna	Ricercatore universitario a tempo pieno	Dipartimento di Design	L-ART/03 - Storia Dell'Arte Contemporanea	https://orcid.org/0000-0002-7184-2980
Meroni Anna	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-8946-2361
Mortati Marzia	Ricercatore legge 240/10 - t.det. a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-6900-403X
Murano Francesco	Ricercatore universitario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-1724-3207
Nebuloni Attilio	Ricercatore universitario a tempo pieno	Dipartimento di Design	ICAR/14 - Composizione Architettonica E Urbana	https://orcid.org/0000-0002-9552-7002
Palmieri Stefania	Ricercatore universitario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-4693-7918
Parente Marina	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0001-6790-6657
Penati Antonella Valeria	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0001-8353-9287
Piardi Silvia Elvira Maria	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0001-8922-6353
Piazza Mario	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-9665-7730
Piccinno Giovanna	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-1804-7985
Pillan Margherita	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-4157-4305
Piredda Francesca	Ricercatore universitario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-0623-8450
Pizzocaro Silvia Luisa	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-0478-7950
Quaggiotto Marco	Ricercatore legge 240/10 - t.det. a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-4195-2369
Rampino Lucia Rosa Elena	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-7591-9324
Ratti Andrea	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-4115-2732
Rebaglio Agnese	Ricercatore universitario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-8952-5107
Ricco' Dina	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0001-8632-2649
Rizzo Francesca	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0001-5809-0684
Rossi Maurizio	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-0480-7912
Rossi Michela	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/17 - Disegno	https://orcid.org/0000-0001-9860-0562
Sangiorgi Daniela	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-1696-5782
Scullica Francesco	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-6872-5732
Simonelli Giuliano	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-1547-9654
Soldati Maria Grazia	Ricercatore universitario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-7710-0945
Spallazzo Davide	Ricercatore legge 240/10 - t.det. a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-2621-7617
Studer Luca Pasino	Ricercatore universitario a tempo pieno	Dipartimento di Design	ICAR/05 - Trasporti	https://orcid.org/0000-0002-8175-2890
Tolino Umberto	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-3791-1062
Tonelli Maria Cristina	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-1636-1113
Trocchianesi Raffaella	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-1724-0345
Turinetto Marco	Ricercatore universitario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-9434-4052
Vacca Federica	Ricercatore legge 240/10 - t.det. a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0001-5210-9356
Vezzoli Carlo Arnaldo	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-3792-3725
Vignati Arianna	Ricercatore legge 240/10 - t.det. a tempo definito	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-5664-6631
Villari Beatrice	Ricercatore legge 240/10 - t.det. a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-0762-0432
Volonte' Paolo Gaetano	Professore associato a tempo pieno	Dipartimento di Design	SPS/08 - Sociologia Dei Processi Culturali E Comunicativi	https://orcid.org/0000-0002-8132-4095
Zingale Salvatore	Ricercatore universitario a tempo pieno	Dipartimento di Design	M-FIL/05 - Filosofia E Teoria Dei Linguaggi	https://orcid.org/0000-0002-1020-9276
Zurlo Francesco	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-7095-0699
