dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.country,dc.publisher.place,dc.relation.ispartofbook,item.journal.title,dc.relation.medium,dc.title,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/657540,eng;ita,2012,-,-,Maggioli Editore,ITA,Santarcangelo di Romagna,-,-,-,Milano Maths in the city. A mathematical tour of Milanese Architecture - itinerario matematico dell'architettura milanese.,"Architettura e matematica; architecture and mathematics
disegno; drawing
proporzioni; proportions",06.1 Curatela,info:eu-repo/semantics/closedAccess,3,"ROSSI, MICHELA;Sylvie Duvernoy;Giampiero Mele"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/657544,eng,2012,-,-,McGraw-Hill Education,ITA,Milano,-,-,-,Nexus Ph.D. Day. Relationschip between Architecture and Mathematics,design and mathematics; design theory and analysis; design grammars; Harmony and Architecture; parametric design; digital models; archeoastronomy,06.1 Curatela,info:eu-repo/semantics/closedAccess,1,"ROSSI, MICHELA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/662224,eng,2012,-,-,ACM,USA,New York,-,-,-,DPPI11. Designing Pleasurable Products and Interfaces. Proceedings,-,06.1 Curatela,none,4,"CAUTELA, CABIRIO;DESERTI, ALESSANDRO;RIZZO, FRANCESCA;ZURLO, FRANCESCO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/664557,ita,2012,Comitato scientifico,-,FrancoAngeli,-,Milano,-,-,-,Moda e arte,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"PEDRONI, MARCO LUCA;VOLONTE', PAOLO GAETANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/666284,eng,2012,Nessuno,-,Maggioli,-,-,-,-,-,Color and colorimetry Multidisciplinary contribution - Vol VIIIb,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,1,"ROSSI, MAURIZIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/666288,ita,2012,Nessuno,-,Maggioli,-,-,-,-,-,Colore e colorimetria Contributi Multidisciplinari Vol VIIIa,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"ROSSI, MAURIZIO;SINISCALCO, ANDREA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/666945,eng;ita,2012,-,-,Corraini Edizioni,ITA,Mantova,-,-,-,Fare Lume,Candela; Arte; Design,06.1 Curatela,none,1,"FINESSI, GIUSEPPE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/668544,eng,2012,-,-,Editore Franco Angeli,ITA,Milano,-,-,-,Design Research: Between Scientific Method and Project Praxis. Notes on Doctoral Research in Design 2012,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,1,"RAMPINO, LUCIA ROSA ELENA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/685510,ita;eng,2012,-,-,Corraini,ITA,Mantova,-,-,-,Inventario 05,-,06.1 Curatela,none,1,"FINESSI, GIUSEPPE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/686839,eng;ita,2012,Nessuno,-,FrancoAngeli,-,milano,-,-,-,Giulio Iaccheti Research Experiences in Design,-,06.1 Curatela,none,1,"BIAMONTI, ALESSANDRO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/686857,eng,2012,-,-,MAGGIOLI EDITORE,ITA,Sant'Arcangelo di Romagna (RN),-,-,-,Exhibit,-,06.1 Curatela,none,3,"FASSI, DAVIDE;REBAGLIO, AGNESE;I. Vegni"
