dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.country,dc.publisher.place,dc.relation.ispartofbook,item.journal.title,dc.relation.medium,dc.title,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/574885,ita,2010,-,-,Maggioli Editore,ITA,Sant'Arcangelo di Romagna (RN),-,-,-,MetaModa. Percorsi di ricerca per il design del prodotto moda,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"BERTOLA, PAOLA;COLOMBI, CHIARA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/574951,eng,2010,-,-,Franco Angeli,ITA,Milano,-,-,-,Notes on Doctoral Research in Design. Contributions from the Politecnico di Milano,Design Research,06.1 Curatela,info:eu-repo/semantics/closedAccess,1,"GUERRINI, LUCA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/575286,eng;ita,2010,-,-,De Agostini,ITA,Novara,-,-,-,Codex Atlanticus. Macchine per l'architettura e il territorio. Disegni di Leonardo dal Codice Atlantico,Leonardo da Vinci; disegni; tecnologia; architettura; macchine,06.1 Curatela,none,2,"MARANI, PIETRO;CORDERA, PAOLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/575288,ita,2010,-,-,Silvana Editoriale-Amilcare Pizzi,ITA,Cinisello Balsamo-Milano,-,-,-,Leonardo da Vinci. Il Musico,Leonardo; dipinti; Ambrosiana; musica,06.1 Curatela,none,1,"MARANI, PIETRO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/578005,eng,2010,Esperti anonimi,-,Greenleaf Publishing,GBR,Sheffield,-,-,-,"Sustainability in design: now! Challenges and opportunities for design research, education and practice in the XXI century.",-,06.1 Curatela,info:eu-repo/semantics/closedAccess,3,"CESCHIN, FABRIZIO;VEZZOLI, CARLO ARNALDO;J. Zhang"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/578301,ita,2010,-,-,Maggioli,-,-,-,-,-,Colore e colorimetria contributi multidisciplinari Vol VI,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,1,"ROSSI, MAURIZIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/578522,eng,2010,-,-,IDC Colour Centre,ITA,Milano,-,-,-,Colore. quaderni di cultura e progetto del colore / notes on colour culture and design,-,06.1 Curatela,none,1,"BOERI, CRISTINA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/579241,ita;eng,2010,-,-,Edizioni Dativo,ITA,Milano,-,-,-,Innovazione nel packaging design. Riflessioni e strumenti.,-,06.1 Curatela,none,2,"BUCCHETTI, VALERIA LUISA;CIRAVEGNA, ERIK"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/580803,ita,2010,-,-,De Pedrini,ITA,Milano,-,-,-,Latitudine 45°40'80'' - Longitudine 9°15'20''. Milanofiori Nord,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,3,"BARBARA, ANNA;L. Molinari"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/582065,eng;ita,2010,-,-,Silvana Editoriale,ITA,Cinisello Balsamo,-,-,STAMPA,Luigi Ferrario. Paesaggi costruiti,Architettura contemporanea; Luigi Ferrario,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"CIAGA', GRAZIELLA LEYLA;FERABOLI, MARIA TERESA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/582693,ita,2010,-,-,Franco Angeli,ITA,Milano,-,-,-,"La semiotica e il progetto 2. Spazi, oggetti, interfacce",-,06.1 Curatela,none,3,"C. Bianchi;F. Montanari;ZINGALE, SALVATORE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/583474,ita,2010,-,-,Pagliai,-,Firenze,-,-,-,"Novecento Sedotto, il fascino del Seicento fra le due guerre",-,06.1 Curatela,none,3,"MAZZANTI, ANNA;L. Mannini;V. Gensini"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/583494,ita;eng,2010,-,-,Corraini Edizioni,-,-,-,-,-,"Ospiti Inaspettati. Case di ieri, design di oggi",-,06.1 Curatela,none,1,"FINESSI, GIUSEPPE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/583495,eng;ita,2010,-,-,Corraini Edizioni,-,-,-,-,-,Inventario 01,-,06.1 Curatela,none,1,"FINESSI, GIUSEPPE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/692776,ita;eng,2010,-,-,Silvana Editoriale,-,Cinisello Balsamo,-,-,STAMPA,Luigi Ferrario. Paesaggi costruiti,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"CIAGA', GRAZIELLA LEYLA;FERABOLI, MARIA TERESA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/572638,eng,2011,Comitato scientifico,-,Gower Publishing Limited,GBR,-,-,-,-,Design for Services,Service Design; Design for Services; Design for Sustainability; Strategic Design; Product Service System Design,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"MERONI, ANNA;SANGIORGI, DANIELA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/576680,ita;eng,2011,-,-,Aiap Edizioni,ITA,Milano,-,-,-,"On the road. Bob Noorda, il grafico del viaggio (titolo inglese ""On the road. Bob Noorda: travelling with a graphic designer"").",Design della comunicazione; progetto grafico; identità visiva; editoria.,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"GUIDA, FRANCESCO ERMANNO;FERRARA, CINZIA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/579322,ita,2011,-,-,Maggioli Editore,ITA,-,-,-,-,La ricerca nel disegno di design. giornata di studio 20 ottobre 2010,Disegno; Rappresentazione; Design del Prodotto; Design della Moda; Design della Comunicazione; Design degli Interni; Design dei Beni culturali,06.1 Curatela,info:eu-repo/semantics/closedAccess,8,"AMORUSO, GIUSEPPE;BISTAGNINO, ENRICA;BREVI, FAUSTO;CECONELLO, MAURO ATTILIO;GUIDI, GABRIELE;PIERLUISI, GABRIELE;ROSSI, MICHELA;RUSSO, MICHELE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/580903,ita;eng,2011,-,-,Aiap Edizioni,-,Milano,-,-,-,"Il segno continuo. Simonetta Ferrante.Grafica tra arte, calligrafia e design",-,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"GUIDA, FRANCESCO ERMANNO;Lorenzo Grazzani"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/580905,ita,2011,-,-,Franco Angeli,-,Milano,-,-,-,Type Design. Esperienze progettuali tra teoria e prassi.,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"GUIDA, FRANCESCO ERMANNO;ILIPRANDI, GIANCARLO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/583875,ita,2011,-,-,Franco Angeli,-,-,-,-,-,Comunicazione a misura d'uomo,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,1,"PILLAN, MARGHERITA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/604685,ita,2011,-,-,Maggioli,ITA,Santarcangelo di Romagna,-,-,STAMPA,"Realtà, simulazione e progetto. Il ruolo del modello",modello; modellazione digitale; modelli del colore; disegno; reverse modeling; virtual prototyping,06.1 Curatela,info:eu-repo/semantics/closedAccess,7,"AMORUSO, GIUSEPPE;Enica Bistagnino;BREVI, FAUSTO;Mauro Cecconello;PIERLUISI, GABRIELE;ROSSI, MICHELA;RUSSO, MICHELE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/605680,ita,2011,-,-,Maggioli Editore,-,Milano,-,-,-,"Realtà, simulazione e progetto. Il ruolo del modello",disegno; modello; design.,06.1 Curatela,info:eu-repo/semantics/closedAccess,7,"AMORUSO, GIUSEPPE;Enica Bistagnino;BREVI, FAUSTO;Mauro Cecconello;PIERLUISI, GABRIELE;ROSSI, MICHELA;RUSSO, MICHELE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/608307,ita,2011,-,-,24 ore Cultura,-,Milano,-,-,-,Franco Albini,Albini; design; interior design; mobili; architettura d'interni; Helg; Cassina; Poggi; Arflex,06.1 Curatela,info:eu-repo/semantics/closedAccess,1,"BOSONI, GIAMPIERO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/608399,eng,2011,-,-,Maggioli,-,-,-,-,-,Color and Colorimetry Multidisciplinary Contributions,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,1,"ROSSI, MAURIZIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/608400,ita,2011,-,-,Maggoli,-,-,-,-,-,Colore e colorimetria contributi multidisciplinari,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,1,"ROSSI, MAURIZIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/609276,ita;eng,2011,-,-,Corraini Edizioni,ITA,Mantova,-,-,-,Cruciale,-,06.1 Curatela,none,1,"FINESSI, GIUSEPPE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/609277,ita;eng,2011,-,-,Corraini Edizioni,ITA,Mantova,-,-,-,Di vaso in fiore,-,06.1 Curatela,none,1,"FINESSI, GIUSEPPE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/609278,ita;eng,2011,-,-,Corraini Edizioni,ITA,Mantova,-,-,-,Inventario 02,-,06.1 Curatela,none,1,"FINESSI, GIUSEPPE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/609279,ita;eng,2011,-,-,Corraini Edizioni,ITA,Mantova,-,-,-,Inventario 03,-,06.1 Curatela,none,1,"FINESSI, GIUSEPPE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/614714,ita,2011,-,-,"Comune di Milano, CASVA, Biblioteca d'Arte",ITA,Milano,-,-,-,"Per l’esposizione, mi raccomando…!Milano e l’Esposizione internazionale del Sempione del 1906 nei documenti del Castello Sforzesco.",Esposizioni; Milano; 1906,06.1 Curatela,none,2,"RICCI, GIULIANA;CORDERA, PAOLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/630994,ita,2011,-,-,Silvana Editoriale,ITA,Cinisello Balsamo Milano,-,-,-,Leonardo: il Genio il Mito,Leonardo; Mito; Disegni; Pittura; Fortuna,06.1 Curatela,none,5,"MARANI, PIETRO;PEDRETTI, C.;SALVI, P.;VITULO, C.;BARILLI, R."
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/635446,ita,2011,-,-,FrancoAngeli,ITA,Milano,-,-,-,Altre figure. Intorno alle figure di argomentazione,-,06.1 Curatela,none,1,"BUCCHETTI, VALERIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/639706,ita,2011,-,-,Liguori,ITA,Napoli,-,-,-,L’oggetto nell’arte contemporanea. Uso e riuso,oggetto; ready made; oggettori; riuso; estetica dell'oggetto; object trouvé,06.1 Curatela,none,2,"E. Crispolti;MAZZANTI, ANNA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/642133,ita,2011,-,-,MAGGIOLI EDITORE,ITA,-,-,-,-,PROGETTARE UN GIOCO NON E' UN GIOCO,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"FOIS, LUCA;VIGNATI, ARIANNA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/643730,eng;ita,2011,Comitato scientifico,-,SKIRA EDITORE SPA,ITA,MILANO,-,-,STAMPA,"COMUNICARE IN MOVIMENTO, COMMUNICATION IN MOTION",-,06.1 Curatela,info:eu-repo/semantics/closedAccess,1,"BRUNO, DAVIDE MARIA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/645146,ita,2011,-,-,Rizzoli,ITA,Milano,-,-,-,"Abitare. 50 anni di design: case, architetture, oggetti, fotografie, mode, design, viaggi – 1961-2011",-,06.1 Curatela,info:eu-repo/semantics/closedAccess,1,"PIAZZA, MARIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/662385,ita,2011,-,-,Maggioli Editore,ITA,Santarcangelo di Romagna,-,-,STAMPA,"Realtà, simulazione e progetto. Il ruolo del modello",Disegno; modello; progetto; colore; rappresentazione,06.1 Curatela,info:eu-repo/semantics/closedAccess,7,"AMORUSO, GIUSEPPE;BISTAGNINO, ENRICA;BREVI, FAUSTO;CECONELLO, MAURO ATTILIO;PIERLUISI, GABRIELE;ROSSI, MICHELA;RUSSO, MICHELE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/666304,eng;ita,2011,-,-,Corraini Edizioni,ITA,Mantova,-,-,-,Inventario 04,-,06.1 Curatela,none,1,"FINESSI, GIUSEPPE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/688715,ita;eng,2011,-,-,Maggioli Editore,ITA,Sant'Arcangelo di Romagna (RN),-,-,-,Design for innovative communities,GIDE; design; communities; innovazione; internazionale,06.1 Curatela,none,2,"FASSI, DAVIDE;REBAGLIO, AGNESE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/731991,spa,2011,Nessuno,-,Museo Reina Sofia,ESP,Madrid,-,-,-,Emilio Ambasz.Invenciones: arquitectura y Diseno,Catalogo della mostra al Museo Nacional  de Arte Reina Sofia; Madrid; dicembre 2011,06.1 Curatela,none,1,"IRACE, FULVIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/632812,spa;eng;ita,2012,-,-,Ediciones Fundación Internacional Artecittà,ESP,Granada,-,-,-,MuVi3. Video and moving image on synesthesia and visual music / MuVi3. Vídeo e imagen en movimiento sobre sinestesia y música visual,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,2,"RICCO', DINA;M. J. De Córdoba"
