dc.type.referee,item.collection,dc.subject.keywords,dc.language.iso,dc.description.numberofauthors,dc.title,dc.description.allpeople,dc.relation.medium,dc.publisher.name,dc.publisher.country,dc.date.issued,dc.identifier.uri,dc.subject.keywordsita,item.openaireRights,dc.type.full,dc.publisher.place,dc.type.circulation
-0,03.1 Monografia o trattato scientifico,design; ambient; competitività; dfe; lca,-0,1,Il DfE in impresa. Design for Environment: il progetto di prodotti eco-compatibili,R. Mangiarotti,-0,Maggioli Editore,ITA,2000,http://hdl.handle.net/11311/558268,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Rimini,internazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,1,Percorsi nella produzione degli apparecchi d’illuminazione: letture di settore guidate dal design,G. Simonelli,-0,Poli.design,-0,2000,http://hdl.handle.net/11311/558276,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,internazionale
-0,-0,-0,-0,1,Storie di architettura attraverso i sensi,A. BARBARA,-0,bruno mondadori,ITA,2000,http://hdl.handle.net/11311/570241,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,milano,-0
-0,03.1 Monografia o trattato scientifico,-0,eng,1,Cliostraat,A. BARBARA,-0,LIBRIA,-0,2000,http://hdl.handle.net/11311/570242,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,-0,-0
-0,03.1 Monografia o trattato scientifico,-0,ita,1,AUTOMOBILE: GLOSSARIO DELLO STILE,M. Turinetto,STAMPA,Giorgio Nada Editore,ITA,2000,http://hdl.handle.net/11311/692450,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,-0
-0,-0,-0,-0,1,Razionalità e responsabilità. La fondazione etica dell'epistemologia delle scienze sociali in Max Weber,P. VOLONTE',-0,Rubbettino,-0,2001,http://hdl.handle.net/11311/504074,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,SOVERIA MANNELLI,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,1,Le imprese sociali e i beni culturali,P. VOLONTE',-0,FrancoAngeli,-0,2001,http://hdl.handle.net/11311/504075,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,4,Design for District. Progetti per un distretto,G. SIMONELLI; CELASCHI F.; COLLINA L.; (A CURA DI),-0,POLIdesign Editore,ITA,2001,http://hdl.handle.net/11311/504997,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,-0
-0,03.1 Monografia o trattato scientifico,-0,-0,2,Designing Designers. Training strategies for the third Millennium.,G. SIMONELLI; COLLINA L.,-0,Edizioni POLI.DESIGN,ITA,2001,http://hdl.handle.net/11311/505001,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,internazionale
-0,-0,-0,-0,2,Metodi e modelli per il trasporto pubblico locale,PODESTA' C.; R. MAJA,-0,Franco Angeli,ITA,2001,http://hdl.handle.net/11311/505257,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,1,Artefatti di transizione: un ossevatorio per il design della comunicazione,G. Baule,-0,Poli.Design,-0,2001,http://hdl.handle.net/11311/557884,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,internazionale
-0,03.1 Monografia o trattato scientifico,-0,ita,1,Giovane è il design. Nodi contemporanei della didattica per il progetto,A. Penati,-0,Poli.design,-0,2001,http://hdl.handle.net/11311/557897,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,internazionale
-0,03.1 Monografia o trattato scientifico,-0,ita,1,"Materiali per la socirtà dell'informazione: icone, artefatti, tipologie formati",G. Baule,-0,Edizioni Poli.Design,-0,2001,http://hdl.handle.net/11311/557906,-0,info:eu-repo/semantics/openAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,internazionale
