dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.circulation,dc.publisher.name,dc.publisher.country,dc.publisher.place,dc.relation.ispartofbook,dc.relation.medium,dc.relation.conferenceplace,dc.relation.conferencename,dc.title,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/691093,-,2002,nazionale,-,-,-,-,-,-,-,"Nuove tecnologie, multimedia e standard grafici per la rappresentazione digitale del territorio",-,07.12 Altro,info:eu-repo/semantics/closedAccess,1,"CECONELLO, MAURO ATTILIO"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/665920,ita,2002,-,Comune di Piacenza,-,-,-,-,Piacenza,"Contratto di ricerca per ""Contratto di quartiere San Giuseppe Baia del Re di Piacenza. Il controllo di qualità e la flessibilità nel progetto di riqualificazione""",Contratto di quartiere San Giuseppe Baia del Re di Piacenza. Il controllo di qualità e la flessibilità nel progetto di riqualificazione,Contratto di quartiere; Edilizia residenziale pubblica; Sistemi di qualità,07.13 Progetti,none,13,"SCHIAFFONATI, FABRIZIO;SCOCCIMARRO, ANTONIO;FANZINI, DANIELE;BIANCHI, CRISTINA;CAVALLERI, ANNA;COLLINA, LUISA MARIA VIRGINIA;M. Corò;DAGLIO, LAURA;FANTINI, ADRIANA;GINELLI, ELISABETTA;MUSSINELLI, ELENA GERMANA;M. Sancito;VITOLA, FRANCESCO"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/667407,ita,2002,-,Ministero per i Beni Culturali. Ente E.U.R.,-,-,-,-,"EUR, Roma, Italia",Concorso internazionale ad inviti,Concorso internazionale ad inviti per la realizzazione del “Museo dell'audiovisivo nel Palazzo della Civiltà del Lavoro all' EUR” Roma,-,07.13 Progetti,none,10,"E. Avallone;CARBONARA, GIANNI;G. Colucci;M. Fegiz;F. Galdo;M. Musmeci;S. Orsi;PIERLUISI, GABRIELE;M. sasso;A. Sciolari"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/259638,-,2003,-,-,-,-,-,-,-,-,Proceedings of the 8th International Conference on Human Aspects of Advanced Manifacturing: Agility & Hybrid Automation,-,07.12 Altro,none,5,"BAGNARA, SEBASTIANO;S. Pozzi;A. Rizzo;RIZZO, FRANCESCA;S. Save"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/565393,-,2003,internazionale,-,-,-,-,-,-,-,Il tempo ai tempi di internet,-,07.12 Altro,none,1,"GUIDA, FRANCESCO ERMANNO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/565394,-,2003,nazionale,-,-,-,-,-,-,-,Ma che strani tipi,-,07.12 Altro,none,1,"GUIDA, FRANCESCO ERMANNO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/570645,-,2003,nazionale,-,-,-,-,-,-,-,Alitalia: un'Italia senza ali,-,07.12 Altro,-,1,"PONTI, MARCO GUIDO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/570646,-,2003,nazionale,-,-,-,-,-,-,-,La leggenda del corridoio Lisbona - Kiev,-,07.12 Altro,none,1,"PONTI, MARCO GUIDO"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/638724,ger,2003,-,Stiftung Preussischer Kulturbesitz rappresentato da Bundesamt für Bauwesen und Raumordnung (BBR)  Projekteferat Museumsinsel,-,-,-,-,Berlino,Concorso per gli interni del Museo Egizio e Museum Preistorico,Allestimento degli interni e grafica del Neues Museum Berlino,-,07.13 Progetti,none,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/667402,ita,2003,-,Europan Italia_Comune di Bagheria,-,-,-,-,"Bagheria (PA), Italia",Concorso Internazionale Europan 7,"Concorso Internazionale Europan 7: “periferia-IN” sito di Bageria (PA), Italia",-,07.13 Progetti,none,6,"E. Avallone;M. De Angelis;G. Forte;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/667405,ita,2003,-,Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise,-,-,-,-,"Teramo, Italia",Concorso internazionale di progettazione in due fasi,"Concorso internazionale di progettazione in due fasi “Mille idee per un concorso” per la costruzione della nuova sede dell'Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise, Teramo.",-,07.13 Progetti,none,8,"E. Avallone;M. Cocciolito;F. Galdo;G. Lupoi;M. Musmeci;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/689382,ita,2003,-,Regione Puglia,-,-,-,-,Bari,Progettazione,Nuova Sede del Consiglio Regionale,-,07.13 Progetti,none,5,"P. Portoghesi;BLASI, CESARE;PADOVANO, GABRIELLA;NEBULONI, ATTILIO;M. Ruscelli"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/689384,ita,2003,-,Comune di Pontecagnano Faiano,-,-,-,-,Comune di Pontecagnano Faiano,Internazionale di progettazione,"Centro Europeo per le Creatività Emergenti - concorso internazionale ""ex Tabacchificio Centola""",-,07.13 Progetti,none,3,"BLASI, CESARE;NEBULONI, ATTILIO;PADOVANO, GABRIELLA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/533385,-,2004,nazionale,-,-,-,DVD MULTIMEDIALE,-,-,-,LE PROFESSIONI DELLA TELEVISIONE-LEZIONE MULTIMEDIALE IN RAI,-,07.12 Altro,none,2,"GALBIATI, MARIA LUISA;GALLI FRANCESCO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/533386,-,2004,internazionale,-,-,-,DVD MULTIMEDIALE ITALIANO E INGLESE,-,-,-,GRUPPO CIMBALI-FAEMA. DVD ISTITUZIONALE,-,07.12 Altro,none,2,"GALBIATI, MARIA LUISA;FRANCESCO GALLI"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/533600,-,2004,nazionale,-,-,-,Rapporto interno,-,-,-,Studio di fattibilità per una metrotranvia in Como,-,07.12 Altro,none,4,"COLORNI VITALE, ALBERTO;D. CICCARELLI;A. LUE';D. ROSSI"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/533601,-,2004,nazionale,-,-,-,Rapporto interno,-,-,-,Il Sistema DREAMS: Demand Responsive Extended Area Mobility Services,-,07.12 Altro,-,5,"COLORNI VITALE, ALBERTO;D. CICCARELLI;A. LUE';V. MORROCCHI;D. ROSSI"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/664582,ita,2004,-,Comune di Carpi. Assessorato alla cultura,-,-,-,-,Carpi - Modena,Sistema di identità visiva di Palazzo dei Pio a Carpi,Sistema di identità visiva di Palazzo dei Pio a Carpi,-,07.13 Progetti,none,1,"GUIDA, FRANCESCO ERMANNO"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/665878,ita,2004,-,Camera di Commercio Industria Artigianato e Agricoltura di Mantova,-,-,-,-,Oltrepò Mantovano,"Contratto di ricerca per la ""Definizione e attuazione di un Piano di marketing territoriale per l’area dell’Oltrepò Mantovano""",Piano di marketing territoriale per l’area dell’Oltrepò Mantovano,Marketing territoriale; Valorizzazione del capitale territoriale; Turismo; Comunicazione,07.13 Progetti,none,7,"SCHIAFFONATI, FABRIZIO;STEVAN, CESARE ANTONIO;MUSSINELLI, ELENA GERMANA;CASONI, GIORGIO;CELASCHI, FLAVIANO;FANZINI, DANIELE;TROCCHIANESI, RAFFAELLA"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/689386,ita,2004,-,Comune di Olgiate Molgora,-,-,-,-,Comune di Olgiate Molgora,Idee,Concorso di idee per un centro socio-ricreativo da realizzare sull’area pubblica denominata Nava,-,07.13 Progetti,none,5,"NEBULONI, ATTILIO;R. Bosia;T. Bosia;M. Besseghini;R. Malvestiti"
07 ALTRO::07.03 Design,http://hdl.handle.net/11311/958792,ita,2005,-,-,-,-,-,-,-,-,Picasso. La seduzione del classico,-,07.03 Design,info:eu-repo/semantics/openAccess,2,"GADDI, ROSSANA;MARIANI, CIRO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/533387,-,2005,internazionale,-,-,-,DVD MULTIMEDIALE ITALIANO E INGLESE,-,-,-,MANTEROMOOD.DVD MULTIMEDIALE,-,07.12 Altro,none,2,"GALBIATI, MARIA LUISA;FRANCESCO GALLI"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/687794,-,2005,-,-,-,-,-,-,-,-,Le tecnologie dell’informazione e della comunicazione e lo sviluppo locale,-,07.12 Altro,none,2,"MANZINI, EZIO;RIZZO, FRANCESCA"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/638720,ita;eng,2005,-,Fondazione Giorgio Cini Onlus,-,-,-,-,Venezia,"Concorso internazionale di progettazione ""Manica Lunga, Nuova Biblioteca""",Biblioteca di Storia dell'Arte e restauro della Manica Lunga,-,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/645335,deu,2005,-,iF International Forum Design,-,-,-,-,Hannover,iF Product Design Award,Sistema per ufficio MDL,design; ufficio,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/667397,eng,2005,-,Europan association-city of antalya,-,-,-,-,"Antalya, Turkey",Concorso Internazionale Europan 8,"Concorso Internazionale Europan 8, “Urbanità europea e progetti strategici”, sito di Antalya, Turchia",-,07.13 Progetti,none,3,"E. Avallone;G. Forte;PIERLUISI, GABRIELE"
