dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.circulation,dc.publisher.name,dc.publisher.country,dc.publisher.place,dc.relation.ispartofbook,dc.relation.medium,dc.relation.conferenceplace,dc.relation.conferencename,dc.title,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
07 ALTRO::07.04 Performance,http://hdl.handle.net/11311/731384,-,2012,-,-,-,-,-,-,-,-,ARPA DI LUCE ALLA NOTTE DEI RICERCATORI A MANTOVA,-,07.04 Performance,info:eu-repo/semantics/closedAccess,3,"MURANO, FRANCESCO;Gianpietro Grossi;Pietro Pirelli"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/686870,-,2012,-,-,-,-,-,-,-,-,Fabio Bortolani. My way,-,07.06 Mostra,none,1,"MAFFEI, STEFANO"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/692658,-,2012,-,-,-,-,-,-,-,-,"Censimento delle architetture Liberty nel territorio di Varese, Area nord, sentiero 10",-,07.06 Mostra,info:eu-repo/semantics/closedAccess,5,"ANZANI, ANNA;CONDOLEO, PAOLA;Baila A.;CARAMEL, CLAUDIA;GUARISCO, MARGHERITA"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/731377,-,2012,-,-,-,-,-,-,-,-,LUCI SULLE MURA,-,07.06 Mostra,none,1,"MURANO, FRANCESCO"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/766134,eng;ita,2012,-,"Galleria Subalterno1, Via Conte Rosso 22, MIlano",-,-,-,-,-,-,Analogico/Digitale,-,07.06 Mostra,none,2,"MAFFEI, STEFANO;S. Micelli;BOLZAN, PATRIZIA;M. Pirovano;A. Gianni"
07 ALTRO::07.08 Prototipo d'arte e relativi progetti,http://hdl.handle.net/11311/731378,-,2012,-,-,-,-,-,-,-,-,Magic Thinks,MATERIALI FOTOLUMINESCENTI,07.08 Prototipo d'arte e relativi progetti,info:eu-repo/semantics/closedAccess,2,"MURANO, FRANCESCO;Fenoglio N."
07 ALTRO::07.08 Prototipo d'arte e relativi progetti,http://hdl.handle.net/11311/731385,-,2012,-,-,-,-,-,-,-,-,LASER PENDULUM,-,07.08 Prototipo d'arte e relativi progetti,info:eu-repo/semantics/closedAccess,3,"MURANO, FRANCESCO;Gianpietro Grossi;Pietro Pirelli"
07 ALTRO::07.09 Cartografia,http://hdl.handle.net/11311/1019572,ita,2012,-,Ente Parco Campo dei Fiori,ITA,Varese,-,STAMPA,-,-,Viaggiando Liberty. Percorsi di architettura lungo I sentieri del parco. Mappa tematica,"Campo dei Fiori, Liberty, bellezza, itinerari",07.09 Cartografia,info:eu-repo/semantics/closedAccess,5,"ANZANI, ANNA;BAILA, ANGELA;CARAMEL, CLAUDIA;GUARISCO, MARGHERITA;Pozzi G."
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/642963,-,2012,-,-,-,-,-,-,-,-,Complessita' e Sostenibilita' nel Progetto - 1/2012 gennaio-marzo 2012,-,07.12 Altro,none,1,"NEBULONI, ATTILIO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/652136,-,2012,-,-,-,-,-,-,-,-,Complessita' e Sostenibilita' nel Progetto - 2/2012 aprile-giugno 2012,-,07.12 Altro,none,1,"NEBULONI, ATTILIO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/664624,-,2012,-,-,-,-,-,-,-,-,Catalogo Salone Satellite 2012,-,07.12 Altro,none,2,"MAFFEI, STEFANO;S. Legrenzi"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/667247,-,2012,internazionale,-,-,-,-,-,-,-,"Esposizione personale di disegni d'architettura, design città",Disegni; città; acquarello; tecniche miste; Rouen.,07.12 Altro,info:eu-repo/semantics/closedAccess,1,"PIERLUISI, GABRIELE"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/669783,-,2012,-,-,-,-,-,-,-,-,Complessita' e Sostenibilita' nel Progetto - 3/2012 luglio-settembre 2012,-,07.12 Altro,none,1,"NEBULONI, ATTILIO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/686423,-,2012,-,-,-,-,-,-,-,-,Complessita' e Sostenibilita' nel Progetto - 4/2012 ottobre-dicembre 2012.,-,07.12 Altro,none,1,"NEBULONI, ATTILIO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/693222,-,2012,internazionale,-,-,-,-,-,-,-,"EC project ""SPREAD - Sustainable Lifestyles 2050
Deliverable 3.1: ""Visual material presenting emerging best practices and emerging visions on sustainable lifestyles""",Sustainable development; Social innovation; Service design; Strategic design,07.12 Altro,none,4,"MERONI, ANNA;PIREDDA, FRANCESCA;JEGOU, FRANCOIS;CORUBOLO, MARTA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/693227,-,2012,internazionale,-,-,-,-,-,-,-,"EC project ""SPREAD - Sustainable Lifestyles 2050
Deliverable 3.2: ""EUROPEAN POLICY BRIEF. Emerging Visions for Future Sustainable Lifestyles 2050""",Policy brief; Sustainable development; Strategic Design; Social Innovation,07.12 Altro,none,2,"MERONI, ANNA;CORUBOLO, MARTA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/693238,-,2012,nazionale,-,-,-,-,-,-,-,NUTRIRE MILANO.  Relazione conclusiva anno 2011,Service Design; Strategic Design; Sustainable development,07.12 Altro,none,14,"MERONI, ANNA;SIMEONE, GIULIA;CORUBOLO, MARTA;D. Cantu;PIREDDA, FRANCESCA;A. Arossa;P. Bolzacchini;A. Cecchini;E. Nasuelli;C. Fiorani;P. Corvo;P. Grimaldi;P. Migliorini;B. Scaltriti"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/693262,-,2012,internazionale,-,-,-,-,-,-,-,"European Lifestyles. The future issue.
EC project ""SPREAD - Sustainable Lifestyles 2050",Service Design; Strategic Design; Sustainable development,07.12 Altro,none,25,"MERONI, ANNA;PIREDDA, FRANCESCA;JEGOU, FRANCOIS;CORUBOLO, MARTA;C. Hicks;N. Bruggermann;R. Groezinger;S. Thorne;L. Rijnhout;S. Lorek;S. Goicoechea;A. Neuvonen;M. Ritola;S. Lahteenoja;K. Straver;M. Uyterlinde;C. Tigchelaar;B. Schaefer;G. Salvador;C. Chiotan;C. Costongs;O. Monts;JEGOU, FRANCOIS;P. Szuppinger;E. Csobod"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/693267,-,2012,internazionale,-,-,-,-,-,-,-,Use cases and requirements list,-,07.12 Altro,none,4,"RIZZO, FRANCESCA;S. Oliva;COSTA, FIAMMETTA CARLA ENRICA;e.t. alii"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/693936,-,2012,-,-,-,-,-,-,-,-,"Deliverable 5.2.1 Progetto Peripheria.
 Pilots scenarios (initial version)",-,07.12 Altro,none,3,"CONCILIO, GRAZIA;RIZZO, FRANCESCA;e.t. alii"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/693937,-,2012,-,-,-,-,-,-,-,-,D 3.2.1 Training and learning report (initial version). Deliverable progetto europeo Peripheria,-,07.12 Altro,none,3,"CONCILIO, GRAZIA;RIZZO, FRANCESCA;e.t. alii"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/762464,-,2012,internazionale,-,-,-,-,-,-,-,Exotic orientation systems as gameplay devices,Games; Percepion; Illusions; Orientation; Procedural Rehtoric,07.12 Altro,info:eu-repo/semantics/closedAccess,3,"RIGHI RIVA, PIETRO;VITALI, ANNAMARIA ANDREA;PILLAN, MARGHERITA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/825730,-,2012,internazionale,-,-,-,-,-,-,-,Atelier 2.0. How Web 2.0 enables new creative models to innovate in fashion,-,07.12 Altro,info:eu-repo/semantics/closedAccess,2,"COLOMBI, CHIARA;TOLINO, UMBERTO"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/1019062,eng;ita,2012,-,Kantar,-,-,-,ELETTRONICO,Londra,Kantar Information is Beautiful Awards,Cover mania,-,07.13 Progetti,none,1,"MAURI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/667388,ita,2012,-,Presidenza del Consiglio dei Ministri. Commissario Delegato per la Ricostruzione (Ufficio del Vicecommissario delegato per la tutela dei Beni Culturali).,-,-,-,-,"San Gregorio (Aq), Italia",di progettazione,"Concorso di idee per la ricostruzione della “Chiesa di san Gregorio Magno” (AQ), Italia.",-,07.13 Progetti,info:eu-repo/semantics/closedAccess,12,"P. Rocchi;D. Groos;DOCCI, MARIO;C. Bianchini;A. Roca De Amicis;D. Esposito;C. Bartolozzi;BRUSCHI, ANDREA;M. Gaiani;G. Santi;D. Casertano;PIERLUISI, GABRIELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/669549,por,2012,-,Universidade Federal do Paraná,-,-,-,-,Curitiba,progettazione preliminare,Concurso Público Nacional de anteprojetos de arquitetura para o Campus Cabral da Universidade Federal do Paraná – Curitiba,-,07.13 Progetti,none,6,"R. Righi;NEBULONI, ATTILIO;B. Carreño;B. R. Padovano;BLASI, CESARE;PADOVANO, GABRIELLA"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/764739,ita,2012,-,-,-,-,-,-,-,-,"Fondazione Giorgio Cini. Restauro del Cenacolo Palladiano, Venezia",-,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/765541,ita,2012,-,ADI - Associazione per il Disegno Industriale,-,-,-,-,Milano,ADI Design Index 2013,"Gallerie d'Italia - Piazza Scala, Milano",-,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/765542,kat,2012,-,--,-,-,-,-,--,--,"Public Service Hall, Marneuli (Georgia)",-,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/765544,ita,2012,-,-,-,-,-,-,-,-,Triennale di Milano. Restauro dello scalone d'onore e accesso al Teatro dell'Arte,-,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/765545,ita,2012,-,Associazione culturale plana,-,-,-,-,Milano,GrandesignEtico International Award 2012,Pannello fonoassorbente Mitesco per Caimi Brevetti,-,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/983751,eng,2012,-,PLDA - Professional Lighting Designers’ Association,-,-,-,ELETTRONICO,"Wismar, Germany",2012 Vox Juventa on the occasion of the Light Symposium,"Atlas of Urban Lighting Experience 2.0- Concorso internazionale ""VOX JUVENTA 2012 - Light Symposium in Wismar, Germany"" - progetto vincitore","urban lighting, lighting experience, coloured lighting, lighting design,",07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"CASCIANI, DARIA"
07 ALTRO::07.03 Design,http://hdl.handle.net/11311/731382,-,2013,-,-,-,-,-,-,-,-,"SKYLIGHT  LUMINATOR
PRIMO PREMIO CONCORSO INTERNAZIONALE
SHARP DESIGN CONTEST
LIGHT FOR EMOTIONAL CONFORT",LIGHT DESIGN; SKYLIGHT LUMINATOR; SHARP,07.03 Design,info:eu-repo/semantics/closedAccess,1,"MURANO, FRANCESCO"
07 ALTRO::07.04 Performance,http://hdl.handle.net/11311/827536,-,2013,-,-,-,-,-,-,-,-,ARPA DI LUCE A MONZA,-,07.04 Performance,none,3,"MURANO, FRANCESCO;GIANPIETRO GROSSI;PIETRO PIRELLI"
07 ALTRO::07.04 Performance,http://hdl.handle.net/11311/827538,-,2013,-,-,-,-,-,-,-,-,ARPA DI LUCE A VIGGIANO (POTENZA),-,07.04 Performance,none,3,"MURANO, FRANCESCO;PIETRO PIRELLI;GIAMPIETRO GROSSI"
07 ALTRO::07.04 Performance,http://hdl.handle.net/11311/827541,-,2013,-,-,-,-,-,-,-,-,ARPA DI LUCE A MODENA,-,07.04 Performance,none,3,"MURANO, FRANCESCO;PIETRO PIRELLI;GIANPIETRO GROSSI"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/751643,eng;ita,2013,-,Corraini Edizioni,ITA,Milano,Made in slums. Mathare Nairobi.,-,-,-,Made in slums. Mathare Nairobi.,design sostenibile,07.06 Mostra,none,1,"IRACE, FULVIO"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/813518,ita,2013,-,le officine poligrafiche MLC,-,Torino _ 2013,Catalogo Mostra Operae - Indipendent Design Festival,-,-,-,"Casa Diaz - Design Autoprodotto
in Operae - Indipendent Design Festival 2013",-,07.06 Mostra,none,1,"MURANO, FRANCESCO"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/826341,ita,2013,-,"Consorzio Parco Regionale - Campo dei Fiori- Brinzio, Comune di Varese",ITA,-,Campo dei Fiori Patrimonio Unesco. Decennale Sito Unesco Sacri Monti del Piemonte e della Lombardia,-,-,-,Viaggiando Liberty - Percorsi di architettura lungo i sentieri del Parco,-,07.06 Mostra,none,3,"A. Baila;ANZANI, ANNA;E. Guglielmi"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/826342,ita,2013,-,"Delegazione FAI del Seprio, con il Patrocinio del Comune di Gallarate",ITA,Gallarate,-,-,-,-,FAIMarathon2013 - Presenze Liberty a Gallarate,-,07.06 Mostra,none,4,"ANZANI, ANNA;A. Baila;CARAMEL, CLAUDIA;GUARISCO, MARGHERITA"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/828325,eng;ita,2013,-,Consorzio POLI.Design,ITA,Milano,-,-,-,-,A Designer A Day 2013,-,07.06 Mostra,info:eu-repo/semantics/closedAccess,2,"ARQUILLA, VENANZIO;PARINI, BARBARA"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/845779,ita;eng,2013,-,Triennale di Milano,-,-,-,-,-,-,Senza Pericolo! Costruzioni e Sicurezza,-,07.06 Mostra,none,11,"BUCCI, FEDERICO;BIAGI, MARCO ENZO;BOERI, ELISA;Dario Costi;CRIPPA, DAVIDE;DI PRETE, BARBARA;FERRARI, MASSIMO;Marco Introini;Lucia Miodini;Luigi Spinelli;TINAZZI, CLAUDIA"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/846007,ita;eng,2013,-,POLIMI,ITA,Milano,"Mostra Tech Stories presso il Museo Nazionale della Scienza e della Tecnologia Leonardo da Vinci, Milano, dal 13 giugno 2013 al 5 gennaio 2014",-,-,-,Tech Stories,-,07.06 Mostra,none,6,"BUCCI, FEDERICO;COLLINA, LUISA MARIA VIRGINIA;A. Colombo;B. Finessi;PROTASONI, SARA;E. Rovida"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/924563,eng;ita,2013,-,-,-,-,-,-,-,-,INTORNO AL LIBRO. TRA ARTE E DESIGN,-,07.06 Mostra,none,1,"FINESSI, GIUSEPPE"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/924564,ita;eng,2013,-,-,-,-,-,-,-,-,PROGETTO CIBO. LA FORMA DEL GUSTO,-,07.06 Mostra,none,1,"FINESSI, GIUSEPPE"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/786328,-,2013,nazionale,-,-,-,-,-,-,-,Chi paga i costi del traffico,-,07.12 Altro,none,3,"BERIA, PAOLO;GRIMALDI, RAFFAELE;PONTI, MARCO GUIDO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/786329,-,2013,nazionale,-,-,-,-,-,-,-,Quando l’analisi economica dice sempre di sì,-,07.12 Altro,none,2,"BERIA, PAOLO;PONTI, MARCO GUIDO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/824334,-,2013,-,-,-,-,-,-,-,-,Complessità e Sostenibilità nel Progetto - 5/2013 gennaio-febbraio 2013,-,07.12 Altro,none,1,"NEBULONI, ATTILIO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/824335,-,2013,-,-,-,-,-,-,-,-,Complessità e Sostenibilità nel Progetto - 6/2013 aprile-giugno 2013,-,07.12 Altro,none,1,"NEBULONI, ATTILIO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/824336,-,2013,-,-,-,-,-,-,-,-,Complessità e Sostenibilità nel Progetto - 7/2013 luglio-settembre 2013,-,07.12 Altro,none,1,"NEBULONI, ATTILIO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/824337,-,2013,-,-,-,-,-,-,-,-,Complessità e Sostenibilità nel Progetto - 8/2013 ottobre-dicembre 2013,-,07.12 Altro,none,1,"NEBULONI, ATTILIO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/827539,-,2013,nazionale,-,-,-,-,-,-,-,WOW! Jelly Session #6,-,07.12 Altro,info:eu-repo/semantics/closedAccess,1,"SCULLICA, FRANCESCO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/827925,-,2013,nazionale,-,-,-,-,-,-,-,"Manifattura di Domodossola, una storia italiana",-,07.12 Altro,info:eu-repo/semantics/closedAccess,1,"DELL'ACQUA BELLAVITIS, ARTURO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/827926,-,2013,nazionale,-,-,-,-,-,-,-,Home Intertextile Mood,-,07.12 Altro,info:eu-repo/semantics/closedAccess,1,"DELL'ACQUA BELLAVITIS, ARTURO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/837725,-,2013,nazionale,-,-,-,-,-,-,-,Migliorare l’offerta formativa in materia di salute e sicurezza nelle costruzioni - definizione proposta regionale di “linee guida”,-,07.12 Altro,none,13,"B. Pesenti;C. Macchia;C. Bruni;FIGIANI, MAURIZIO;F. Lovato;D. Marinoni;F. Monfrini;D. Ramenghi;P. A. Reguzzoni;E. Sgaramella;G. Spedo;P. Zambianchi;G. Zappa"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/862001,-,2013,internazionale,-,-,-,-,-,-,-,Design for Social Innovation as a form of Design Activism: An action format,-,07.12 Altro,info:eu-repo/semantics/closedAccess,3,"MERONI, ANNA;FASSI, DAVIDE;SIMEONE, GIULIA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/862939,-,2013,internazionale,-,-,-,-,-,-,-,From engaging to empowering people: a set of co-design experiments with a service design perspective.,service design; social innovation,07.12 Altro,info:eu-repo/semantics/closedAccess,2,"CANTU', DARIA;SELLONI, DANIELA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/862942,-,2013,internazionale,-,-,-,-,-,-,-,The experience of Creative Citizens,service design; social innovatin; Empowerment; citizenship,07.12 Altro,info:eu-repo/semantics/closedAccess,1,"SELLONI, DANIELA"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/824338,por,2013,-,Estado do Maranhão,-,-,-,-,Maranhão,Progettazione,Concurso Público Nacional de Arquitetura - Novo Centro Administrativo do Maranhão,-,07.13 Progetti,info:eu-repo/semantics/closedAccess,6,"P. Pontes;B. Padovano;BLASI, CESARE;PADOVANO, GABRIELLA;NEBULONI, ATTILIO;P. Bertacchini"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/826331,ita,2013,-,-,-,-,-,-,-,-,Expo 2015. Punto di informazioni Agorà,-,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/826332,ita,2013,-,-,-,-,-,-,-,-,Comune di Lodi. Biblioteca Laudense,-,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/826333,ita,2013,-,-,-,-,-,-,-,-,"Uffici finanziari Banca Patrimoni Sella, Palazzo Bricherasio. Torino",-,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/826334,ita,2013,-,-,-,-,-,-,-,-,Intesa Sanpaolo. Campus tecnologico e uffici a Moncalieri,-,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/826335,ita,2013,-,-,-,-,-,-,-,-,Zambon.  Ampliamento dell'Health and Quality Factory e nuovo Z Building a Vicenza,-,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/826336,ita,2013,-,-,-,-,-,-,-,-,Museo Frau a Tolentino,-,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/958781,eng,2013,-,SHARP,-,-,-,-,MILANO,Sharp Design Contest | Light for Emotional Comfort,"SKY LUMINATOR
Sharp International Design Contest | Light for Emotional Comfort",-,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"MURANO, FRANCESCO"
07 ALTRO::07.02 Disegno,http://hdl.handle.net/11311/958761,eng,2014,-,Aracne editrice,ITA,Roma,Italian Survey. National & International Portfolio,-,-,-,"Traditional Architecture and Countryside, Puglia - Valle D’itria",rilievo urbano e ambientale; Rappresentazione Paesaggio Ambiente; Disegno,07.02 Disegno,info:eu-repo/semantics/closedAccess,1,"AMORUSO, GIUSEPPE"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/1044958,eng;ita,2014,-,-,ITA,Subalterno1,-,-,-,-,Mondopasta,-,07.06 Mostra,none,4,"S. Maffei;A. Gianni;P. Bolzan;PIROVANO, MARCELLO"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/880555,ita;eng,2014,-,Triennale di Milano,-,MILANO,-,-,-,-,"TEXTILE VIVANT.
Percorsi, esperienze e ricerche del textile design
Tracks, experiences and Researches in textile design",-,07.06 Mostra,none,4,"CONTI, GIOVANNI MARIA;DEL CURTO, BARBARA;FIORANI, ELEONORA;SOLDATI, MARIA GRAZIA"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/898355,-,2014,-,-,-,-,-,-,-,-,IL DESIGN ITALIANO OLTRE LE CRISI. AUTARCHIA AUSTERITA' AUTOPRODUZIONE,-,07.06 Mostra,none,1,"FINESSI, GIUSEPPE"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/924565,ita;eng,2014,-,-,-,-,-,-,-,-,LA CASA MORBIDA. Tra arte e design,-,07.06 Mostra,none,1,"FINESSI, GIUSEPPE"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/958564,ita,2014,-,-,-,-,-,-,-,-,"Milano Sottosopra, 50° anniversario della Rossa",metropolitana; Franco Albini; Bob Noorda,07.06 Mostra,info:eu-repo/semantics/closedAccess,1,"BOSONI, GIAMPIERO"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/960010,ita;eng,2014,-,Consorzio POLI.Design,ITA,Milano,-,-,-,-,A Designer A Day (ADAD) 2014,Design; Autoproduzione; Food Design,07.06 Mostra,info:eu-repo/semantics/closedAccess,2,"ARQUILLA, VENANZIO;PARINI, BARBARA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/971202,-,2014,nazionale,-,-,-,-,-,-,-,Design dei servizi collaborativi,"sharing economy, service design, servizi collaborativi.",07.12 Altro,info:eu-repo/semantics/openAccess,1,"SELLONI, DANIELA"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/1019072,eng,2014,-,Kantar Information is Beautiful Awards,-,-,-,-,Londra,Kantar,RAW,-,07.13 Progetti,info:eu-repo/semantics/openAccess,5,"DensityDesign Research Lab;CAVIGLIA, GIORGIO;MAURI, MICHELE;UBOLDI, GIORGIO ROBERTO;AZZI, MATTEO"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/1065023,ita,2014,-,ADI - Associazione per il Disegno Industriale,-,-,-,STAMPA,Milano,XXV Compasso d'Oro,CampUS. Incubazione e messa in scena di pratiche sociali,inclusione sociale; NEET,07.13 Progetti,info:eu-repo/semantics/closedAccess,4,"Davide Fassi;Francesca Piredda;PERONDI, ELENA;Pierluigi Salvadeo"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/930355,ita,2014,-,EXPO MILANO 2015,-,-,-,-,MILANO,WORKSHOP CLUSTER PAVILLON,Arid Zones Cluster Pavillon for Expo 2015,Design; exhibition design,07.13 Progetti,none,3,"BIAMONTI, ALESSANDRO;CAMOCINI, BARBARA;M. ZINI"
07 ALTRO::07.03 Design,http://hdl.handle.net/11311/958756,ita;eng,2015,-,SILVANA EDITORE,ITA,Cinisello Balsamo (MI),"TEXTILE VIVANT  Percorsi, esperienze e ricerche del textile design Tracks, experiences and Researches in textile design",STAMPA,-,-,"TEXTILE VIVANT 
Percorsi, esperienze e ricerche del textile design
Tracks, experiences and Researches in textile design",-,07.03 Design,info:eu-repo/semantics/openAccess,1,"GADDI, ROSSANA"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/1022097,-,2015,-,-,-,-,-,-,-,-,Geografie,-,07.06 Mostra,none,1,"FINESSI, GIUSEPPE"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/1047003,eng;ita,2015,-,-,ITA,-,-,-,-,-,Cool Japan_Double Impact,"Giappone, Italia, Cultura, Design",07.06 Mostra,info:eu-repo/semantics/openAccess,1,alessandro biamonti
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/957975,ita,2015,-,Editoriale Domus,ITA,Milano,Milano mai vista,-,-,-,Milano mai vista,Milano; architettura,07.06 Mostra,info:eu-repo/semantics/closedAccess,2,"IRACE, FULVIO;NERI, GABRIELE"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/959240,ita,2015,-,-,ITA,Varese,-,STAMPA,-,-,"Censire la Bellezza - Dal 28 febbraio al 10 marzo presso la Galleria 96 Metricubi d'arte - via Parini 8, Gallarate","Varese, Liberty, catalogazione, rilievo fotografico, conservazione",07.06 Mostra,info:eu-repo/semantics/closedAccess,5,"BAILA, ANGELA;ANZANI, ANNA;Guglielmi, E.;CARAMEL, CLAUDIA;Niglia, D."
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/974528,eng;ita,2015,-,Corraini Edizioni,ITA,Mantova,Giorgio De Chirico Una gita a Lecco,STAMPA,-,-,Giorgio De Chirico_ Una gita a Lecco,-,07.06 Mostra,info:eu-repo/semantics/openAccess,1,"CEPPI, GIULIO"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/975477,eng;ita,2015,-,Consorzio POLI.Design,ITA,Milano,-,-,-,-,LOMBARDIES. A unique territory with multiple identities,"Expo Milano 2015, Lombardia, agroalimentare, produzione, innovazione",07.06 Mostra,info:eu-repo/semantics/openAccess,2,"PARENTE, MARINA;SIMONELLI, GIULIANO"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/979666,eng;ita,2015,-,Triennale di Milano,ITA,-,-,-,-,-,Il Nuovo Vocabolario della Moda Italiana,-,07.06 Mostra,info:eu-repo/semantics/openAccess,2,"BERTOLA, PAOLA;LINFANTE, VITTORIO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/1019087,-,2015,-,-,-,-,-,-,-,-,Design to feed the world,"Nutrizione, Design, Sostenibilità",07.12 Altro,info:eu-repo/semantics/closedAccess,1,"CAMOCINI, BARBARA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/1019547,-,2015,internazionale,-,-,-,-,-,-,-,SIMPACT Project. Deliverable 4.1. Part I. SI Processes and Business Models,-,07.12 Altro,info:eu-repo/semantics/openAccess,3,"Rizo, F.;KOMATSU, TAMAMI TIFFANY;DESERTI, ALESSANDRO"
