title,author,year,type,keywords,cluster
Il Sistema DREAMS: Demand Responsive Extended Area Mobility Services,"COLORNI VITALE, ALBERTO;D. CICCARELLI;A. LUE';V. MORROCCHI;D. ROSSI",2004,07.12 Altro,-,nocluster
Sistema di identità visiva di Palazzo dei Pio a Carpi,"GUIDA, FRANCESCO ERMANNO",2004,07.13 Progetti,-,nocluster
Piano di marketing territoriale per l’area dell’Oltrepò Mantovano,"SCHIAFFONATI, FABRIZIO;STEVAN, CESARE ANTONIO;MUSSINELLI, ELENA GERMANA;CASONI, GIORGIO;CELASCHI, FLAVIANO;FANZINI, DANIELE;TROCCHIANESI, RAFFAELLA",2004,07.13 Progetti,Marketing territoriale; Valorizzazione del capitale territoriale; Turismo; Comunicazione,nocluster
Concorso di idee per un centro socio-ricreativo da realizzare sull’area pubblica denominata Nava,"NEBULONI, ATTILIO;R. Bosia;T. Bosia;M. Besseghini;R. Malvestiti",2004,07.13 Progetti,-,nocluster
Picasso. La seduzione del classico,"GADDI, ROSSANA;MARIANI, CIRO",2005,07.03 Design,-,nocluster
MANTEROMOOD.DVD MULTIMEDIALE,"GALBIATI, MARIA LUISA;FRANCESCO GALLI",2005,07.12 Altro,-,nocluster
Le tecnologie dell’informazione e della comunicazione e lo sviluppo locale,"MANZINI, EZIO;RIZZO, FRANCESCA",2005,07.12 Altro,-,nocluster
Biblioteca di Storia dell'Arte e restauro della Manica Lunga,"DE LUCCHI, MICHELE",2005,07.13 Progetti,-,nocluster
Sistema per ufficio MDL,"DE LUCCHI, MICHELE",2005,07.13 Progetti,design; ufficio,nocluster
"Concorso Internazionale Europan 8, “Urbanità europea e progetti strategici”, sito di Antalya, Turchia","E. Avallone;G. Forte;PIERLUISI, GABRIELE",2005,07.13 Progetti,-,nocluster
René Magritte. L'impero delle luci,"GADDI, ROSSANA;MARIANI, CIRO",2006,07.03 Design,-,nocluster
New Italian Design,"BRANZI, ANDREA;BIAMONTI, ALESSANDRO;Macchi D.",2006,07.05 Esposizione,Design italiano; Design; Allestimenti; Interni,nocluster
Texture & Materials – Urban Light Walk,"GEROSA, GIULIA MARIA",2006,07.06 Mostra,-,nocluster
Puntare sulla gente per vendere di più,"ZURLO, FRANCESCO",2006,07.12 Altro,-,nocluster
New Entertainment e Design Strategico,"ZURLO, FRANCESCO",2006,07.12 Altro,-,nocluster
A.D.A. Archivio Digitale di Architettura,"R. MINGUCCI;AMORUSO, GIUSEPPE;R. INGLESE;A. MARATA;G. BACCI;C. BARTOLOMEI;D. ANGELILLO",2006,07.12 Altro,-,nocluster
Moda e Design: Cross Fertilization per l'innovazione,"CONTI, GIOVANNI MARIA;BERTOLA, PAOLA",2006,07.12 Altro,-,nocluster
Fit-Suit: Biodesign per l’idrokinesiterapia,"CANINA, MARIA RITA;FERRARO, VENERE",2006,07.12 Altro,-,nocluster
Il trasporto delle merci pericolose in galleria,"MAJA, ROBERTO;RAINOLDI, GIOVANNI;ROMAN D;SALIMBENI R.",2006,07.12 Altro,-,nocluster
External Cost Assessment In Transalpine Corridors,"MAJA, ROBERTO;D. ROMANO'",2006,07.12 Altro,-,nocluster
European Logo Design Award (EULDA 06),"GUIDA, FRANCESCO ERMANNO",2006,07.13 Progetti,-,nocluster
Award of Excellence «Communication Arts» (Usa),"GUIDA, FRANCESCO ERMANNO",2006,07.13 Progetti,-,nocluster
"Concorso di Progettazione, Project Financing, Metro D Roma, Fermate Ojetti e Pugliese e Nuovo Salario.","Mandataria Società Italiana per le Condotte D'acqua;Mandante Impresa Pizzarotti;C.;Responsabile del progetto Geodeta S. p. a.;G. Fioravanti;F. Galdo;PIERLUISI, GABRIELE",2006,07.13 Progetti,-,nocluster
"Gli impressionisti, i simbolisti e le avanguardie. 120 capolavori dal museo nazionale di Belgrado.","GADDI, ROSSANA",2007,07.03 Design,-,nocluster
Transforme,"CONTI, GIOVANNI MARIA;Bonapace D.;Botta F.;Burani S.",2007,07.05 Esposizione,-,nocluster
"Mostra e giornata di studio: ""Lo Studio-Museo Achille Castiglioni della Triennale di Milano. Scenari di fruizione e prospettive di valorizzazione"" presso la Triennale di Milano - settembre 2007","S. Annicchiarico;PARENTE, MARINA;SEASSARO, ALBERTO",2007,07.06 Mostra,Studio Museo Achille Castiglioni; Triennale di Milano; ricerca d.cult; design per i beni culturali,nocluster
Ernst von Glasersfeld and the Italian Operative School,"PIZZOCARO, SILVIA LUISA;R. Glanville",2007,07.12 Altro,Ricerca operativa,nocluster
La ricerca del piacere,"GUIDA, FRANCESCO ERMANNO",2007,07.12 Altro,-,nocluster
"Gabriele Pierluisi. Paesaggi urbani. Marte, Roma 2007-08","Massimiliano Fuksas;Camilla Pignatti Morano;Marta Fegiz;Laura De Iudicibus;PIERLUISI, GABRIELE",2007,07.12 Altro,Paesaggio urbano; MARTE; Digitale Caldo; Pittura e disegno; Pieghe; spazio.,nocluster
"Concorso Internazionale di progettazione a Procedura ristretta  “MENO È PIÙ 2”, Servizi e spazi pubblici in Roma nei Programmi di Trasformazione Urbanistica. Tor Marancia Area del Divino Amore.","E. Avallone;G. Forte;M. Musmeci;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari",2007,07.13 Progetti,-,nocluster
"L'abbraccio di Vienna. Klimt, Schiele e i capolavori del Belvedere","GADDI, ROSSANA",2008,07.03 Design,-,nocluster
"Case rapide, prefabbricate, smontabili","FERABOLI, MARIA TERESA",2008,07.05 Esposizione,-,nocluster
"Mostra: Studio Museo Achille Castiglioni, presso Shiodome Italia Creative Center, Tokyo","S. Annicchiarico;PARENTE, MARINA;SEASSARO, ALBERTO",2008,07.06 Mostra,Studio Museo Achille Castiglioni; ricerca d.cult; Triennale di Miano; design per i beni culturali,nocluster
"""FABIO NOVEMBRE. Insegna anche a me la libertà delle rondini"".","FINESSI, GIUSEPPE",2008,07.06 Mostra,-,nocluster
Una grande opera. Tutta da valutare,"PONTI, MARCO GUIDO;BERIA, PAOLO",2008,07.12 Altro,-,nocluster
L’evoluzione dei Musei con l’Information and Communication Technology,"CANINA, MARIA RITA;I. Celino;E. Frumento;A. Pagani;N. Simeoni",2008,07.12 Altro,-,nocluster
Enografie. Il design racconta i vini del Piemonte.,"BAULE, GIOVANNI;BUCCHETTI, VALERIA LUISA",2008,07.12 Altro,-,nocluster
Interazioni grafico-strutturali,"BUCCHETTI, VALERIA LUISA",2008,07.12 Altro,-,nocluster
Superfici (tra vista e tatto),"BUCCHETTI, VALERIA LUISA",2008,07.12 Altro,-,nocluster
Ottimizzazione della raccolta dei Rifiuti di Apparecchiature Elettriche ed Elettroniche (RAEE),"BRUGLIERI, MAURIZIO;CATTANEO, FABIANO;COLOMBO, ANDREA;COLORNI VITALE, ALBERTO",2008,07.12 Altro,-,nocluster
Enografie: il design dei percorsi narrativi,"BAULE, GIOVANNI",2008,07.12 Altro,-,nocluster
Il futuro dell’e-learning è già passato,"COLORNI VITALE, ALBERTO;SANCASSANI, SUSANNA;L. Leita",2008,07.12 Altro,-,nocluster
"Benefits and problems of e-learning, UE Committee on Culture Science and Education, Realising the full potential of e-learning at all levels of education.","COLORNI VITALE, ALBERTO",2008,07.12 Altro,-,nocluster
