word;count;occurences;percentage
reale;;14;0.0255
ospitalità;;14;0.0255
paesaggi;;14;0.0255
palazzo;;13;0.0237
visualizzazione;;13;0.0237
rilievo;;13;0.0237
intervista;;13;0.0237
cantiere;;13;0.0237
retail;;13;0.0237
quadro;;13;0.0237
pericolose;;13;0.0237
eventi;;13;0.0237
gusto;;13;0.0237
confronto;;13;0.0237
strada;;13;0.0237
opere;;13;0.0237
linguaggi;;13;0.0237
intelligente;;13;0.0237
venezia;;13;0.0237
lungo;;13;0.0237
uomo;;13;0.0237
creazione;;13;0.0237
stili;;13;0.0237
space;;13;0.0237
creative;;13;0.0237
cimode;;13;0.0237
riunione;;13;0.0237
edizione;;13;0.0237
world;;13;0.0237
dopo;;13;0.0237
indossabile;;13;0.0237
linee;;13;0.0237
mobili;;13;0.0237
innovare;;13;0.0237
inted;;13;0.0237
desform;;13;0.0237
2007;13;0.0237;
passato;;13;0.0237
dispositivi;;13;0.0237
iii;;13;0.0237
led;;13;0.0237
sull'educazione;;13;0.0237
docenti;;13;0.0237
fari;;13;0.0237
spaziale;;13;0.0237
contenuti;;13;0.0237
illuminazione;;13;0.0237
metaprogetto;;13;0.0237
8;12;0.0218;
s;;12;0.0218
as;;12;0.0218
to;;12;0.0218
turismo;;12;0.0218
industrie;;12;0.0218
dialoghi;;12;0.0218
basato;;12;0.0218
vista;;12;0.0218
polimi;;12;0.0218
strategica;;12;0.0218
cultural;;12;0.0218
esposizione;;12;0.0218
incontro;;12;0.0218
cina;;12;0.0218
virtuoso;;12;0.0218
competitività;;12;0.0218
artistico;;12;0.0218
fondamenti;;12;0.0218
salute;;12;0.0218
internazionali;;12;0.0218
dalle;;12;0.0218
quale;;12;0.0218
azione;;12;0.0218
sperimentale;;12;0.0218
generazione;;12;0.0218
light;;12;0.0218
tessuto;;12;0.0218
donne;;12;0.0218
firenze;;12;0.0218
costi;;12;0.0218
napoli;;12;0.0218
approcci;;12;0.0218
ottimizzazione;;12;0.0218
piano;;12;0.0218
dell'interazione;;12;0.0218
albini;;12;0.0218
economia;;12;0.0218
interior;;12;0.0218
mercato;;12;0.0218
moderno;;12;0.0218
pmi;;12;0.0218
area;;12;0.0218
aree;;12;0.0218
mario;;12;0.0218
interno;;12;0.0218
bellezza;;12;0.0218
10;11;0.02;
11;11;0.02;
2°;;11;0.02
urban;;11;0.02
e';;11;0.02
food;;11;0.02
me;;11;0.02
trasferimento;;11;0.02
–;;11;0.02
manuale;;11;0.02
iceri;;11;0.02
relazione;;11;0.02
through;;11;0.02
terza;;11;0.02
strutturale;;11;0.02
misura;;11;0.02
sensibilità;;11;0.02
aspetti;;11;0.02
digital;;11;0.02
intbau;;11;0.02
incontra;;11;0.02
post;;11;0.02
scenario;;11;0.02
maestri;;11;0.02
circolo;;11;0.02
l'educazione;;11;0.02
dagli;;11;0.02
making;;11;0.02
produttivi;;11;0.02
tecnologico;;11;0.02
museum;;11;0.02
artigianato;;11;0.02
pubblici;;11;0.02
franco;;11;0.02
figure;;11;0.02
storytelling;;11;0.02
novembre;;11;0.02
centri;;11;0.02
2004;11;0.02;
recupero;;11;0.02
itinerari;;11;0.02
percezione;;11;0.02
artefatti;;11;0.02
proposte;;11;0.02
cenacolo;;11;0.02
ahfe;;11;0.02
nona;;11;0.02
distretto;;11;0.02
usabilità;;11;0.02
vii;;11;0.02
mappa;;11;0.02
mappe;;11;0.02
prevenzione;;11;0.02
vedere;;11;0.02
sustainable;;11;0.02
science;;11;0.02
paradigma;;11;0.02
giovani;;11;0.02
4d;;10;0.0182
