dc.type.full	dc.identifier.uri	dc.date.issued	dc.title	dc.authority.people	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/645335	2005	Sistema per ufficio MDL	DE LUCCHI, MICHELE	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667397	2005	Concorso Internazionale Europan 8, “Urbanità europea e progetti strategici”, sito di Antalya, Turchia	E. Avallone;G. Forte;PIERLUISI, GABRIELE	
07 ALTRO::07.03 Design	http://hdl.handle.net/11311/958790	2006	René Magritte. L'impero delle luci	GADDI, ROSSANA;MARIANI, CIRO	
07 ALTRO::07.05 Esposizione	http://hdl.handle.net/11311/690252	2006	New Italian Design	BRANZI, ANDREA;BIAMONTI, ALESSANDRO;Macchi D.	
07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/758849	2006	Texture & Materials – Urban Light Walk	GEROSA, GIULIA MARIA	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/252025	2006	Puntare sulla gente per vendere di più	ZURLO, FRANCESCO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/268468	2006	New Entertainment e Design Strategico	ZURLO, FRANCESCO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533312	2006	A.D.A. Archivio Digitale di Architettura	R. MINGUCCI;AMORUSO, GIUSEPPE;R. INGLESE;A. MARATA;G. BACCI;C. BARTOLOMEI;D. ANGELILLO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533523	2006	Moda e Design: Cross Fertilization per l'innovazione	CONTI, GIOVANNI MARIA;BERTOLA, PAOLA	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533556	2006	Fit-Suit: Biodesign per l’idrokinesiterapia	CANINA, MARIA RITA;FERRARO, VENERE	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533711	2006	Il trasporto delle merci pericolose in galleria	MAJA, ROBERTO;RAINOLDI, GIOVANNI;ROMAN D;SALIMBENI R.	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533712	2006	External Cost Assessment In Transalpine Corridors	MAJA, ROBERTO;D. ROMANO'	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/664578	2006	European Logo Design Award (EULDA 06)	GUIDA, FRANCESCO ERMANNO	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/664580	2006	Award of Excellence «Communication Arts» (Usa)	GUIDA, FRANCESCO ERMANNO	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667394	2006	Concorso di Progettazione, Project Financing, Metro D Roma, Fermate Ojetti e Pugliese e Nuovo Salario.	Mandataria Società Italiana per le Condotte D'acqua;Mandante Impresa Pizzarotti;C.;Responsabile del progetto Geodeta S. p. a.;G. Fioravanti;F. Galdo;PIERLUISI, GABRIELE	
07 ALTRO::07.03 Design	http://hdl.handle.net/11311/958784	2007	Gli impressionisti, i simbolisti e le avanguardie. 120 capolavori dal museo nazionale di Belgrado.	GADDI, ROSSANA	
07 ALTRO::07.05 Esposizione	http://hdl.handle.net/11311/696728	2007	Transforme	CONTI, GIOVANNI MARIA;Bonapace D.;Botta F.;Burani S.	
07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/692361	2007	"Mostra e giornata di studio: ""Lo Studio-Museo Achille Castiglioni della Triennale di Milano. Scenari di fruizione e prospettive di valorizzazione"" presso la Triennale di Milano - settembre 2007"	S. Annicchiarico;PARENTE, MARINA;SEASSARO, ALBERTO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533866	2007	Ernst von Glasersfeld and the Italian Operative School	PIZZOCARO, SILVIA LUISA;R. Glanville	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/565395	2007	La ricerca del piacere	GUIDA, FRANCESCO ERMANNO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/667288	2007	Gabriele Pierluisi. Paesaggi urbani. Marte, Roma 2007-08	Massimiliano Fuksas;Camilla Pignatti Morano;Marta Fegiz;Laura De Iudicibus;PIERLUISI, GABRIELE	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667393	2007	Concorso Internazionale di progettazione a Procedura ristretta  “MENO È PIÙ 2”, Servizi e spazi pubblici in Roma nei Programmi di Trasformazione Urbanistica. Tor Marancia Area del Divino Amore.	E. Avallone;G. Forte;M. Musmeci;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari	
07 ALTRO::07.03 Design	http://hdl.handle.net/11311/958787	2008	L'abbraccio di Vienna. Klimt, Schiele e i capolavori del Belvedere	GADDI, ROSSANA	
07 ALTRO::07.05 Esposizione	http://hdl.handle.net/11311/881650	2008	Case rapide, prefabbricate, smontabili	FERABOLI, MARIA TERESA	
07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/692358	2008	Mostra: Studio Museo Achille Castiglioni, presso Shiodome Italia Creative Center, Tokyo	S. Annicchiarico;PARENTE, MARINA;SEASSARO, ALBERTO	
07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/925758	2008	"""FABIO NOVEMBRE. Insegna anche a me la libertà delle rondini""."	FINESSI, GIUSEPPE	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/534030	2008	Una grande opera. Tutta da valutare	PONTI, MARCO GUIDO;BERIA, PAOLO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/546339	2008	L’evoluzione dei Musei con l’Information and Communication Technology	CANINA, MARIA RITA;I. Celino;E. Frumento;A. Pagani;N. Simeoni	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/546700	2008	Enografie. Il design racconta i vini del Piemonte.	BAULE, GIOVANNI;BUCCHETTI, VALERIA LUISA	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/546702	2008	Interazioni grafico-strutturali	BUCCHETTI, VALERIA LUISA	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/546712	2008	Superfici (tra vista e tatto)	BUCCHETTI, VALERIA LUISA	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/547523	2008	Ottimizzazione della raccolta dei Rifiuti di Apparecchiature Elettriche ed Elettroniche (RAEE)	BRUGLIERI, MAURIZIO;CATTANEO, FABIANO;COLOMBO, ANDREA;COLORNI VITALE, ALBERTO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/548205	2008	Enografie: il design dei percorsi narrativi	BAULE, GIOVANNI	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/548276	2008	Il futuro dell’e-learning è già passato	COLORNI VITALE, ALBERTO;SANCASSANI, SUSANNA;L. Leita	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/548486	2008	Benefits and problems of e-learning, UE Committee on Culture Science and Education, Realising the full potential of e-learning at all levels of education.	COLORNI VITALE, ALBERTO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/550760	2008	A passo lento nel tunnel	GRIMALDI, RAFFAELE;PONTI, MARCO GUIDO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/550761	2008	E sulla Milano-Venezia i conti non tornano	GRIMALDI, RAFFAELE;PONTI, MARCO GUIDO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/560608	2008	piattaforma LeNS	VEZZOLI, CARLO ARNALDO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/634054	2008	Leggere il contesto per orientare il progetto. Metodologie e approcci per la produzione e visualizzazione di conoscenza ad orientamento della pratica progettuale nel design della moda.	COLOMBI, CHIARA	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/689350	2008	Occasioni di complessità sostenibile / Opportunities of sustainable complexity - Complessità e sostenibilià: il territorio e l'architettura n. 05	PADOVANO, GABRIELLA;BLASI, CESARE;NEBULONI, ATTILIO;I. Anastasio;V. Arrigoni	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/689353	2008	Gli spazi della complessità / The spaces of complexity - Complessità e sostenibilià: il territorio e l'architettura n. 06	PADOVANO, GABRIELLA;BLASI, CESARE;NEBULONI, ATTILIO;I. Anastasio;V. Arrigoni	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/689354	2008	Tendenze della ricerca universitaria - Complessità e sostenibilià: il territorio e l'architettura n. 07	PADOVANO, GABRIELLA;BLASI, CESARE;NEBULONI, ATTILIO;I. Anastasio;V. Arrigoni	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/689355	2008	Oltre l'architettura convenzionale / Beyond conventional architecture - Complessità e sostenibilià: il territorio e l'architettura n. 08	PADOVANO, GABRIELLA;BLASI, CESARE;NEBULONI, ATTILIO;I. Anastasio;V. Arrigoni	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/689358	2008	Nuovi spazi interattivi / New interactive spaces - Complessità e sostenibilià: il territorio e l'architettura n. 09	PADOVANO, GABRIELLA;BLASI, CESARE;NEBULONI, ATTILIO;I. Anastasio;V. Arrigoni	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/550298	2008	Progettazione della comunicazione visiva e degli apparati comunicativi per il Museo Nazionale Archeologico di Taranto	GUIDA, FRANCESCO ERMANNO;Carla De Luca;Giovanni Dema;Nicola Scotto di Carlo;Jaana Zammer	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/640520	2008	Ponte di accesso al Triennale Design Museum	DE LUCCHI, MICHELE	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667391	2008	Concorso Internazionale di Progettazione a Grado Unico Ristretto: “Amamontagnola” Roma.	E. Avallone;G. Forte;M. Musmeci;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari	
07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/758847	2009	Time To Design	GEROSA, GIULIA MARIA;M. Berghinz	
07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/758848	2009	Opening Soon	GEROSA, GIULIA MARIA;COLLINA, LUISA MARIA VIRGINIA;BRANZI, ANDREA	
07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/924756	2009	PAOLO ULIAN 1990-2009	FINESSI, GIUSEPPE	
07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/925361	2009	ANGELO MANGIAROTTI SCOLPIRE/COSTRUIRE	FINESSI, GIUSEPPE	
07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/925756	2009	ALESSANDRO MENDINI	FINESSI, GIUSEPPE	
07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/925757	2009	PIO MANZU'. Quando il mondo era moderno.	Giacinto Di Pietrantonio;Enrico Leonardo Fagone;FINESSI, GIUSEPPE	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/563684	2009	Propsettive di design per i servizi Mobile secondo l'approccio User Centred	PILLAN, MARGHERITA;RIZZO, FRANCESCA	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/564940	2009	Design Per. L'ambiente	GUIDA, FRANCESCO ERMANNO;Chia G.	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/565390	2009	The Identity of Cultural Heritages between Real and Virtual. New Languages and Virtuous Devices in the Age of Transition.	GUIDA, FRANCESCO ERMANNO	
