title,author,year,type,keywords,cluster
Interaction Design,"RIZZO, FRANCESCA",2004,06.1 Curatela,-,nocluster
“SENTIERI NELL’ARTE”. Il contemporaneo nel paesaggio toscano,"MAZZANTI, ANNA",2004,06.1 Curatela,arte ambientale; site specific; environment art; scultura all'aperto; scultura ambientata; land art,nocluster
Gesticolando. cenni sulla diversità,"CRIPPA, DAVIDE;DI PRETE, BARBARA",2005,06.1 Curatela,-,nocluster
Packaging design,"BUCCHETTI, VALERIA LUISA",2005,06.1 Curatela,-,nocluster
"Designing Designers: Designing Hospitality- Visions, scenarios, systems, services, spaces and products","COLLINA, LUISA MARIA VIRGINIA;SCULLICA, FRANCESCO",2005,06.1 Curatela,Hospitality design; Ospitalità,nocluster
ManteroMood. Moviedesign for the silk concepì store La Tessitura_Como,"GALBIATI, MARIA LUISA;PIREDDA, FRANCESCA",2005,06.1 Curatela,-,nocluster
"Methodology for Product Service System. How to develop clean, clever and competitive strategies in companies","C. Van Halen;VEZZOLI, CARLO ARNALDO;R. Wimmer",2005,06.1 Curatela,-,nocluster
Performance. Designing for a cultural challange,"CRESPI, LUCIANO;PICCINNO, GIOVANNA;REBAGLIO, AGNESE",2005,06.1 Curatela,-,nocluster
Costruire imbarcazioni da diporto. Esperienze in cantiere,"PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA;MAGGIULLI F.",2005,06.1 Curatela,-,nocluster
Materiali e Design,"ROGNOLI, VALENTINA;PEDEFERRI, MARIAPIA;DEL CURTO, BARBARA;LEVI, MARINELLA",2005,06.1 Curatela,-,nocluster
"Design, imprese, distretti. Un approccio all'innovazione","ARQUILLA, VENANZIO;VIGNATI, ARIANNA;SIMONELLI, GIULIANO",2005,06.1 Curatela,-,nocluster
La semiotica e le arti utili in undici dialoghi,"ZINGALE, SALVATORE",2005,06.1 Curatela,-,nocluster
Il progetto in Biodesign. La costruzione di un percorso,"CANINA, MARIA RITA;VICENTINI, FEDERICO",2005,06.1 Curatela,-,nocluster
"KIWI, Knowledge Interaction Web Instruction","COLORNI VITALE, ALBERTO",2005,06.1 Curatela,-,nocluster
Costruire imbarcazioni da diporto - Esperienze in cantiere,"PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA;F. MAGGIULLI",2005,06.1 Curatela,-,nocluster
La coda della Q. 50 marchi per la Fondazione Quarta,"BUCCHETTI, VALERIA LUISA;MINOGGIO, MAURIZIO",2005,06.1 Curatela,-,nocluster
"Hard Design. Il Product Design oggi, tra innovazione e creatività","INGARAMO, MATTEO ORESTE",2005,06.1 Curatela,-,nocluster
ManteroMood. Movie design for the silk concept La Tessitura_Como,"GALBIATI, MARIA LUISA;PIREDDA, FRANCESCA",2005,06.1 Curatela,movie design; comunicazione d'impresa; Mantero; videoinstallazioni; strategie di comunicazione,nocluster
Le case nella Triennale. Dal Parco al QT8,"CIAGA', GRAZIELLA LEYLA;TONON, GRAZIELLA",2005,06.1 Curatela,-,nocluster
La semiotica e le arti utili in undici dialoghi,"ZINGALE, SALVATORE",2005,06.1 Curatela,Semitica; Arti; Design; Oggetti; Architettura; Spazi; Città,nocluster
Luciano Baldessari e Milano. Progetti e realizzazioni in Lombardia,"CIAGA', GRAZIELLA LEYLA",2005,06.1 Curatela,-,nocluster
Materiali e Design,"LEVI, MARINELLA;PEDEFERRI, MARIAPIA;DEL CURTO, BARBARA;ROGNOLI, VALENTINA",2005,06.1 Curatela,-,nocluster
La luce come strumento di progetto,"ROSSI, MAURIZIO;SEASSARO, ALBERTO",2006,06.1 Curatela,-,nocluster
"KIWI, Knowledge Interaction Web Instruction","COLORNI VITALE, ALBERTO",2006,06.1 Curatela,-,nocluster
Comunicare le identità. Percorsi della soggettività nell'età contemporanea,"L. BOVONE;VOLONTE', PAOLO GAETANO",2006,06.1 Curatela,-,nocluster
Books. The future of reading?,"CRESPI, LUCIANO;PICCINNO, GIOVANNA;REBAGLIO, AGNESE",2006,06.1 Curatela,-,nocluster
ergonomia e aspetti psicosociali - nuove competenze nella prevenzione dei rischi lavorativi,"FIGIANI, MAURIZIO",2006,06.1 Curatela,-,nocluster
"Design, territorio e patrimonio culturale","V. CRISTALLO;E. GUIDA;A. MORONE;PARENTE, MARINA",2006,06.1 Curatela,design per il territorio; design per i beni culturali; design per lo sviluppo locale,nocluster
Il design per la valorizzazione dei beni culturali. Le premesse fondative della ricerca d.Cult,"MAFFEI, STEFANO;PARENTE, MARINA;VILLARI, BEATRICE",2006,06.1 Curatela,design per i beni culturali,nocluster
Design e Imprese Artigiane. Un modello per l'innovazione.,"ARQUILLA, VENANZIO",2006,06.1 Curatela,-,nocluster
Living room design,"MAFFEI, STEFANO;PARINI B;ARQUILLA, VENANZIO",2006,06.1 Curatela,-,nocluster
Moda e Design. Cross fertilization per l'innovazione,"BERTOLA, PAOLA;CONTI, GIOVANNI MARIA",2006,06.1 Curatela,-,nocluster
Design degli interni,"GUERRINI, LUCA",2006,06.1 Curatela,-,nocluster
Books. The future of reading?,"CRESPI, LUCIANO;PICCINNO, GIOVANNA;REBAGLIO, AGNESE",2006,06.1 Curatela,-,nocluster
L’inventiva. Psòmega vent’anni dopo,"ZINGALE, SALVATORE;BONFANTINI M. A.",2006,06.1 Curatela,-,nocluster
Salons,"ARQUILLA, VENANZIO;MAFFEI, STEFANO;B. Parini",2006,06.1 Curatela,-,nocluster
Premio Biagio Rossetti 2005,"GUERRINI, LUCA;VENTURA, NICOLA",2006,06.1 Curatela,-,nocluster
