dc.date.issued	dc.type.full	dc.identifier.uri	dc.title	dc.description.allpeople
2008	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667391	Concorso Internazionale di Progettazione a Grado Unico Ristretto: â€œAmamontagnolaâ€ Roma.	E. Avallone; G. Forte; M. Musmeci; S. Orsi;  G. Pierluisi; A. Sciolari
2009	07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/758847	Time To Design	G. Gerosa; M. Berghinz
2009	07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/758848	Opening Soon	G. Gerosa; L. Collina; A. Branzi
2009	07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/924756	PAOLO ULIAN 1990-2009	Beppe Finessi
2009	07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/925361	ANGELO MANGIAROTTI SCOLPIRE/COSTRUIRE	Beppe Finessi
2009	07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/925756	ALESSANDRO MENDINI	Beppe Finessi
2009	07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/925757	PIO MANZU'. Quando il mondo era moderno.	Giacinto Di Pietrantonio; Enrico Leonardo Fagone; Beppe Finessi
2009	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/563684	Propsettive di design per i servizi Mobile secondo l'approccio User Centred	M. Pillan ; F. Rizzo
2009	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/564940	Design Per. L'ambiente	Guida F.E.; Chia G.
2009	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/565390	The Identity of Cultural Heritages between Real and Virtual. New Languages and Virtuous Devices in the Age of Transition.	Guida F.E.
2009	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/1019069	Freesbe: Free sound diffusion	Mauri, Michele; Desiato, Andrea; Paolo, Dusi; Napoli, Mauro
2009	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/563693	Citymurmur	M. Quaggiotto; G. Caviglia; M. Graffieti; S. Granados Lopez; D. Guido; D. Ricci; G. Scagnetti
2009	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/564313	DRM - Design Research Maps	P. Bertola; S. maffei; M. Bianchini; B. Villari
2009	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/640516	Il Ponte della Pace, Tbilisi (Georgia)	M. De Lucchi
2009	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/693509	Mediterranean Design. Tra presente e futuro	M. Ferrara; C. Ferrara (coordinatori)
2010	07 ALTRO::07.03 Design	http://hdl.handle.net/11311/958788	Rubens e i fiamminghi	R.Gaddi
2010	07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/758842	BiNOMi â€“ Biennale Nord Ovest Milano	G. Gerosa
2010	07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/924758	GIOVANNI LEVANTI	Beppe Finessi
2010	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/574586	Nel tunnel dell'Alta VelocitÃ 	P. Beria; R. Grimaldi; M. Ponti
2010	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/582027	L'impatto delgi ITS per la riduzione di CO2	L. Studer; V. Mauro; et al.
2010	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/583074	Italian Light Contract	M. Turinetto
2010	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/585672	Choosing between ecology awareness and business	M. TURINETTO
2010	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/585673	Light for a new product identity	M. TURINETTO
2010	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/585674	Lighting ethics, enviroment	M. TURINETTO
2010	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/585675	Individualised Consumption: is the future industry ready for a complex, higly-differentiated market ?	M. TURINETTO
2010	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/585676	On living well in today's enviroments	M. TURINETTO
2010	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/692963	A Moda projectada	CHIARA COLOMBI
2010	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/583357	100 virtuous cities	G. Piccinno; E. Lega; D. Fassi
2010	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/583358	100 virtuous cities	G. Piccinno; E. Lega; D. Fassi
2010	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/640515	Parquet Medoc	M. De Lucchi
2010	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/662288	Il progetto illuminotecnico per la Mostra di Hopper a Roma	F.Murano
2010	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/693098	"CONCORSO Dâ€™IDEE

PER LA PROGETTAZIONE DI PIAZZA XX SETTEMBRE E DEGLI SPAZI ANNESSI"	G. Gerosa; D. Fumagalli; G. Lassandro; D. Prinzo
2010	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/693100	Concorso di idee finalizzato allâ€™acquisizione di una proposta ideativa in merito alla riqualificazione della piazza Sennorigau in Villagrande Strisaili	G. Gerosa; G. LAssandro; D. Fumagalli; D. Prinzo
2011	07 ALTRO::07.03 Design	http://hdl.handle.net/11311/958783	Boldini e la Belle Epoque	R.Gaddi
2011	07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/766135	Autoproduzioni Italiane	S. Maffei; A. Gianni; P. Bolzan
2011	07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/924757	DI VASO IN FIORE	Beppe Finessi
2011	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/583475	Lâ€™unitÃ  dâ€™Italia: testimonianze risorgimentalinei musei e nel territorio della Toscana	A.Mazzanti
2011	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/586879	Arena Models. Deliverable 2.1 for Periheria project, Grant Agreement number: 271015	Concilio G.; Rizzo F.
2011	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/586880	Deliverable 2.1: Scenarios description. Deliverable for the European Project Life 2.0 LIFE 2.0Geographical positioning services to support independent living and social interaction of elderly people ICT-PSP-270965	Rizzo F.; Costa F.; Oliva S.
2011	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/605088	Esposizione personale: PARIS_PLIS  Gabriele Pierluisi a cura di Martina Cavallarin.  Parigi dal 03-02-2011 al 03-03-2011	gabriele pierluisi
2011	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/631194	Good Idea + Good Design = Good Service ? Learning how to evaluate Service Design	S. Maffei; E. Pacenti; B. Villari
2011	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/634053	Natural Fashion. From symbolic to cognitive innovation through crafts and design	COLOMBI CHIARA
2011	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/644331	"Brevetto, Design e ""forma del tempo"". I brevetti nella storia del design italiano"	G. Bosoni
2011	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/660634	Dust: A Visualization Tool Supporting Parentsâ€™ School-Choice Evaluation Process	Matteo Azzi; Giorgio Caviglia; Donato Ricci; Paolo Ciuccarelli; Emanuele Bonetti; Loredana Bontempi
2011	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/693234	NUTRIRE MILANO. Seconda annualitÃ  del progetto - Relazione al bilancio.	A. Meroni; G. Simeone; M. Corubolo; D. Cantu; F. Piredda; A. Arossa; P. Bolzacchini; A. Cecchini; E. Nasuelli
2011	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/693286	Smart Citizens community directory. Deliverable 3.1.1 Progetto europeo Peripheria	G. Concilio; F. Rizzo; et. alii
2011	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/693292	Sociable Housing	A. Meroni; G. Ferri
2011	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/634267	Per l'Esposizione, mi raccomando...! Milano e lâ€™Esposizione internazionale del Sempione del 1906 nei documenti del Castello Sforzesco	"G. Botti;
P. Cordera;
G. Ricci"
2011	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/640521	Uffici del Triennale Design Museum	M. De Lucchi
2011	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/641342	Filiali Superflash Intesa Sanpaolo	M. De Lucchi
