title,author,year,type,keywords,cluster
Wandering through the time of the city. Real and virtual Milanese itineraries,"IAROSSI, MARIA POMPEIANA;CONTE, SARA;Rossini, Matilde",2016,02.1 Contributo in Volume,"Maps, Iconographic heritage,virtual itineraries",nocluster
Urban Interior Design: Strategies for Public Living Spaces,"DI PRETE, BARBARA",2016,02.1 Contributo in Volume,-,nocluster
Materially Yours,"Karana, Elvin;Giaccardi, Elisa;ROGNOLI, VALENTINA",2017,02.1 Contributo in Volume,-,nocluster
Traduzioni artefattuali. Le molteplici forme della traduzione progettuale.,"PENATI, ANTONELLA VALERIA",2016,02.1 Contributo in Volume,-,nocluster
"Realtà e illusione nell’architettura dipinta. Quadraturismo e decorazione pittorica nella Provincia e antica Diocesi di Como (Comasco, Ticino, Valtellina)","DE PAOLIS, ROBERTO",2016,02.1 Contributo in Volume,-,nocluster
Umanesimo contemporaneo,"FERABOLI, MARIA TERESA",2016,02.1 Contributo in Volume,-,nocluster
"Progetti e pensieri 1939-1949: per una ""profezia"" dell'architettura tra disegno del mobile e interni","BOSONI, GIAMPIERO",2016,02.1 Contributo in Volume,-,nocluster
Appunti sulla ricerca iconografica nella storia del design. Alcune riflessioni intorno al valore dell'immagine nella strutturazione dei racconti storici di Enzo Frateili.,"BOSONI, GIAMPIERO",2016,02.1 Contributo in Volume,-,nocluster
"""La casa nuova è la coscienza di un mondo nuovo"", Del design degli interni e degli elementi che li fanno vibrare","BOSONI, GIAMPIERO",2016,02.1 Contributo in Volume,"interni, design, mobili",nocluster
Nuovi Scenari della materia e visioni di design,"FERRARA, MARIA RITA",2016,02.1 Contributo in Volume,"Design for Material, MADEC, Interdisciplinary research, advanced scenario, design qualities, tangible interfaces, kinetic environment, design vision and experimentation",nocluster
"The avant-garde movements: Futurism,Czech Cubism, Suprematism, Constructivism, Expressionism, De Stijl","BARBARA, ANNA",2015,02.1 Contributo in Volume,-,nocluster
Identità possibili degli spazi inclusivi,"BARBARA, ANNA",2016,02.1 Contributo in Volume,-,nocluster
Il superamento della mano,"MAFFEI, STEFANO",2016,02.1 Contributo in Volume,-,nocluster
Innovare è innovare è innovare,"MAFFEI, STEFANO;BIANCHINI, MASSIMO",2016,02.1 Contributo in Volume,-,nocluster
Lo sguardo traduttore. Design e traduzione per il campo editoriale,"BAULE, GIOVANNI",2016,02.1 Contributo in Volume,-,nocluster
Conceptual Design of Haptic-Feedback Navigation Device for Individuals with Alzheimer’s Disease,"BIAMONTI, ALESSANDRO;Che Me, Rosalam;Mohd Saad, Mohd Rashid",2015,02.1 Contributo in Volume,"DESIGN, ALZHEIMER, INNOVAZIONE,",nocluster
GLOBAL CHALLENGES AND EDUCATION: THE AGE OF INNOVATION LEADERS,"BERTOLA, PAOLA;CERI, STEFANO;VACCA, FEDERICA",2016,02.1 Contributo in Volume,-,nocluster
