dc.type.full;dc.identifier.uri;dc.language.iso;dc.date.issued;dc.type.referee;dc.type.circulation;dc.publisher.name;dc.publisher.country;dc.publisher.place;dc.relation.medium;dc.title;dc.subject.keywordsita;dc.subject.keywords;item.collection;item.openaireRights;dc.description.numberofauthors;dc.authority.people;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1054598;ita;2007;Comitato scientifico;-0;Tecniche Nuove;ITA;ITA;STAMPA;EUCIP Guida alla certificazione per professionisti IT;-0;certificazione eucip;03.1 Monografia o trattato scientifico;none;4;G. BIGINI;M. BRAMBILLA;CAPPIELLO C;F. RIZZO;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/247603;-0;2007;-0;nazionale;Franco Angeli;-0;Milano;-0;Moda e design: il progetto dell'eccellenza;-0;-0;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/closedAccess;1;CAPPELLIERI, ALBA;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/250878;-0;2007;-0;nazionale;AIAP;-0;Roma;-0;Sinestesia e progetto;-0;-0;03.1 Monografia o trattato scientifico;none;1;RICCO', DINA;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/255694;ita;2007;-0;nazionale;Laterza;ITA;Roma;-0;Una politica per i trasporti italiani;-0;-0;03.1 Monografia o trattato scientifico;none;3;"BERIA, PAOLO;ERBA, STEFANO;PONTI, MARCO GUIDO";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/256327;eng;2007;-0;nazionale;Tecniche Nuove;-0;-0;-0;Eucip - EUCIP - Guida alla certificazione per il professionista IT;-0;INF;03.1 Monografia o trattato scientifico;none;5;"G. Bigini;BRAMBILLA, MARCO;CAPPIELLO, CINZIA;PLEBANI, PIERLUIGI;RIZZO, FRANCESCA";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/256421;-0;2007;-0;nazionale;Carocci Editore;-0;Roma;-0;Design e innovazione. Strumenti e pratiche per la ricerca applicata;-0;-0;03.1 Monografia o trattato scientifico;none;2;"CELASCHI, FLAVIANO;DESERTI, ALESSANDRO";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/265843;ita;2007;-0;-0;Franco Angeli;-0;Milano;-0;Textile Design;-0;-0;03.1 Monografia o trattato scientifico;none;3;"FRASSINE, ROBERTO;RUBERTELLI, MANUELA;SOLDATI, MARIA GRAZIA";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/274056;-0;2007;-0;nazionale;Dativo Editore;-0;Milano;-0;Durabilità e scadenza nella comunicazione di prodotto;-0;-0;03.1 Monografia o trattato scientifico;none;2;"BUCCHETTI, VALERIA LUISA;CIRAVEGNA, ERIK";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/274063;-0;2007;-0;nazionale;Franco Angeli;ITA;Milano;-0;Strumenti di design management;-0;design management; design thinking; design tools; metaprogetto;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/closedAccess;1;CAUTELA, CABIRIO;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/274272;-0;2007;-0;nazionale;Edilstampa;-0;Roma;-0;Next architetti. Paesaggi ralazionali;-0;-0;03.1 Monografia o trattato scientifico;none;5;"E. Avallone;G. Forte;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/274069;eng ita chi;2007;-0;nazionale;Zanichelli, National Defence Industry Press, Springer;ITA;Bologna, Pechino, Londra;-0;Design per la sostenibilità ambientale. Design for environmental sustainability;-0;-0;03.1 Monografia o trattato scientifico;none;2;"VEZZOLI, CARLO ARNALDO;MANZINI, EZIO";;;;;;;;;;
