dc.type.full;dc.identifier.uri;dc.language.iso;dc.date.issued;dc.type.referee;dc.type.circulation;dc.publisher.name;dc.publisher.place;dc.publisher.country;dc.relation.ispartofbook;item.journal.title;dc.relation.medium;dc.relation.conferenceplace;dc.relation.conferencename;;dc.subject.keywords;item.collection;item.openaireRights;dc.description.numberofauthors;dc.authority.people;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/538927;eng;1998;-0;internazionale;G. Morel, F. Vernadat;-0;-0;[Proceedings of the 9th Symposium on Information Control in Manufacturing IFAC];-0;-0;Nancy - Metz, France;9th Symposium on Information Control in Manufacturing (IFAC);;-0;04.1 Contributo in Atti di convegno;none;7;"ROVETTA, ALBERTO;SALA, REMO;M. BRESSANELLI;M. E. GARAVALDI;F. LORINI;R. PEGORARO;CANINA, MARIA RITA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/538958;eng;1998;-0;internazionale;-0;-0;-0;IFAC Conference on Manufacturing;-0;-0;Cracow, Polonia;IFAC Conference on Manufacturing;;-0;04.1 Contributo in Atti di convegno;none;7;"ROVETTA, ALBERTO;SALA, REMO;M. BRESSANELLI;M. E. GARAVALDI;F. LORINI;CANINA, MARIA RITA;R. PEGORARO";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/540876;eng;1998;Sì, ma tipo non specificato;internazionale;ESA, European Space Agency;Noordwijk;NLD;-0;-0;-0;Cagliari, Sardegna, Italy;Explospace. Workshop on Space Exploration and Resources Exploitation;;design; comfort; garments; human factors; microgravity; items; space clothing; space design; wardrobe for space;04.1 Contributo in Atti di convegno;none;1;DOMINONI, ANNALISA
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/559292;eng;1998;Sì, ma tipo non specificato;internazionale;-0;-0;-0;Fifth International Congress of Parkinson’s Disease and Movement Disorders;-0;-0;New York, USA;-0;;-0;04.1 Contributo in Atti di convegno;none;5;"A. ANTONINI;ROVETTA, ALBERTO;R. FARIELLO;M. BARICHELLA;CANINA, MARIA RITA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/689025;ita;1998;-0;internazionale;-0;Milano;-0;-0;-0;-0;Milano;NIR-IT. Didattica, Società, Cultura, Mercato: le nuove frontiere di Internet;;-0;04.1 Contributo in Atti di convegno;none;1;RICCO', DINA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/502876;-0;1999;-0;-0;-0;-0;-0;-0;-0;-0;Florence, Italy;14th International Congress of EEG and Clinical Neurophysiology;;-0;04.1 Contributo in Atti di convegno;none;3;"ROVETTA, ALBERTO;F. LORINI;CANINA, MARIA RITA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/538955;eng;1999;-0;internazionale;-0;-0;-0;-0;-0;-0;Oulu, Finland;Tenth World Congress on the Theory of Machines and Mechanisms;;-0;04.1 Contributo in Atti di convegno;none;3;"ROVETTA, ALBERTO;F. LORINI;CANINA, MARIA RITA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/538956;eng;1999;-0;internazionale;-0;-0;-0;MMVR Int. Congress;-0;-0;S. Francisco, USA;Medicine Meets Virtual Reality 7 Int. Congress;;-0;04.1 Contributo in Atti di convegno;none;3;"ROVETTA, ALBERTO;CANINA, MARIA RITA;F. LORINI";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/538957;eng;1999;-0;nazionale;-0;-0;-0;-0;-0;-0;Milan, Italy;Workshop NIR-IT '99: Internet: il media del 2000;;-0;04.1 Contributo in Atti di convegno;none;4;"R. PEGORARO;ROVETTA, ALBERTO;F. LORINI;CANINA, MARIA RITA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/503427;-0;2000;-0;-0;-0;-0;-0;-0;-0;-0;Milano;Design plus Research;;-0;04.1 Contributo in Atti di convegno;none;2;"RICCO', DINA;ANCESCHI G.";;;;;;;;
