dc.type.full;dc.identifier.uri;dc.language.iso;dc.date.issued;dc.type.circulation;dc.publisher.name;dc.publisher.country;dc.publisher.place;dc.relation.ispartofbook;dc.relation.medium;dc.relation.conferenceplace;dc.relation.conferencename;dc.title;dc.subject.keywords;item.collection;item.openaireRights;dc.description.numberofauthors;dc.authority.people;;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/570636;-0;2002;nazionale;-0;-0;-0;-0;-0;-0;-0;La lezione del ponte sullo Stretto;-0;07.12 Altro;none;2;"PONTI, MARCO GUIDO;A. Boitani";;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/570656;-0;2002;nazionale;-0;-0;-0;-0;-0;-0;-0;Il federalismo stradale: Procedure e prime applicazioni legislative.;-0;07.12 Altro;none;3;"C. Borgnolo;PONTI, MARCO GUIDO;TORTA, FABIO PIETRO";;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/691093;-0;2002;nazionale;-0;-0;-0;-0;-0;-0;-0;Nuove tecnologie, multimedia e standard grafici per la rappresentazione digitale del territorio;-0;07.12 Altro;info:eu-repo/semantics/closedAccess;1;CECONELLO, MAURO ATTILIO;;;;;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/665920;ita;2002;-0;Comune di Piacenza;-0;-0;-0;-0;Piacenza;"Contratto di ricerca per ""Contratto di quartiere San Giuseppe Baia del Re di Piacenza. Il controllo di qualità e la flessibilità nel progetto di riqualificazione""";Contratto di quartiere San Giuseppe Baia del Re di Piacenza. Il controllo di qualità e la flessibilità nel progetto di riqualificazione;Contratto di quartiere; Edilizia residenziale pubblica; Sistemi di qualità;07.13 Progetti;none;13;"SCHIAFFONATI, FABRIZIO;SCOCCIMARRO, ANTONIO;FANZINI, DANIELE;BIANCHI, CRISTINA;CAVALLERI, ANNA;COLLINA, LUISA MARIA VIRGINIA;M. Corò;DAGLIO, LAURA;FANTINI, ADRIANA;GINELLI, ELISABETTA;MUSSINELLI, ELENA GERMANA;M. Sancito;VITOLA, FRANCESCO";;;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/667407;ita;2002;-0;Ministero per i Beni Culturali. Ente E.U.R.;-0;-0;-0;-0;EUR, Roma, Italia;Concorso internazionale ad inviti;Concorso internazionale ad inviti per la realizzazione del “Museo dell'audiovisivo nel Palazzo della Civiltà del Lavoro all' EUR” Roma;-0;07.13 Progetti;none;10;"E. Avallone;CARBONARA, GIANNI;G. Colucci;M. Fegiz;F. Galdo;M. Musmeci;S. Orsi;PIERLUISI, GABRIELE;M. sasso;A. Sciolari";;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/259638;-0;2003;-0;-0;-0;-0;-0;-0;-0;-0;Proceedings of the 8th International Conference on Human Aspects of Advanced Manifacturing: Agility & Hybrid Automation;-0;07.12 Altro;none;5;"BAGNARA, SEBASTIANO;S. Pozzi;A. Rizzo;RIZZO, FRANCESCA;S. Save";;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/565393;-0;2003;internazionale;-0;-0;-0;-0;-0;-0;-0;Il tempo ai tempi di internet;-0;07.12 Altro;none;1;GUIDA, FRANCESCO ERMANNO;;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/565394;-0;2003;nazionale;-0;-0;-0;-0;-0;-0;-0;Ma che strani tipi;-0;07.12 Altro;none;1;GUIDA, FRANCESCO ERMANNO;;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/570645;-0;2003;nazionale;-0;-0;-0;-0;-0;-0;-0;Alitalia: un'Italia senza ali;-0;07.12 Altro;-0;1;PONTI, MARCO GUIDO;;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/570646;-0;2003;nazionale;-0;-0;-0;-0;-0;-0;-0;La leggenda del corridoio Lisbona - Kiev;-0;07.12 Altro;none;1;PONTI, MARCO GUIDO;;;;;
