dc.publisher.place;dc.type.referee;dc.publisher.country;item.collection;item.openaireRights;dc.subject.keywordsita;dc.language.iso;dc.subject.keywords;dc.identifier.uri;dc.date.issued;dc.type.full;dc.relation.ispartofbook;item.journal.title;dc.title;dc.relation.medium;dc.description.numberofauthors;dc.publisher.name;dc.authority.people;dc.type.circulation;;;;;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;-0;http://hdl.handle.net/11311/1008679;2017;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;THE BURLINGTON MAGAZINE;Milan 1630: the festivities to celebrate the birth of Prince Balthasar of Spain and an invention by Leonardo da Vinci;-0;2;-0;"MARANI, PIETRO;BORA, Giulio";-0;;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;-0;http://hdl.handle.net/11311/1009997;2017;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;INTERNATIONAL JOURNAL OF RAPID MANUFACTURING;Commons people: additive manufacturing enabled collaborative commons production (by design);-0;2;-0;"Smith, Paul;MORTATI, MARZIA";-0;;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;chi;-0;http://hdl.handle.net/11311/1010141;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;ZHUANGSHI;Updating the Tradition: Italian Design in the First Decade of the New Century;STAMPA;2;-0;"GUERRINI, LUCA;GEROSA, GIULIA MARIA";-0;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;-0;http://hdl.handle.net/11311/1012448;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;PAD;CampUS: co-designing spaces for urban agriculture with local communities;ELETTRONICO;3;-0;"FASSI, DAVIDE;GALLUZZO, LAURA;DE ROSA, ANNALINDA";-0;;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng ita;;design della comunicazione, grafica, branding, narrazione, informazione digitale;http://hdl.handle.net/11311/1012519;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;DIID. DISEGNO INDUSTRIALE INDUSTRIAL DESIGN;Comunicare il viaggio: dalla guida al blog, dalla propaganda al branding;STAMPA;1;-0;GUIDA, FRANCESCO ERMANNO;-0;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;ita;-0;http://hdl.handle.net/11311/1013175;2017;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;LUCE E DESIGN;Le aziende e la ricerca. Quando università e impresa fanno squadra;-0;2;-0;"PALMIERI, STEFANIA;Amandolese, Daniela";-0;;;;;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;materials experience; sustainability; aesthetic pleasure; sensorial experience; unity-in-variety;http://hdl.handle.net/11311/1013976;2017;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;SUSTAINABILITY;Revived Beauty: Research into Aesthetic Appreciation of Materials to Valorise Materials from Waste;ELETTRONICO;3;-0;"Sauerwein, Marita;Karana, Elvin;ROGNOLI, VALENTINA";-0;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;ita;-0;http://hdl.handle.net/11311/1014373;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;L'IMPRESA;Blue economy dentro casa;STAMPA;1;-0;CEPPI, GIULIO;-0;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;ita;-0;http://hdl.handle.net/11311/1014375;2017;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;L'IMPRESA;"Il "" diritto al piacere"", una sfida per il paese";-0;1;-0;CEPPI, GIULIO;-0;;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;-0;http://hdl.handle.net/11311/1016034;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;IDEA;E-urbanism: strategies to develop a new urban interior design;-0;3;-0;"CRIPPA, DAVIDE;DI PRETE, BARBARA;LONARDO, EMILIO";-0;;;;;;;;;;;;;;
