dc.publisher.place,dc.type.referee,item.collection,item.openaireRights,dc.subject.keywordsita,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.type.full,dc.type.circulation,dc.relation.medium,dc.language.iso,dc.publisher.country,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.title
Milano,-,03.1 Monografia o trattato scientifico,none,-,"interaction design, web design, digital design",http://hdl.handle.net/11311/255346,2004,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,STAMPA,ita,ITA,1,Edizioni Poli.Design,"BRUGNOLI, GIANLUCA",La progettazione web. Il design per la rete tra esperienza e interfacce
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/255516,2005,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,2,Clup,"PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA",Costruire imbarcazioni da diporto. Esperienze in cantiere.
Roma,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/255694,2007,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,3,Laterza,"BERIA, PAOLO;ERBA, STEFANO;PONTI, MARCO GUIDO",Una politica per i trasporti italiani
-,-,03.1 Monografia o trattato scientifico,none,-,INF,http://hdl.handle.net/11311/256327,2007,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,eng,-,5,Tecniche Nuove,"G. Bigini;BRAMBILLA, MARCO;CAPPIELLO, CINZIA;PLEBANI, PIERLUIGI;RIZZO, FRANCESCA",Eucip - EUCIP - Guida alla certificazione per il professionista IT
Roma,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/256421,2007,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,2,Carocci Editore,"CELASCHI, FLAVIANO;DESERTI, ALESSANDRO",Design e innovazione. Strumenti e pratiche per la ricerca applicata
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/257899,2004,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,3,Edizioni Poli.Design,"M. Aureggi;BERTOLO, MARESA;PILLAN, MARGHERITA",E-content design - orizzonti di ricerca per la multimedialita' interattiva
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/262352,2005,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,1,Edizioni Poli.Design,"SIMONELLI, GIULIANO",DESIGN PER LA COMPETITIVITÀ. GUIDA PER L’INNOVAZIONE DEL PRODOTTO CALZATURIERO
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/265843,2007,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,3,Franco Angeli,"FRASSINE, ROBERTO;RUBERTELLI, MANUELA;SOLDATI, MARIA GRAZIA",Textile Design
Genova,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/267043,2002,03 LIBRO::03.1 Monografia o trattato scientifico,internazionale,-,-,-,1,Corigraf,"PIAZZA, MARIO","Una firma per sei. Bernazzoli, Biassoni, Costantini, Veruggio, Luzzati, Piombino"
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/269662,2004,03 LIBRO::03.1 Monografia o trattato scientifico,internazionale,-,-,-,2,Edizioni Poli.Design,"GALBIATI, MARIA LUISA;GALLI, FRANCESCO",Lo studio televisivo: macchina luogo metafora. Le professioni della televisione
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/273975,2002,03 LIBRO::03.1 Monografia o trattato scientifico,internazionale,-,-,-,1,Edizioni Poli.Design,"PIARDI, SILVIA ELVIRA MARIA",Il design degli spazi abitativi. La cultura tecnologica della progettazione dagli spazi fissi agli spazi in movimento
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/274056,2007,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,2,Dativo Editore,"BUCCHETTI, VALERIA LUISA;CIRAVEGNA, ERIK",Durabilità e scadenza nella comunicazione di prodotto
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,design management; design thinking; design tools; metaprogetto,http://hdl.handle.net/11311/274063,2007,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,ITA,1,Franco Angeli,"CAUTELA, CABIRIO",Strumenti di design management
"Bologna, Pechino, Londra",-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/274069,2007,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita;chi;eng,ITA,2,"Zanichelli, National Defence Industry Press, Springer","VEZZOLI, CARLO ARNALDO;MANZINI, EZIO",Design per la sostenibilità ambientale. Design for environmental sustainability
Roma,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/274272,2007,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,5,Edilstampa,"E. Avallone;G. Forte;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari",Next architetti. Paesaggi ralazionali
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504073,2003,03 LIBRO::03.1 Monografia o trattato scientifico,internazionale,-,-,-,1,FrancoAngeli,"VOLONTE', PAOLO GAETANO",La fabbrica dei significati solidi. Indagine sulla cultura della scienza
SOVERIA MANNELLI,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504074,2001,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,1,Rubbettino,"VOLONTE', PAOLO GAETANO",Razionalità e responsabilità. La fondazione etica dell'epistemologia delle scienze sociali in Max Weber
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504075,2001,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,1,FrancoAngeli,"VOLONTE', PAOLO GAETANO",Le imprese sociali e i beni culturali
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504077,1988,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,3,-,"VOLONTE', PAOLO GAETANO;DUILIO, L.",Etica ed economia
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504079,2004,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,4,Einaudi scuola,"VOLONTE', PAOLO GAETANO;C. LUNGHI;M. MAGATTI;E. MORA","Sociologia. Concetti, metodi, temi di scienze sociali"
FREIBURG,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504080,1997,03 LIBRO::03.1 Monografia o trattato scientifico,internazionale,-,ger,DEU,1,Alber,"VOLONTE', PAOLO GAETANO",Husserls Phänomenologie der Imagination. Zur Funktion der Phantasie bei der Konstitution von Erkenntnis
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504081,1999,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,-,4,Einaudi scuola,"VOLONTE', PAOLO GAETANO;LUNGHI C.;MAGATTI M.;MORA E.","Concetti, metodi, temi di sociologia. Dodici moduli di scienze sociali"
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504082,1999,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,-,1,Xenia,"VOLONTE', PAOLO GAETANO",Nietzsche
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504084,2000,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,1,Bompiani,"VOLONTE', PAOLO GAETANO",Edmund Husserl. Fenomenologia e teoria della conoscenza
MILANO,-,03.1 Monografia o trattato scientifico,none,-,fashion; cultural production,http://hdl.handle.net/11311/504085,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,1,Bruno Mondadori,"VOLONTE', PAOLO GAETANO",Vita da stilista. Il ruolo sociale del fashion designer
BOLZANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504086,2008,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,3,Bozen-Bolzano University Press,"BELLOTTI, ELISA;BELTRAME L;VOLONTE', PAOLO GAETANO",Il campo sociale della fisica particellare in Italia. Uno studio sociologico
BOLOGNA,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504160,2006,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,-,ITA,2,Patron Editore,"AMORUSO, GIUSEPPE;R. MINGUCCI",RURAL LANDSCAPE AND ARCHITECTURAL QUALITY Raccomandazioni per una nuova qualità urbana
FIRENZE,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504161,2006,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,-,ITA,2,Alinea Editrice,"C. BARTOLOMEI;AMORUSO, GIUSEPPE",L'Architettura dei Fari Italiani / The Architecture of Italian Lighthouses
FIRENZE,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504162,2007,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,-,ITA,2,Alinea Editrice,"AMORUSO, GIUSEPPE;R. MINGUCCI",Rethinking the city. Projects for a new urban quality La rappresentazione del paesaggio urbano
BOLOGNA,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504163,2007,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,-,ITA,3,IAL Emilia Romagna,"R. MINGUCCI;C. BARTOLOMEI;AMORUSO, GIUSEPPE",Innovazione e Riqualificazione Urbana
FIRENZE,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504164,2007,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,-,ITA,2,Alinea Editrice,"C. BARTOLOMEI;AMORUSO, GIUSEPPE","L'Architettura dei Fari Italiani - The Architecture of Italian Lighthouses. Sardegna, vol. 3"
PAVIA,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/504296,2003,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,1,italian univesity press,"BISSON, MARIO",i luoghi dell'interazione. il progetto del controllo e del comando
MILANO,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/504297,2006,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,2,franco angeli,"BISSON, MARIO;CRISTINA BOERI",variazioni sul colore
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504345,2004,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,ITA,2,Polidesign,"TROCCHIANESI, RAFFAELLA;F. CELASCHI",Design & Beni Culturali. La cultura del progetto nella valorizzazione del bene culturale
-,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504429,2003,03 LIBRO::03.1 Monografia o trattato scientifico,internazionale,-,eng,-,7,-,"STUDER, LUCA PASINO;ARDITI R;MAJA, ROBERTO;PONTI, MARCO;SALA G;VERONESI, ELEONORA;JAVICOLI A.",TRANS-ALPS A Transport model for decisions on Traffic Management Plans
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504440,2002,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,ITA,1,Polidesign,"PIARDI, SILVIA ELVIRA MARIA",Il design degli spazi abitativi. La cultura tecnologica della progettazione dagli spazi fissi agli spazi in movimento
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504442,2003,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,ITA,1,Clup,"PIARDI, SILVIA ELVIRA MARIA",Progettare e costruire imbarcazioni da diporto. Esperienze del Master in Yacht Design del POlitecnico di Milano
NAPOLI,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504444,2005,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,ITA,4,Sistemi Editoriali Esselibri,"GROSSO M.;PERETTI S.;PIARDI, SILVIA ELVIRA MARIA;SCUDO G.",Progettazione ecocompatibile dell'architettura
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504474,2000,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,1,GUERINI STUDIO,"GALBIATI, MARIA LUISA",LETTURE DINAMICHE DELL'ARTE CON LE TECNOLOGIE DIGITALI. ELEMENTI DI REGIA PER LA PRODUZIONE DI FILM D'ARTE
MILANO,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/504475,2005,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,1,POLIDESIGN,"GALBIATI, MARIA LUISA",MOVIE DESIGN. SCENARI PROGETTUALI PER IL DESIGN DELLA COMUNICAZIONE AUDIOVISIVA E MULTIMEDIALE
BOLOGNA,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504488,2002,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,-,ITA,1,ESCULAPIO,"IANNILLI, VALERIA MARIA",Riflessioni e scenari innovativi nel progetto del punto vendita
NAPOLI,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504489,2002,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,ITA,1,CUEN srl,"PARENTE, MARINA","La conoscenza scientifica e tecnologica. I luoghi, le memorie, le tracce"
Melfi (PZ),-,03.1 Monografia o trattato scientifico,none,-,sistema design Campania; design del territorio; design per lo sviluppo locale; design palese,http://hdl.handle.net/11311/504490,2002,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,4,Libria,"V. CRISTALLO;E. GUIDA;A. MORONE;PARENTE, MARINA",Design e sistema territoriale. Cinque casi studio di successo in Campania.
MILANO,"Sì, ma tipo non specificato",03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,smart materials; design; sperimentazione progettuale; performance tecnologica; innovazioni tecnologiche; innovazioni scientifiche; macroinvenzioni; microinvenzioni; paradigmi tecnico-produttivi,http://hdl.handle.net/11311/504502,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,2,Lupetti editori di comunicazione,"M. CARDILLO;FERRARA, MARIA RITA","Materiali intelligenti, sensibili, interattivi. 02 materiali per il design"
MILANO,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/504586,2007,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,1,Franco Angeli,"CAPPELLIERI, ALBA",Moda e Design: il progetto dell'eccellenza
MILANO,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/504588,2007,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,1,Skira,"CAPPELLIERI, ALBA","Gioiello Italiano Contemporaneo, tecniche e materiali tra arte e design"
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504596,2002,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,-,-,2,Edizioni Polidesign,"CAPPELLIERI, ALBA;BERTOLA, PAOLA","Ricerca, Design e sperimentazione per l’innovazione di prodotto nel settore dell’accessorio moda: il caso Mangiameli"
MILANO,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,ron arad; alba cappellieri; design; arte; architettura,http://hdl.handle.net/11311/504597,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,eng;ita,ITA,1,MondadoriArte,"CAPPELLIERI, ALBA","Ron Arad: arte, architettura, design."
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504645,2002,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,ITA,1,poli.design,"BERTOLO, MARESA",design della comunicazione ipertestuale
MILANO,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,"Animazione interattiva
Computer Grafica
Programmazione
Multimedia",http://hdl.handle.net/11311/504646,2006,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,4,Pearson,"BERTOLO, MARESA;DE LUCA V;GRASSI A;LOCHIS G.",Flash! Percorso guidato per le animazioni interattive
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504647,1999,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,1,Franco Angeli Editore,"SCULLICA, FRANCESCO",Bruno Morassutti.Quattro Realizzazioni Un percorso metodologico
FIRENZE,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,Leonardo; Disegni; Musei francesi; collezionismo,http://hdl.handle.net/11311/504696,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,2,GIUNTI,"MARANI;MARANI, PIETRO",I disegni di Leonardo da Vinci e della sua cerchia nelle collezioni pubbliche in Francia
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504726,2007,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,3,ATì,"ZINGALE, SALVATORE;BONFANTINI M. A;BRAMATI J.",Sussidiario di semiotica. In dieci lezioni e duecento immagini
MILANO,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,Semiotica; Design; Gioco; Dialogo; Logica.,http://hdl.handle.net/11311/504727,2009,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,1,ATì Editore,"ZINGALE, SALVATORE","Gioco, dialogo, design. Una ricerca semiotica"
MILANO,Comitato scientifico,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,-,-,http://hdl.handle.net/11311/504750,1999,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,STAMPA,ita,ITA,1,Maggioli Editore,"BRUNO, DAVIDE MARIA",“Design: progettazione continua: nuove tecniche di sviluppo dei prodotti industriali”
MILANO,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/504751,2005,03 LIBRO::03.1 Monografia o trattato scientifico,internazionale,-,-,-,1,Poli.design,"BRUNO, DAVIDE MARIA","Learning design by design Experience, Poli.design Editore, Milano 2005"
ROMA,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,finanza; cultura; design; politica; architettura; speculazioni; fondi investimento,http://hdl.handle.net/11311/504752,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,1,Aracne,"BRUNO, DAVIDE MARIA","Cultura, finanza, politica: verso una nuova speranza progettuale"
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504753,1998,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,ITA,3,Il Sole 24 ORE Libri,"CIUCCARELLI, PAOLO;SEASSARO A.;CELASCHI F.",Eyewear design : sviluppo del prodotto e organizzazione della produzione nel settore degli occhiali tra risorse locali e mercato globale
-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,design di moda,http://hdl.handle.net/11311/504818,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,1,Pitagora,"CONTI, GIOVANNI MARIA",Oltre la moda. Storia del progetto Moda
ROMA,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504819,2005,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,2,Aracne Editrice,"CANINA, MARIA RITA;VICENTINI, FEDERICO",BioDesign: il corpo come luogo del progetto
ROMA,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504820,2005,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,-,1,Aracne Editrice,"CANINA, MARIA RITA",Biorobotica: verso l'Hi Tech design
MILANO,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/504928,2000,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,ITA,1,Giorgio Nada Editore,"TURINETTO, MARCO",Automobile: glossario dello stile
MILANO,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/504929,2002,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,ITA,1,POLI.DESIGN,"TURINETTO, MARCO",Moda e Design. Nuove trasversalità progettuali
MILANO,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/504930,1993,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,ITA,1,Lupetti&Co.,"TURINETTO, MARCO",Dizionario del Design
MILANO,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,Design; Innovazione; Made in Italy; Processo produttivo,http://hdl.handle.net/11311/504931,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,eng,ITA,1,LUPETTI,"TURINETTO, MARCO","NUOVE TRADIZIONI Methodology, Style, Coherence"
MILANO,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/504932,2008,03 LIBRO::03.1 Monografia o trattato scientifico,internazionale,-,ita,ITA,2,LUPETTI,"TURINETTO, MARCO;GANDINI C.",LUSSO NECESSARIO Trasformare prodotti e servizi in brand alto di gamma
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504944,2004,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,2,APOGEO,"PILLAN, MARGHERITA;SANCASSANI S.",Il bit e la tartaruga
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504994,1997,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,-,ITA,1,McGraw-Hill,"SIMONELLI, GIULIANO",Dal progetto al prodotto
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504995,2000,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,-,ITA,3,POLI.design Editore,"SIMONELLI, GIULIANO;MAFFEI, STEFANO",Il  Design per i Distretti industriali
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/504997,2001,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,-,ITA,4,POLIdesign Editore,"SIMONELLI, GIULIANO;CELASCHI F.;COLLINA, LUISA MARIA VIRGINIA",Design for District. Progetti per un distretto
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/505000,2002,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,3,Il Sole 24 Ore,"BERTOLA, PAOLA;SANGIORGI, DANIELA;SIMONELLI, GIULIANO","Milano distretto del design. Un sistema di luoghi, attori e relazioni al servizio dell’innovazione."
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/505001,2001,03 LIBRO::03.1 Monografia o trattato scientifico,internazionale,-,-,ITA,2,Edizioni POLI.DESIGN,"SIMONELLI, GIULIANO;COLLINA, LUISA MARIA VIRGINIA",Designing Designers. Training strategies for the third Millennium.
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/505003,1999,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,ITA,3,BEMA EDITRICE,"SIMONELLI, GIULIANO;PIVA M.;GABAGLIO S.",Tecnologie Alberghiere. Guida alle tecnologie integrate e coordinate
LONDON,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,Design for Sustainability; Life Cycle Design; Eco-design.,http://hdl.handle.net/11311/505027,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,eng,GBR,2,Springer,"VEZZOLI, CARLO ARNALDO;MANZINI, EZIO",Design for environmental sustainability
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/505066,2004,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,ITA,2,Edizioni PoliDesign,"BERTOLA, PAOLA;MANZINI, EZIO",Design Multiverso. Appunti di fenomenologia del design
-,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/505256,2003,03 LIBRO::03.1 Monografia o trattato scientifico,internazionale,-,-,ITA,7,-,"STUDER, LUCA PASINO;ARDITI R.;JAVICOLI A.;MAJA, ROBERTO;PONTI, MARCO;SALA, GABRIELLA;VERONESI, ELEONORA",TRANS-ALPS A Transport model for decisions on Traffic Management Plans
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/505257,2001,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,ITA,2,Franco Angeli,"PODESTA' C.;MAJA, ROBERTO",Metodi e modelli per il trasporto pubblico locale
MILANO,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,"TEXTURE DESIGN, BASIC DESIGN, COMUNICAZIONE VISIVA, PERCEZIONE APTICA",-,http://hdl.handle.net/11311/505273,2003,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,STAMPA,ita,ITA,1,Libreria CLUP scrl,"CALABI, DANIELA ANNA",Texture design. Un percorso basic
FIRENZE,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/505278,1996,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,1,Alinea,"TONELLI, MARIA CRISTINA",L'avventura dell'innovazione fra cultura materiale e strategia del progresso
Roma-Bari,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/505279,1987,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,1,Laterza,"TONELLI, MARIA CRISTINA",Il design in Italia 1925 / 43
FIRENZE,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/505280,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,1,Firenze University Press,"TONELLI, MARIA CRISTINA",Industrial design: latitudine e longitudine. Una prima lezione
SANTARCANGELO DI ROMAGNA (RN),-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,arte contemporanea; Design,http://hdl.handle.net/11311/505348,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,1,Maggioli Editore,"GUERRINI, LUCA","Itinerari. Opere, progetti, prodotti tra arte e design"
VENEZIA,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/505349,1990,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,ITA,2,Iuav/Daest,"GUERRINI, LUCA;PEDERIVA I.",La Gran Bretagna: la riqualificazione urbana come rivitalizzazione economica
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/505476,1999,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,-,ITA,1,FrancoAngeli,"BUCCHETTI, VALERIA LUISA",La messa in scena del prodotto. Packaging identità e consumo.
MILANO,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,packaging; storia; linguaggi; progetto,http://hdl.handle.net/11311/505477,2005,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,1,FrancoAngeli,"BUCCHETTI, VALERIA LUISA","Packaging design. Storia, linguaggi, progetto"
