dc.publisher.place,dc.type.referee,item.collection,item.openaireRights,dc.subject.keywordsita,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.type.full,dc.type.circulation,dc.relation.medium,dc.language.iso,dc.publisher.country,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.title
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1009996,2017,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,2,deleyva editore,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",OLTRE L’ABITO. IRIDESCENZE NELLA MODA CONTEMPORANEA
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1010664,2016,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,4,MACRO,"MAFFEI, STEFANO;VILLARI, BEATRICE;TAMINI, LUCA;PARINI, BARBARA","SOCIAL FOOD CLUB. SERVICE E FOOD DESIGN COME ABILITATORI DI NUOVI MODELLI DI SVILUPPO, INNOVAZIONE E COESIONE SOCIALE."
Milano-Torino,Comitato scientifico,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,spazio pubblico,-,http://hdl.handle.net/11311/1014983,2016,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,3,Bruno Mondadori,"BRUZZESE, MARIA ANTONELLA;GEROSA, GIULIA MARIA;TAMINI, LUCA",Spazio pubblico e attrattività urbana. L'Isola e le sue piazze
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,Albini,http://hdl.handle.net/11311/1016673,2016,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,2,Electa,"BUCCI, FEDERICO;BOSONI, GIAMPIERO",Il design e gli interni di Franco Albini
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,-,-,http://hdl.handle.net/11311/1018130,2016,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng;ita,ITA,2,Libraccio,"MAFFEI, STEFANO;BIANCHINI, MASSIMO",Next Design Innovation
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,"Adaptive Reuse, Urban Regeneration, Interior Design, Change of Use, Re-use",http://hdl.handle.net/11311/1018379,2016,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,1,FrancoAngeli,"CAMOCINI, BARBARA",Adapting Reuse. Strategie di conversione d'uso degli interni e di rinnovamento urbano
-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1018791,2017,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng,CHE,1,Springer,"SELLONI, DANIELA",CoDesign for Public-Interest Services
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,"mobilità, trasporti, smart cities, commuting, territorio, design, strategie territoriali",-,http://hdl.handle.net/11311/1018817,2016,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng,ITA,1,Mc Graw HILL,"BRUNO, DAVIDE MARIA","Moving design
The flow of people in the cities of the future"
-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1019052,2016,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,1,Corriere della Sera e Politecnico di Milano,"DE LUCCHI, MICHELE",MICHELE DE LUCCHI
Città del Messico,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,"design per la sostenibilità, Life Cycle Design, Life Cycle Assesment, design di prodotto",http://hdl.handle.net/11311/1019544,2016,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,spa,MEX,2,Editorial Designio,"VEZZOLI, CARLO ARNALDO;MANZINI, EZIO",Diseňo de productos ambientalmente sustentables
