dc.publisher.place,dc.type.referee,dc.relation.medium,item.openaireRights,item.collection,dc.subject.keywordsita,item.journal.title,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.relation.conferenceplace,dc.type.full,dc.type.circulation,dc.relation.ispartofbook,dc.relation.conferencename,dc.language.iso,dc.publisher.country,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.title
Milano,-,-,none,02.1 Contributo in Volume,-,-,video; comunicazione d'impresa; tecniche di produzione e post-produzione,http://hdl.handle.net/11311/662190,2002,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,"Ricerca, design e sperimentazione per l'innovazione di prodotto nel settore dell'accessorio moda: il caso mangiameli",-,ita,-,2,Polidesign,"GALBIATI, MARIA LUISA;GALLI, FRANCESCO",Il progetto di movie image design: il video come strumento didattico e di ricerca
Milano,-,-,none,02.1 Contributo in Volume,-,-,soglia; pratiche del progetto; cinema; fotografia; architettura; filosofia,http://hdl.handle.net/11311/662191,1994,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Abitare la soglia,-,ita,-,1,Tranchida Editori Inchiostro,"GALBIATI, MARIA LUISA",Introduzione Abitare la soglia
Santarcangelo di Romagna,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,Filarete; Leonardo; disegno; geometria; misura; proporzioni; torre; castello sforzesco,http://hdl.handle.net/11311/662233,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Milano Maths in the city. A mathematical tour of Milanese Architecture - Itinerario matematico dell'architettura milanese.,-,ita;eng,-,1,Maggioli Editore,"AMORUSO, GIUSEPPE","Castello Sforzesco. Disegno, geometria e misura nella Torre del Filarete"
Granada,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,Sinestesia origini; Percezioni sinestesiche; Metafore sinestesiche; Rappresentazioni sinestesiche,http://hdl.handle.net/11311/662237,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,"Sinestesia. Los fundamentos teóricos, artísticos y científicos",-,spa,ESP,1,Ediciones Fundación Internacional Artecittà,"RICCO', DINA",La producción científica en sinestesia
Granada,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,Synesthesia; Communication design; Visual music; Bauhaus; Schools of Design,http://hdl.handle.net/11311/662239,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,"Sinestesia. Los fundamentos teóricos, artísticos y científicos",-,spa,-,1,Ediciones Fundación Internacional Artecittà,"RICCO', DINA",Proyectar para los sentidos: el diseño sinestésico
Granada,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/662253,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,"Sinestesia. Los fundamentos teóricos,artísticos y científicos",-,spa,-,2,Ediciones Fundación Internacional Artecittà,"M. J. De Cordoba;RICCO', DINA",Introducción
Santarcangelo di Romagna,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,Colore; interfacce; percezione; modellazione; disegno,http://hdl.handle.net/11311/662382,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Colore e colorimetria,-,ita,ITA,1,Maggioli Editore,"AMORUSO, GIUSEPPE",Interazione del Colore nel Design.Modelli percettivi ed interfacce digitali
Roccafranca (Brescia),-,-,none,02.1 Contributo in Volume,-,-,arte; informazione; comunicazione; inganno mediale,http://hdl.handle.net/11311/662938,2010,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,L'arte serena dell'inganno mediale,-,ita,-,1,Compagnia della Stampa Massetti Rodella Editori,"GALBIATI, MARIA LUISA",L'arte ci salverà?
-,-,-,none,02.1 Contributo in Volume,-,-,murales; città multimediale; arte; graffiti; comunicazione.,http://hdl.handle.net/11311/662940,1998,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Il dettaglio urbano. Progettare la qualità degli spazi pubblici.,-,ita,-,1,Maggioli Editore,"GALBIATI, MARIA LUISA",Tracce artistiche nella città. Performances visive per il disegno della scena urbana
Milano,-,-,none,02.1 Contributo in Volume,-,-,Giacomo Scarpini; ascolto; maestro,http://hdl.handle.net/11311/662945,2002,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,"Diritoo d'Autori. Il diritto ad un ricordo, il dovere di un omaggio",-,ita,-,1,Libreria  Clup,"GALBIATI, MARIA LUISA",Su Giacomo
Milano,-,-,none,02.1 Contributo in Volume,-,-,fotografia; paesaggio; linguaggi visivi; interpretazione; visione.,http://hdl.handle.net/11311/662966,1996,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Fotografia e paesaggio. La rappresentazione fotografica del territorio.,-,ita,-,1,Guerini e Associati,"GALBIATI, MARIA LUISA",Fotografia e cultura architettonica: un difficile dialogo
Milano,-,-,none,02.1 Contributo in Volume,-,-,comunicazione d'impresa; movie design; strategie; creatività; Cimbali; Faema; progettisti della comunicazione,http://hdl.handle.net/11311/662983,2003,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,CimbalImage. Il movie design per la comunicazione d'impresa. Un progetto per il gruppo Cimbali-Faema.,-,ita;eng,-,1,Edizioni Polidesign,"GALBIATI, MARIA LUISA",Il progetto CimbalImage. Comunicazione d'impresa e design della comunicazione visiva e multimediale: un valore aggiunto per la valorizzazione del brand.
Pamplona,-,-,none,02.1 Contributo in Volume,-,-,Data visualization; infographics; internet; controversies,http://hdl.handle.net/11311/662998,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Molofiej 19. International Infographics Awards,-,spa;eng,ESP,1,SND-E Society for News Design,"CIUCCARELLI, PAOLO",Visual Explorations. On-line investigations for understanding society.
New York,Esperti anonimi,STAMPA,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/663169,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Color in Food: Technological and Psychophysical Aspects,-,eng,USA,2,CRC Press. Taylor & Francis Group,"ROSSI, MAURIZIO;RIZZI, ALESSANDRO",Color Temperature Variation for Fresh Food Lighting. A Test on User Preferences
Milano,Nessuno,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/663833,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Oltre l'aula. Strategie della formazione nella società della conoscenza,-,ita,ITA,2,APOGEO,"ZURLO, FRANCESCO;CAUTELA, CABIRIO",La formazione design-driven: percorsi creativi tra genio e regolatezza
ROMA,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,ambienti creativi; innovazione biologica; intelligenza emotiva,http://hdl.handle.net/11311/664145,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,IL DESIGN ITALIANO_20.00.11 ANTOLOGIA,-,eng;ita,-,1,Rdesignpress,"DOMINONI, ANNALISA",GLI AMBIENTI E I LUOGHI CHE GENERANO INNOVAZIONE
-,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/664200,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,"Il Design Italiano, collana comunicare il design itliano, innovazione per cultura",-,ita,-,1,Designpress,"DELL'ACQUA BELLAVITIS, ARTURO",Comunicare il Design
-,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/664218,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Simone Micheli from the future to the past,-,ita;eng,-,1,Edizioni l'Archivoldo,"DELL'ACQUA BELLAVITIS, ARTURO","Narrare una storia rovesciando le prospettive, l'architettura secondo Simone Micheli"
Milano,Nessuno,STAMPA,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/664365,2013,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,"PAESAGGI CULTURALI. COSTRUZIONE, PROMOZIONE, GESTIONE",-,ita,ITA,1,Egea,"GUIDA, FRANCESCO ERMANNO","Orientare, informare, identificare. Segnaletiche per la valorizzazione"
Milano,-,-,none,02.1 Contributo in Volume,-,-,residenze speciali; RSA; Arredamento,http://hdl.handle.net/11311/664368,2008,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,il progetto delle residenze speciali.Spazi e arredi,-,ita,ITA,4,Edizioni Unicopli -dipartimento di progettazione dell'Architettura,"DELL'ACQUA BELLAVITIS, ARTURO;SCULLICA, FRANCESCO;SIRONI, ALESSANDRA;M. Mariani",Progetto di un ambito spaziale di tipo igienico sanitario da collocarsi in una RSA- residenza sanitarie assistenziali)
Roma,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,Mappa cromatica; identità; rilievo; colore; città; disegno,http://hdl.handle.net/11311/664549,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Trascrizioni,-,ita,ITA,1,Artegrafica,"AMORUSO, GIUSEPPE",Trascrivere le armonie dei luoghi: la rappresentazione del colore
-,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,digital heritage; 3D data capture; virtual reality; image-based gis,http://hdl.handle.net/11311/664551,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Domes in the world,-,eng,ITA,2,Nardini Editore,"AMORUSO, GIUSEPPE;GALLONI, LAURA",Interactive Environments in Cultural Heritage. Interiors and construction of San Francesco church in Bologna
Napoli,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,Ambiente; Comunicazione; Semiotica; Wayfinding; Orientamento,http://hdl.handle.net/11311/664552,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Comunicazione e Ambiente,-,ita,-,1,"Università degli studi di Napoli ""L'Orientale""","ZINGALE, SALVATORE",Perdersi e ritrovarsi. I segni dell'ambiente e i segni per l'ambiente: riflessioni di semiotica progettuale
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/664559,2004,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Fenomenologia e teoria della conoscenza,-,ita,-,1,Bompiani,"VOLONTE', PAOLO GAETANO",Introduzione. La fenomenologia tra psicologia e critica della ragione
Milano,Comitato scientifico,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/664560,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Moda e arte,-,ita,-,2,FrancoAngeli,"PEDRONI, MARCO LUCA;VOLONTE', PAOLO GAETANO","Oggetti, pratiche e istituzioni di due campi sociali correlati"
Milano,Comitato scientifico,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/664561,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Moda e arte,-,ita,-,1,FrancoAngeli,"VOLONTE', PAOLO GAETANO",Il modello dell'artista
-,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/664566,1996,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Gioielli in Italia. Temi e problemi del gioiello italiano dal XIX al XX secolo,-,ita,-,1,Associazione orafa Valenzana; Marsilio,"TONELLI, MARIA CRISTINA",Il gioiello italiano fra progetto e mercato
-,Nessuno,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/664824,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Progettare un gioco non è un gioco!,-,ita,ITA,1,Maggioli Editore,"ZURLO, FRANCESCO",Il gioco rende autenticamente umani
-,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/664851,2010,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Gli Spazi e le Arti,-,ita,-,1,Istituto dell'Enciclopedia Italiana Giovanni Treccani,"ZURLO, FRANCESCO",Design Strategico
-,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/664864,2004,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Medesign_Forme del Mediterraneo,-,ita,ITA,2,ALINEA EDITRICE,"ZURLO, FRANCESCO;VIGNATI, ARIANNA",Riflettere Mantova: strumenti del design per valorizzare l'identità di una città
-,Nessuno,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/664950,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Design Research: Between Scientific Method and Project Practice,-,eng,-,1,Franco Angeli,"VILLARI, BEATRICE",Action Research and Design Research: Theory and Practice
-,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/664987,1993,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Se dici Design...16 tesi di disegno industriale a Firenze,-,ita,-,1,Ponte alle Grazie editori,"TONELLI, MARIA CRISTINA",La Scuola di disegno industriale di Firenze: corsi e ricorsi di una didattica
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665035,1999,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Munari. 107 testimonianze + 152 inediti di Bruno Munari,-,ita,-,1,Editrice Abitare,"TONELLI, MARIA CRISTINA",Zizì
Parma,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665106,1981,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Stile Industria: Alberto Rosselli,-,-,-,1,"Università di Parma, Comune di Parma - Assessorato alla cultura","TONELLI, MARIA CRISTINA",Testimonianze su Alberto Rosselli
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665112,1982,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Mobili Italiani degli anni Trenta,-,ita,-,1,Galleria del Milione,"TONELLI, MARIA CRISTINA",L'evoluzione del gusto attraverso le Triennali: dall'oggetto d'eccezione alla proposta seriale
Firenze,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665120,1980,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Artisti e cultura visiva del Novecento,-,ita,-,1,S.P.E.S. Studio Per Edizioni Scelte,"TONELLI, MARIA CRISTINA",Artista e artiere
-,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665122,1980,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Artisti e cultura visiva del Novecento,-,ita,-,1,S.P.E.S. Studio Per Edizioni Scelte,"TONELLI, MARIA CRISTINA",Dai ricorsi neoclassici alle sigle decorative
-,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665124,1980,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Artisti e cultura visiva del Novecento,-,ita,-,1,-,"TONELLI, MARIA CRISTINA",Fra nuovo e antico
Firenze,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665130,1980,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Artisti e cultura visiva del Novecento,-,ita,-,1,S.P.E.S. Studio Per Edizioni Scelte,"TONELLI, MARIA CRISTINA",Il folclorismo
Firenze,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665145,1980,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Artisti e cultura visiva del Novecento,-,ita,-,1,S.P.E.S. Studio Per Edizioni Scelte,"TONELLI, MARIA CRISTINA",Le arti a Monza
Firenze,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665148,1980,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Artisti e cultura visiva del Novecento,-,ita,-,1,S.P.E.S. Studio Per Edizioni Scelte,"TONELLI, MARIA CRISTINA",La pittura decorativa e l'affresco
Firenze,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665152,1980,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Testimonianze neomedievali a Firenze,-,ita,-,1,-,"TONELLI, MARIA CRISTINA",Ricorsi medievali nell'architettura fiorentina dell'Ottocento
Firenze,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665157,1977,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Mino Maccari,-,ita,-,1,S.P.E.S. Studio Per Edizioni Scelte,"TONELLI, MARIA CRISTINA","Il Selvaggio, Piacentini e i razionalisti"
Firenze,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665160,1986,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,L'edificio della Biblioteca Nazionale Centrale di Firenze,-,ita,-,1,Karta,"TONELLI, MARIA CRISTINA",Gli arredi
-,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665162,1987,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,quando la radio parlava,-,ita,-,1,-,"TONELLI, MARIA CRISTINA",Il mobile radio: citazioni stilistiche e nuove progettazioni
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665166,1990,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Arti decorative e applicate del XX secolo,-,ita;eng,-,1,Edizioni Lybra Immagine,"TONELLI, MARIA CRISTINA",I materiali sintetici ed autarchici
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665179,1990,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Storia del disegno industriale 1851-1918. Il grande emporio del mondo,-,ita,ITA,1,ELECTA,"TONELLI, MARIA CRISTINA",Bicicletta
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665181,1990,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Storia del disegno industriale 1851-1918. Il grande emporio del mondo,-,ita,ITA,1,ELECTA,"TONELLI, MARIA CRISTINA",Ferrovie
Madrid,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665273,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,CRITERIOS DE INTERVENCION EN EL PATRIMONIO ARQUITECTONICO DEL SIGLO XX,-,eng;spa,ESP,1,"Ministerio de Cultura, Secretària General Técnica","IRACE, FULVIO",Preserving heritage as living memory
Riva del garda,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665279,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Riva del Garda. La nuova Città dell’Accoglienza.,-,ita,ITA,1,2011 Comune di Riva del Garda - Azienda Pubblica di Servizi alla Persona “Città di Riva”,"IRACE, FULVIO",La nuova città dell'accoglienza di Riva del Gardfa. Il concorso come strumento di rinnovamento urbano.
MAdrid,Nessuno,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665282,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Emilio Ambasz. Invenciones: Arquitectura y Diseño,-,spa,ESP,1,Museo Reina Sofía,"IRACE, FULVIO",Esopo Argentino
Firenze,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665443,1992,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Quaderno n. 1 della Scuola di Specializzazione in Disegno Industriale di Firenze,-,-,ITA,1,Università degli Studi di Firenze,"TONELLI, MARIA CRISTINA",L' evoluzione tipologica dello spazio cucina
Firenze,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665455,1998,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Grafia e gioielli. Tutti e due raccontano,-,ita,ITA,1,Le Lettere,"TONELLI, MARIA CRISTINA",I gioielli. La Nouvelle Bague
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/665968,2009,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Il Sistema Design Italia per la valorizzazione dei   beni culturali,-,ita,-,1,Polidesign,"TONELLI, MARIA CRISTINA","Il bene artistico, un valore con possibilità strategiche in e per ogni tempo"
-,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/666013,2005,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Castello d’Acquabella. “Il tempo sospeso”,-,ita;eng,-,1,Acquabella S.r.L. per Acquabella Project,"TONELLI, MARIA CRISTINA",Di qua e di là dal “mare”
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/666014,2001,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,The italian way,-,eng;ita,-,1,Ed. Modo,"TONELLI, MARIA CRISTINA",All'origine di una storia
Firenze,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/666016,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,La Facoltà di Architettura di Firenze fra tradizione e cambiamento,-,ita,-,1,Firenze University Press,"TONELLI, MARIA CRISTINA",La scuola di design fiorentina
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/666017,2004,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,La cultura del progetto nella valorizzazione del bene culturale,-,ita,-,1,Polidesign,"TONELLI, MARIA CRISTINA",Valorizzare l'identità culturale. Come e perché
Firenze,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/666018,2004,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Made in Tuscany. Concorso di Furniture Design 2004,-,ita,-,1,Regione Toscana,"TONELLI, MARIA CRISTINA",Made in Tuscany-Made in Europe
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/666019,2003,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Maestri. Design italiano. Collezione Permanente Triennale di Milano,-,ita,-,1,La Triennale di Milano,"TONELLI, MARIA CRISTINA",Joe Colombo
Firenze,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/666020,2003,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Made in Tuscany. Concorso di Furniture Design,-,ita,-,1,Regione Toscana,"TONELLI, MARIA CRISTINA",Non solo Chianti
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/666261,2002,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,I territori del design,-,ita,ITA,2,il sole 24 ore,"SIMONELLI, GIULIANO;SANGIORGI, DANIELA",Sistema Design Milano: un polo regionale dell'innovazione di design
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/666264,2002,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,I territori del design,-,ita,ITA,3,Il sole 24 ore,"CELASCHI, FLAVIANO;COLLINA, LUISA MARIA VIRGINIA;SIMONELLI, GIULIANO",Design e i distretti: l'esperienza DxD
-,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/666372,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Catalogo della Mostra,-,ita,-,1,Mondadori Electa,"DELL'ACQUA BELLAVITIS, ARTURO","""O Clock, time design, design time"""
-,-,-,-,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/666646,2009,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Triennale design Museum II edizione,-,ita,ITA,1,-,"DELL'ACQUA BELLAVITIS, ARTURO",Serie e Fuori Serie
-,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/666656,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Percorrere una nuova strada in A. Alessi,-,ita,-,1,Mondadori Electa,"DELL'ACQUA BELLAVITIS, ARTURO",Le fabbriche dei sogni - Dream Factori
-,-,-,-,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/666680,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,"Minimo e sotenibile, la citta ha raggiunto la montagna umanesimo",-,ita,-,1,Skira,"DELL'ACQUA BELLAVITIS, ARTURO",Allestimento e Architettura d'interni
Torino,Comitato scientifico,STAMPA,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,Key words: theory; practice; experience; context verbal; visual.,http://hdl.handle.net/11311/666816,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,"Innovation in design education. Theory, research and processes to and from a latin perspective",-,eng,-,1,Umberto Allemandi&C,"PENATI, ANTONELLA VALERIA",Research for design education: some topics
Milano,-,-,none,02.1 Contributo in Volume,-,-,Design della Comunicazione; Brand; valore,http://hdl.handle.net/11311/666911,2008,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Valore all'impresa. Modelli ed esperienze a confronto per lo sviluppo e l'innovazione in azienda,-,ita,ITA,1,ANGELO GUERINI E ASSOCIATI SPA,"CIUCCARELLI, PAOLO",Design della Comunicazione e PMI
Milano,-,-,none,02.1 Contributo in Volume,-,-,Architettura italiana; Boschi; Scrittura,http://hdl.handle.net/11311/666912,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Ri-scritture,-,eng;ita,ITA,1,Electa,"FINESSI, GIUSEPPE",20/13
