dc.publisher.place,dc.type.referee,dc.relation.medium,item.openaireRights,item.collection,dc.subject.keywordsita,item.journal.title,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.relation.conferenceplace,dc.type.full,dc.type.circulation,dc.relation.ispartofbook,dc.relation.conferencename,dc.language.iso,dc.publisher.country,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.title
-,-,-,none,02.1 Contributo in Volume,-,-,visual animation; hipertext; rebus; play; metalinguistic dimension,http://hdl.handle.net/11311/636664,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,MuVi3 Video and moving image on synaesthesia and visual music,-,eng,-,1,Fundacion Internacional Artecittà,"CARATTI, ELENA",Playin'Rebus
-,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/637392,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Design for innovative communities,-,eng,-,1,Maggioli,"REBAGLIO, AGNESE","Spaces for innovative communities, between immanence and pre-figuring."
Milano,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/637737,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Altre figure,-,ita,ITA,1,Franco Angeli,"BAULE, GIOVANNI","Figure di PERIGRAFIA. Sul designer di cornici, autori di forme dell'accesso"
-,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/638126,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Design for services,-,eng,GBR,3,Gower Publishing,"PILLAN, MARGHERITA;G. Ferri;C. Cipolla","Mobile and collaborative. Mobile phones, digital services and sociocultural activation"
Napoli,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,oggetto; oggettore; ready made; riuso; object trouvé; nouveau réalisme; arte ambientale,http://hdl.handle.net/11311/639707,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,"L’oggetto nell’arte contemporanea. Uso e riuso,",-,ita,ITA,1,Liguori,"MAZZANTI, ANNA",Daniel Spoerri e la seconda Symi: dalla città alla campagna e ritorno. Motivi di riflessione attorno all’oggetto nell’arte contemporanea
Venezia,Nessuno,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,simbolismo; mito; allegoria; ideismo; idealismo; sogno; poesia; sentimento; paesaggio; arte decorativa,http://hdl.handle.net/11311/639710,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Il Simbolismo in Italia,-,ita,ITA,1,Marsilio,"MAZZANTI, ANNA","“Il Verismo ci ha stancati”. Le aspirazioni dell’anima simbolista attraverso il dibattito teorico e Mario de Maria Luna. Tavole di osteria ai Prati di Castello, Mario de Maria Rosso di sera bel tempo si spera, Ettore Tito, Amore e le Parche"
Milano,Nessuno,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/639915,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Carlo Valsecchi Fotografie. Architetture Caruso Torricella,-,eng;ita,ITA,1,Electa,"IRACE, FULVIO",Pas de deux
Milano,-,-,none,02.1 Contributo in Volume,-,-,moda; fashion design; interior design; design degli interni; hotel; ospitalità; crossfertilization; design hotel,http://hdl.handle.net/11311/640308,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,La Moda e il Design. Il trasferimento di conoscenza a servizio dell'innovazione,-,ita,ITA,2,edizioni POLI.design,"SCULLICA, FRANCESCO;G. Cervetta",Fashion Design vs design dei servizi: i nuovi spazi dell'ospitalità
Milano,-,-,none,02.1 Contributo in Volume,-,-,Bulgari; Bulgari hotel; design hotel; Studio Antonio Citterio; interior design; design degli interni,http://hdl.handle.net/11311/640309,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,La Moda e il Design. Il trasferimento di conoscenza a servizio dell'innovazione,-,ita,ITA,2,Edizioni POLI.design,"SCULLICA, FRANCESCO;G. Cervetta","Il Bulgari hotel, caso studio di integrazione fra design, moda, servizi"
Milano,-,-,none,02.1 Contributo in Volume,-,-,moda; design degli interni; interior design,http://hdl.handle.net/11311/640310,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,La Moda e il Design. Il trasferimento di conoscenza a servizio dell'innovazione,-,ita,ITA,2,POLI.design,"SCULLICA, FRANCESCO;G. Cervetta","C.P. Company, nuove forme di ospitalità"
Padova,-,-,none,02.1 Contributo in Volume,-,-,riuso; alberghi; hotel; interior design,http://hdl.handle.net/11311/640311,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Gli interni nel progetto sull'esistente,-,ita,ITA,1,Il Poligrafo,"SCULLICA, FRANCESCO",Interni per l'Ospitalità: il confronto con il patrimonio edilizio diffuso
Firenze,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,nature models; light domes; symmetries,http://hdl.handle.net/11311/641125,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Domes in the world,-,eng,ITA,1,Nardini Editore,"ROSSI, MICHELA",The Fuller’s heritage: organic models and artificialmicrocosm in XX century domes.
Firenze,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,integrated architectural and urban survey; three-dimensional graphic rendering; historical iconographic research,http://hdl.handle.net/11311/641126,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Domes in the world,-,eng,ITA,6,Nardini Editore,"Paolo Giandebiaggi;Andrea Ghiretti;Maria Evelina Melley;Daniela Paltrinieri;ROSSI, MICHELA;Chiara Vernizzi",Santa Maria del Quartiere in Parma:Building Survey.
Santarcangelo di Romagna,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,Tempo; artigianato; design,http://hdl.handle.net/11311/641334,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Intenzioni creative. Creative Ways,-,eng;ita,-,1,Maggioli Editore,"PIARDI, SILVIA ELVIRA MARIA","Trentino - Politecnico. Una proficua collaborazione tra Istituzioni, Imprese e Università. Trentino - Politecnico. A fruitful collaboration between Institutions, Companies and Universities"
-,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/641746,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Comunicazione a misura d'uomo,-,ita,-,1,Franco Angeli,"PILLAN, MARGHERITA",A misura d'uomo. Esperienze di design antropocentrico per la comunicazione.
-,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/641747,2010,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Design no stop,-,ita,-,1,Libreria Clup,"PILLAN, MARGHERITA",Design come forma di ribellione.
-,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/641748,2010,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Design no stop,-,ita,-,1,Libreria Clup,"PILLAN, MARGHERITA",La ricerca di design e l'innovazione critica
Roma,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,arte ambientale; arte ambientata; scultura; astrazione; realismo,http://hdl.handle.net/11311/641931,2006,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Io Arte – Noi Città. Natura e Cultura dello Spazio Urbano,-,ita,-,1,Gangiemi,"MAZZANTI, ANNA",Parchi d’arte e paesaggio urbano: un bilancio fra integrazione e relazioni mancate
Firenze,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,arte ambientale; arte ambientata; scultura; installazione,http://hdl.handle.net/11311/641932,2006,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,contemporaneità in Toscana,-,ita,ITA,1,Centro Di,"MAZZANTI, ANNA",Sentieri nell’arte. Il contemporaneo nel paesaggio toscano. Un volume-guida che attraversa itinerari e riflessioni
Cinisello Balsamo,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,storicismo; verismo; simbolismo; scultura funebre; macchiaioli; fotografia,http://hdl.handle.net/11311/642125,2006,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Arte in Maremma nella prima metà del Novecento,-,ita,ITA,1,Silvana,"MAZZANTI, ANNA",Le arti figurative fra la fine dell’Ottocento e la Grande Guerra
Firenze,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,sintetismo; ideismo; idealismo; arte primitiva; teosofia; giapponismo,http://hdl.handle.net/11311/642127,2008,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Gauguin e la Scuola di Pont-Aven,-,fra,ITA,1,E-ducation,"MAZZANTI, ANNA",En voyage vers le XX siècle
milano,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,design della comunicazione; digitale; intermedialità; etiche della comunicazione,http://hdl.handle.net/11311/642128,2007,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Culture visive,-,ita,ITA,1,polidesign Edizioni,"BAULE, GIOVANNI",Lessicoper un dizionario di base del design della comunicazione
Mantova,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/642325,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Adi Index 2011,-,eng;ita,ITA,1,Corraini,"MAFFEI, STEFANO",L'emergere del designer-impresa
Rimini,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/642327,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Intenzioni creative. Design e artigianato per il Trentino,-,ita,ITA,1,Maggioli,"MAFFEI, STEFANO","Artigiano oggi. Comprendere i processi innovativi contemporanei tra design, nuove forme di progetto e creatività e evoluzione dei modelli di produzione"
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/642337,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,"Design, territorio e sostenibilità/Valorizzazione dell'agro-alimentare ragusano",-,ita,ITA,1,Franco Angeli,"MAFFEI, STEFANO",E’ l’ economia politica baby… Alcune domande per Carlo Petrini (e il movimento SLOW)
