dc.publisher.place,dc.relation.medium,item.openaireRights,item.collection,dc.subject.keywordsita,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.relation.conferenceplace,dc.type.full,dc.type.circulation,dc.relation.ispartofbook,dc.relation.conferencename,dc.language.iso,dc.publisher.country,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.title
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/693267,2012,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,4,-,"RIZZO, FRANCESCA;S. Oliva;COSTA, FIAMMETTA CARLA ENRICA;e.t. alii",Use cases and requirements list
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/693286,2011,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,3,-,"CONCILIO, GRAZIA;RIZZO, FRANCESCA;e.t. alii",Smart Citizens community directory. Deliverable 3.1.1 Progetto europeo Peripheria
-,-,none,07.12 Altro,-,Service Design,http://hdl.handle.net/11311/693292,2011,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,2,-,"MERONI, ANNA;FERRI, GIORDANA",Sociable Housing
Firenze,-,none,07.12 Altro,-,tardoromanticismo di fine XIX sec; futurismo; ritorno all'ordine figurativo,http://hdl.handle.net/11311/693515,2000,-,07 ALTRO::07.12 Altro,nazionale,-,-,ita,-,1,Edizioni Pananti,"MAZZANTI, ANNA",Lionello Balestrieri e le esposizioni
Santangelo di Romagna,-,none,07.12 Altro,-,arte ambientata; arte ambientale; scultura in spazi aperti,http://hdl.handle.net/11311/693554,2000,-,07 ALTRO::07.12 Altro,internazionale,-,-,ita,ITA,1,Maggioli,"MAZZANTI, ANNA",“Sentieri nell’arte”. Arte ambientale in Toscana
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/693936,2012,-,07 ALTRO::07.12 Altro,-,-,-,-,-,3,-,"CONCILIO, GRAZIA;RIZZO, FRANCESCA;e.t. alii","Deliverable 5.2.1 Progetto Peripheria.
 Pilots scenarios (initial version)"
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/693937,2012,-,07 ALTRO::07.12 Altro,-,-,-,-,-,3,-,"CONCILIO, GRAZIA;RIZZO, FRANCESCA;e.t. alii",D 3.2.1 Training and learning report (initial version). Deliverable progetto europeo Peripheria
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,Games; Percepion; Illusions; Orientation; Procedural Rehtoric,http://hdl.handle.net/11311/762464,2012,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,3,-,"RIGHI RIVA, PIETRO;VITALI, ANNAMARIA ANDREA;PILLAN, MARGHERITA",Exotic orientation systems as gameplay devices
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/786328,2013,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,3,-,"BERIA, PAOLO;GRIMALDI, RAFFAELE;PONTI, MARCO GUIDO",Chi paga i costi del traffico
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/786329,2013,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,2,-,"BERIA, PAOLO;PONTI, MARCO GUIDO",Quando l’analisi economica dice sempre di sì
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/824334,2013,-,07 ALTRO::07.12 Altro,-,-,-,-,-,1,-,"NEBULONI, ATTILIO",Complessità e Sostenibilità nel Progetto - 5/2013 gennaio-febbraio 2013
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/824335,2013,-,07 ALTRO::07.12 Altro,-,-,-,-,-,1,-,"NEBULONI, ATTILIO",Complessità e Sostenibilità nel Progetto - 6/2013 aprile-giugno 2013
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/824336,2013,-,07 ALTRO::07.12 Altro,-,-,-,-,-,1,-,"NEBULONI, ATTILIO",Complessità e Sostenibilità nel Progetto - 7/2013 luglio-settembre 2013
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/824337,2013,-,07 ALTRO::07.12 Altro,-,-,-,-,-,1,-,"NEBULONI, ATTILIO",Complessità e Sostenibilità nel Progetto - 8/2013 ottobre-dicembre 2013
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/825730,2012,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,2,-,"COLOMBI, CHIARA;TOLINO, UMBERTO",Atelier 2.0. How Web 2.0 enables new creative models to innovate in fashion
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/827539,2013,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,1,-,"SCULLICA, FRANCESCO",WOW! Jelly Session #6
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/827925,2013,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,1,-,"DELL'ACQUA BELLAVITIS, ARTURO","Manifattura di Domodossola, una storia italiana"
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/827926,2013,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,1,-,"DELL'ACQUA BELLAVITIS, ARTURO",Home Intertextile Mood
-,-,none,07.12 Altro,-,-,http://hdl.handle.net/11311/837725,2013,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,13,-,"B. Pesenti;C. Macchia;C. Bruni;FIGIANI, MAURIZIO;F. Lovato;D. Marinoni;F. Monfrini;D. Ramenghi;P. A. Reguzzoni;E. Sgaramella;G. Spedo;P. Zambianchi;G. Zappa",Migliorare l’offerta formativa in materia di salute e sicurezza nelle costruzioni - definizione proposta regionale di “linee guida”
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/862001,2013,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,3,-,"MERONI, ANNA;FASSI, DAVIDE;SIMEONE, GIULIA",Design for Social Innovation as a form of Design Activism: An action format
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,service design; social innovation,http://hdl.handle.net/11311/862939,2013,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,2,-,"CANTU', DARIA;SELLONI, DANIELA",From engaging to empowering people: a set of co-design experiments with a service design perspective.
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,service design; social innovatin; Empowerment; citizenship,http://hdl.handle.net/11311/862942,2013,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,1,-,"SELLONI, DANIELA",The experience of Creative Citizens
-,-,info:eu-repo/semantics/openAccess,07.12 Altro,-,"sharing economy, service design, servizi collaborativi.",http://hdl.handle.net/11311/971202,2014,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,1,-,"SELLONI, DANIELA",Design dei servizi collaborativi
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,"Etica, progettualità, Design Thinking",http://hdl.handle.net/11311/988152,2015,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,1,-,"BOSONI, GIAMPIERO",Etica e progettualità
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,"Architettura, Open City, Summer School",http://hdl.handle.net/11311/988153,2015,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,1,-,"BOSONI, GIAMPIERO",Bakground week 3  day 3
-,-,none,07.12 Altro,-,#servicedesign #socialinnovation #civicactivism #sharingeconomy,http://hdl.handle.net/11311/989384,2015,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,1,-,"SELLONI, DANIELA","Hacking Public Services: come riprogettare i servizi pubblici, con i cittadini."
-,-,info:eu-repo/semantics/openAccess,07.12 Altro,-,#designforsocialinnovation #culturadelprogetto #designthinking,http://hdl.handle.net/11311/989391,2015,-,07 ALTRO::07.12 Altro,nazionale,-,-,-,-,1,-,"SELLONI, DANIELA",Ezio Manzini: design per l’innovazione sociale.
-,-,none,07.12 Altro,-,#designforsocialinnovation #sharingeconomy #designthinking,http://hdl.handle.net/11311/989392,2015,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,1,-,"SELLONI, DANIELA",Interviewed: Ezio Manzini on Design When Everybody Designs.
-,STAMPA,info:eu-repo/semantics/closedAccess,07.13 Progetti,"Zone Aride, Cultura Materiale, Risorse Idriche, Desertificazione, Design, Water Footprint.",-,http://hdl.handle.net/11311/1018896,2015,Milano,07 ALTRO::07.13 Progetti,-,-,Class Expo Pavilion Heritage Awards,eng;ita,-,2,Class Editori e Laureate International Universities,"COLLINA, LUISA MARIA VIRGINIA;CAMOCINI, BARBARA",Miglior Cluster Zone Aride. Agricoltura e Nutrizione.
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/1018993,2015,-,07 ALTRO::07.13 Progetti,-,-,-,ita,-,1,-,"DE LUCCHI, MICHELE",Padiglione Zero per Expo2015
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/1019017,2015,Milano,07 ALTRO::07.13 Progetti,-,-,Concorso nazionale E3W,ita,-,1,UniCredit Business Integrated Solutions Scpa,"DE LUCCHI, MICHELE",Unicredit Pavillion
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/1019021,2016,-,07 ALTRO::07.13 Progetti,-,-,-,ita,-,1,-,"DE LUCCHI, MICHELE","Centro Commerciale ""il Centro"" - Arese"
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/1019025,2015,-,07 ALTRO::07.13 Progetti,-,-,-,ita,-,1,-,"DE LUCCHI, MICHELE",Casa del Manzoni - Milano
-,ELETTRONICO,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/1019062,2012,Londra,07 ALTRO::07.13 Progetti,-,-,Kantar Information is Beautiful Awards,eng;ita,-,1,Kantar,"MAURI, MICHELE",Cover mania
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/1019069,2009,New York,07 ALTRO::07.13 Progetti,-,-,R/GA Mobile Music Challenge,eng,-,4,R/GA,"MAURI, MICHELE;Desiato, Andrea;Paolo, Dusi;Napoli, Mauro",Freesbe: Free sound diffusion
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/1019071,2016,Londra,07 ALTRO::07.13 Progetti,-,-,Kantar Information is Beautiful Awards,eng,-,2,Kantar,"PELLEGRINI, VALERIO;MAURI, MICHELE",The Missing Migrants Map
-,-,info:eu-repo/semantics/openAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/1019072,2014,Londra,07 ALTRO::07.13 Progetti,-,-,Kantar,eng,-,5,Kantar Information is Beautiful Awards,"DensityDesign Research Lab;CAVIGLIA, GIORGIO;MAURI, MICHELE;UBOLDI, GIORGIO ROBERTO;AZZI, MATTEO",RAW
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/1041126,2016,Milano,07 ALTRO::07.13 Progetti,-,-,ADI Design Index 2016,eng;ita,-,2,ADI Associazione per il Disegno Industriale,"A. Dominoni;QUAQUARO, BENEDETTO",Treni Leonardo per ATM Milano - ADI Design Index 2016
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,"treni leonardo, atm, transportation design",http://hdl.handle.net/11311/1041134,2016,Milano,07 ALTRO::07.13 Progetti,-,-,Eccellenze della Lombardia,ita,-,2,Regione Lombardia,A. Dominoni;B. Quaquaro,Treni Leonardo per ATM Milano - Premio Eccellenze della Lombardia 2016
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/1041173,2017,Milano,07 ALTRO::07.13 Progetti,-,-,ADI Design Index 2017,eng;ita,-,1,ADI Associazione per il Disegno Industriale,A. Dominoni,Couture in Orbit - ADI Design Index 2017
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/1041174,2017,Milano,07 ALTRO::07.13 Progetti,-,-,Eccellenze della Lombardia,ita,-,1,Regione Lombardia,A. Dominoni,Couture in Orbit - Premio Eccellenze della Lombardia 2017
-,STAMPA,info:eu-repo/semantics/closedAccess,07.13 Progetti,inclusione sociale,NEET,http://hdl.handle.net/11311/1065023,2014,Milano,07 ALTRO::07.13 Progetti,-,-,XXV Compasso d'Oro,ita,-,4,ADI - Associazione per il Disegno Industriale,"Davide Fassi;Francesca Piredda;PERONDI, ELENA;Pierluigi Salvadeo",CampUS. Incubazione e messa in scena di pratiche sociali
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,Identità visiva; segnaletica informativa e di orientamento; sito web,http://hdl.handle.net/11311/550298,2008,Taranto,07 ALTRO::07.13 Progetti,-,-,ad invito,ita,-,5,"Impresa Garibaldi srl, Bari","GUIDA, FRANCESCO ERMANNO;Carla De Luca;Giovanni Dema;Nicola Scotto di Carlo;Jaana Zammer",Progettazione della comunicazione visiva e degli apparati comunicativi per il Museo Nazionale Archeologico di Taranto
-,-,none,07.13 Progetti,-,Media; news; city; cartography; mapping; communication design; urban space,http://hdl.handle.net/11311/563693,2009,"New Orleans, Louisiana, USA",07 ALTRO::07.13 Progetti,-,-,Emerging Technologies,eng,-,7,SIGGRAPH 2009,"QUAGGIOTTO, MARCO;CAVIGLIA, GIORGIO;GRAFFIETI, MICHELE;S. Granados Lopez;D. Guido;RICCI, DONATO;SCAGNETTI, GAIA",Citymurmur
-,-,none,07.13 Progetti,-,Design Research; Maps; Academic Design Research,http://hdl.handle.net/11311/564313,2009,Milano,07 ALTRO::07.13 Progetti,-,-,ADI INDEX 2000 - Compasso d'Oro,ita;eng,-,4,ADI - Associazione per l Disegno Industriale,"BERTOLA, PAOLA;MAFFEI, STEFANO;BIANCHINI, MASSIMO;VILLARI, BEATRICE",DRM - Design Research Maps
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/583357,2010,Italia,07 ALTRO::07.13 Progetti,-,-,Italia degli Innovatori,eng;ita;chi,-,3,Ministero per l'Innovazione e la Pubblica Amministrazione,"PICCINNO, GIOVANNA;LEGA, ELISA;FASSI, DAVIDE",100 virtuous cities
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/583358,2010,Roma,07 ALTRO::07.13 Progetti,-,-,Premio Compasso d'Oro,eng;ita,-,3,ADI Associazione per il Disegno Industriale,"PICCINNO, GIOVANNA;LEGA, ELISA;FASSI, DAVIDE",100 virtuous cities
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/634267,2011,Milano,07 ALTRO::07.13 Progetti,-,-,La ricerca e la mostra sono state selezionate da Fondazione Cariplo per il suo finannziamento,ita,-,3,La mostra è stata patrocinata dagli Istituti del Castello Sforzesco e finanziata dalla Fondazione CARIPLO,"G. Botti;CORDERA, PAOLA;RICCI, GIULIANA","Per l'Esposizione, mi raccomando...! Milano e l’Esposizione internazionale del Sempione del 1906 nei documenti del Castello Sforzesco"
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/638720,2005,Venezia,07 ALTRO::07.13 Progetti,-,-,"Concorso internazionale di progettazione ""Manica Lunga, Nuova Biblioteca""",ita;eng,-,1,Fondazione Giorgio Cini Onlus,"DE LUCCHI, MICHELE",Biblioteca di Storia dell'Arte e restauro della Manica Lunga
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/638724,2003,Berlino,07 ALTRO::07.13 Progetti,-,-,Concorso per gli interni del Museo Egizio e Museum Preistorico,ger,-,1,Stiftung Preussischer Kulturbesitz rappresentato da Bundesamt für Bauwesen und Raumordnung (BBR)  Projekteferat Museumsinsel,"DE LUCCHI, MICHELE",Allestimento degli interni e grafica del Neues Museum Berlino
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,product design,http://hdl.handle.net/11311/640515,2010,Roma,07 ALTRO::07.13 Progetti,-,-,Premio Nazionale per l’Innovazione,ita,-,1,Governo Italiano,"DE LUCCHI, MICHELE",Parquet Medoc
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/640516,2009,-,07 ALTRO::07.13 Progetti,-,-,-,ita,-,1,-,"DE LUCCHI, MICHELE","Il Ponte della Pace, Tbilisi (Georgia)"
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/640518,1989,Milano,07 ALTRO::07.13 Progetti,-,-,Compasso d'Oro,ita;eng,-,1,ADI - Associazione per il Disegno Industriale,"DE LUCCHI, MICHELE",Lampada Tolomeo
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/640519,2001,Milano,07 ALTRO::07.13 Progetti,-,-,Compasso d'Oro,ita;eng,-,1,ADI - Associazione per il Disegno Industriale,"DE LUCCHI, MICHELE",Stampante Ink Jet Artjet 10 (XP 30)
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/640520,2008,Milano,07 ALTRO::07.13 Progetti,-,-,Il Ponte,ita,-,1,Fondazione Europea Guido Venosta,"DE LUCCHI, MICHELE",Ponte di accesso al Triennale Design Museum
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/640521,2011,Milano,07 ALTRO::07.13 Progetti,-,-,US-Award,ita,-,1,US-Ufficiostile,"DE LUCCHI, MICHELE",Uffici del Triennale Design Museum
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/641342,2011,Milano,07 ALTRO::07.13 Progetti,-,-,US-Award,ita,-,1,US-Ufficiostile,"DE LUCCHI, MICHELE",Filiali Superflash Intesa Sanpaolo
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,design; ufficio,http://hdl.handle.net/11311/645335,2005,Hannover,07 ALTRO::07.13 Progetti,-,-,iF Product Design Award,deu,-,1,iF International Forum Design,"DE LUCCHI, MICHELE",Sistema per ufficio MDL
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,Illuminotecnica; Illuminazione Opere d'Arte; Edward Hopper,http://hdl.handle.net/11311/662288,2010,Roma,07 ALTRO::07.13 Progetti,-,-,di idee,ita,-,1,Fondazione Roma,"MURANO, FRANCESCO",Il progetto illuminotecnico per la Mostra di Hopper a Roma
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/664578,2006,Milano,07 ALTRO::07.13 Progetti,-,-,European Logo Design Award 2006 (EULDA 06),eng;ita,-,1,"Eulda Books, Cacao Design,","GUIDA, FRANCESCO ERMANNO",European Logo Design Award (EULDA 06)
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/664580,2006,USA,07 ALTRO::07.13 Progetti,-,-,47° Annual di Graphic Design,eng,-,1,Communication Arts Magazine,"GUIDA, FRANCESCO ERMANNO",Award of Excellence «Communication Arts» (Usa)
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/664582,2004,Carpi - Modena,07 ALTRO::07.13 Progetti,-,-,Sistema di identità visiva di Palazzo dei Pio a Carpi,ita,-,1,Comune di Carpi. Assessorato alla cultura,"GUIDA, FRANCESCO ERMANNO",Sistema di identità visiva di Palazzo dei Pio a Carpi
-,-,none,07.13 Progetti,-,Marketing territoriale; Valorizzazione del capitale territoriale; Turismo; Comunicazione,http://hdl.handle.net/11311/665878,2004,Oltrepò Mantovano,07 ALTRO::07.13 Progetti,-,-,"Contratto di ricerca per la ""Definizione e attuazione di un Piano di marketing territoriale per l’area dell’Oltrepò Mantovano""",ita,-,7,Camera di Commercio Industria Artigianato e Agricoltura di Mantova,"SCHIAFFONATI, FABRIZIO;STEVAN, CESARE ANTONIO;MUSSINELLI, ELENA GERMANA;CASONI, GIORGIO;CELASCHI, FLAVIANO;FANZINI, DANIELE;TROCCHIANESI, RAFFAELLA",Piano di marketing territoriale per l’area dell’Oltrepò Mantovano
-,-,none,07.13 Progetti,-,Contratto di quartiere; Edilizia residenziale pubblica; Sistemi di qualità,http://hdl.handle.net/11311/665920,2002,Piacenza,07 ALTRO::07.13 Progetti,-,-,"Contratto di ricerca per ""Contratto di quartiere San Giuseppe Baia del Re di Piacenza. Il controllo di qualità e la flessibilità nel progetto di riqualificazione""",ita,-,13,Comune di Piacenza,"SCHIAFFONATI, FABRIZIO;SCOCCIMARRO, ANTONIO;FANZINI, DANIELE;BIANCHI, CRISTINA;CAVALLERI, ANNA;COLLINA, LUISA MARIA VIRGINIA;M. Corò;DAGLIO, LAURA;FANTINI, ADRIANA;GINELLI, ELISABETTA;MUSSINELLI, ELENA GERMANA;M. Sancito;VITOLA, FRANCESCO",Contratto di quartiere San Giuseppe Baia del Re di Piacenza. Il controllo di qualità e la flessibilità nel progetto di riqualificazione
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/667212,2011,Milano,07 ALTRO::07.13 Progetti,-,-,europeo,ita,-,14,"Assimpredil Ance , Federlegnoarredo , INARCH Lombardia , Ordine degli architetti pianificatori paesaggisti e conservatori della provincia di Milano , Comune di Milano","BELLINI, OSCAR EUGENIO;SCOCCIMARRO, ANTONIO;DAGLIO, LAURA;DALL'O', GIULIANO;SARTO, LUCA;SANNA, NICOLA;E. Pili;A. Morettini;S. Lugano;DLC s. r. l.;COLLINA, LUISA MARIA VIRGINIA;GEROSA, GIULIA MARIA;T. Belletti;P. Catena",Housing Contest - Bando europeo per la formazione di un Repertorio di progetti per edifici residenziali ad alte prestazioni e basso costo
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/667388,2012,"San Gregorio (Aq), Italia",07 ALTRO::07.13 Progetti,-,-,di progettazione,ita,-,12,Presidenza del Consiglio dei Ministri. Commissario Delegato per la Ricostruzione (Ufficio del Vicecommissario delegato per la tutela dei Beni Culturali).,"P. Rocchi;D. Groos;DOCCI, MARIO;C. Bianchini;A. Roca De Amicis;D. Esposito;C. Bartolozzi;BRUSCHI, ANDREA;M. Gaiani;G. Santi;D. Casertano;PIERLUISI, GABRIELE","Concorso di idee per la ricostruzione della “Chiesa di san Gregorio Magno” (AQ), Italia."
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/667391,2008,"Roma, Italia",07 ALTRO::07.13 Progetti,-,-,Concorso Internazionale di Progettazione a Grado Unico Ristretto,ita,-,6,AMA - Comune di Roma,"E. Avallone;G. Forte;M. Musmeci;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari",Concorso Internazionale di Progettazione a Grado Unico Ristretto: “Amamontagnola” Roma.
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/667393,2007,"Roma, Italia",07 ALTRO::07.13 Progetti,-,-,Concorso Internazionale di progettazione a Procedura ristretta,ita,-,6,Comune di Roma – Assessorato alle Politiche della Programmazione e Pianificazione del Territorio – Roma Capitale – Dipartimento VI – U.O. 11 – Interventi di Qualità.,"E. Avallone;G. Forte;M. Musmeci;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari","Concorso Internazionale di progettazione a Procedura ristretta  “MENO È PIÙ 2”, Servizi e spazi pubblici in Roma nei Programmi di Trasformazione Urbanistica. Tor Marancia Area del Divino Amore."
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/667394,2006,"Roma, Italia",07 ALTRO::07.13 Progetti,-,-,"Concorso di Progettazione, Project Financing",ita,-,6,Roma Metropolitane S.r.l.,"Mandataria Società Italiana per le Condotte D'acqua;Mandante Impresa Pizzarotti;C.;Responsabile del progetto Geodeta S. p. a.;G. Fioravanti;F. Galdo;PIERLUISI, GABRIELE","Concorso di Progettazione, Project Financing, Metro D Roma, Fermate Ojetti e Pugliese e Nuovo Salario."
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/667397,2005,"Antalya, Turkey",07 ALTRO::07.13 Progetti,-,-,Concorso Internazionale Europan 8,eng,-,3,Europan association-city of antalya,"E. Avallone;G. Forte;PIERLUISI, GABRIELE","Concorso Internazionale Europan 8, “Urbanità europea e progetti strategici”, sito di Antalya, Turchia"
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/667402,2003,"Bagheria (PA), Italia",07 ALTRO::07.13 Progetti,-,-,Concorso Internazionale Europan 7,ita,-,6,Europan Italia_Comune di Bagheria,"E. Avallone;M. De Angelis;G. Forte;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari","Concorso Internazionale Europan 7: “periferia-IN” sito di Bageria (PA), Italia"
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/667405,2003,"Teramo, Italia",07 ALTRO::07.13 Progetti,-,-,Concorso internazionale di progettazione in due fasi,ita,-,8,Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise,"E. Avallone;M. Cocciolito;F. Galdo;G. Lupoi;M. Musmeci;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari","Concorso internazionale di progettazione in due fasi “Mille idee per un concorso” per la costruzione della nuova sede dell'Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise, Teramo."
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/667407,2002,"EUR, Roma, Italia",07 ALTRO::07.13 Progetti,-,-,Concorso internazionale ad inviti,ita,-,10,Ministero per i Beni Culturali. Ente E.U.R.,"E. Avallone;CARBONARA, GIANNI;G. Colucci;M. Fegiz;F. Galdo;M. Musmeci;S. Orsi;PIERLUISI, GABRIELE;M. sasso;A. Sciolari",Concorso internazionale ad inviti per la realizzazione del “Museo dell'audiovisivo nel Palazzo della Civiltà del Lavoro all' EUR” Roma
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/667409,2001,"Massa, Italia",07 ALTRO::07.13 Progetti,-,-,Concorso Internazionale di progettazione Europan 6,ita,-,7,Europan Italia e Comune di Massa.,"E. Avallone;L. Montuori;M. Musmeci;R. Petrachi;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari","Concorso Internazionale Europan 6, “Urbanità europea e progetti strategici”, Sito di Massa, Italia."
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/667411,2001,"Roma, Italia",07 ALTRO::07.13 Progetti,-,-,Concorso internazionale di progettazione,ita,-,7,S.T.A. Comune di Roma,"E. Avallone;M. Fegiz;F. Galdo;M. Musmeci;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari",Concorso internazionale di progettazione “Tre Parcheggi di scambio” Roma Nuovo Salario.
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/667413,2000,"Roma, Italia",07 ALTRO::07.13 Progetti,-,-,Concorso internazionale in due fasi,ita,-,6,Comune di Roma,"E. Avallone;L. Montuori;R. Petrachi;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari",Concorso internazionale in due fasi “Ampliamento della Galleria Comunale d'Arte Moderna e Contemporanea. Ex-Fabbrica Peroni” a Roma.
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/667420,1999,"Sarajevo, Jugoslavia",07 ALTRO::07.13 Progetti,-,-,Concorso internazionale di progettazione,eng,-,5,Comune di Sarajevo,"E. Avallone;L. Montuori;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari",Concorso internazionale “Sarajevo Concert Hall” Nuovo auditorium di Sarajevo
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/669549,2012,Curitiba,07 ALTRO::07.13 Progetti,-,-,progettazione preliminare,por,-,6,Universidade Federal do Paraná,"R. Righi;NEBULONI, ATTILIO;B. Carreño;B. R. Padovano;BLASI, CESARE;PADOVANO, GABRIELLA",Concurso Público Nacional de anteprojetos de arquitetura para o Campus Cabral da Universidade Federal do Paraná – Curitiba
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/689382,2003,Bari,07 ALTRO::07.13 Progetti,-,-,Progettazione,ita,-,5,Regione Puglia,"P. Portoghesi;BLASI, CESARE;PADOVANO, GABRIELLA;NEBULONI, ATTILIO;M. Ruscelli",Nuova Sede del Consiglio Regionale
