dc.publisher.place,dc.relation.medium,item.openaireRights,item.collection,dc.subject.keywordsita,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.relation.conferenceplace,dc.type.full,dc.type.circulation,dc.relation.ispartofbook,dc.relation.conferencename,dc.language.iso,dc.publisher.country,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.title
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/758842,2010,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,1,-,"GEROSA, GIULIA MARIA",BiNOMi – Biennale Nord Ovest Milano
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/758847,2009,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,2,-,"GEROSA, GIULIA MARIA;M. Berghinz",Time To Design
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/758848,2009,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,3,-,"GEROSA, GIULIA MARIA;COLLINA, LUISA MARIA VIRGINIA;BRANZI, ANDREA",Opening Soon
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/758849,2006,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,1,-,"GEROSA, GIULIA MARIA",Texture & Materials – Urban Light Walk
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/766134,2012,-,07 ALTRO::07.06 Mostra,-,-,-,eng;ita,-,2,"Galleria Subalterno1, Via Conte Rosso 22, MIlano","MAFFEI, STEFANO;S. Micelli;BOLZAN, PATRIZIA;M. Pirovano;A. Gianni",Analogico/Digitale
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/766135,2011,-,07 ALTRO::07.06 Mostra,-,-,-,eng;ita,-,3,"Galleria Subalterno1, Via Conte Rosso 22, MIlano","MAFFEI, STEFANO;GIANNI, ANDREA ENRICO;BOLZAN, PATRIZIA",Autoproduzioni Italiane
Torino _ 2013,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/813518,2013,-,07 ALTRO::07.06 Mostra,-,Catalogo Mostra Operae - Indipendent Design Festival,-,ita,-,1,le officine poligrafiche MLC,"MURANO, FRANCESCO","Casa Diaz - Design Autoprodotto
in Operae - Indipendent Design Festival 2013"
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/826341,2013,-,07 ALTRO::07.06 Mostra,-,Campo dei Fiori Patrimonio Unesco. Decennale Sito Unesco Sacri Monti del Piemonte e della Lombardia,-,ita,ITA,3,"Consorzio Parco Regionale - Campo dei Fiori- Brinzio, Comune di Varese","A. Baila;ANZANI, ANNA;E. Guglielmi",Viaggiando Liberty - Percorsi di architettura lungo i sentieri del Parco
Gallarate,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/826342,2013,-,07 ALTRO::07.06 Mostra,-,-,-,ita,ITA,4,"Delegazione FAI del Seprio, con il Patrocinio del Comune di Gallarate","ANZANI, ANNA;A. Baila;CARAMEL, CLAUDIA;GUARISCO, MARGHERITA",FAIMarathon2013 - Presenze Liberty a Gallarate
Milano,-,info:eu-repo/semantics/closedAccess,07.06 Mostra,-,-,http://hdl.handle.net/11311/828325,2013,-,07 ALTRO::07.06 Mostra,-,-,-,eng;ita,ITA,2,Consorzio POLI.Design,"ARQUILLA, VENANZIO;PARINI, BARBARA",A Designer A Day 2013
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/845779,2013,-,07 ALTRO::07.06 Mostra,-,-,-,ita;eng,-,11,Triennale di Milano,"BUCCI, FEDERICO;BIAGI, MARCO ENZO;BOERI, ELISA;Dario Costi;CRIPPA, DAVIDE;DI PRETE, BARBARA;FERRARI, MASSIMO;Marco Introini;Lucia Miodini;Luigi Spinelli;TINAZZI, CLAUDIA",Senza Pericolo! Costruzioni e Sicurezza
Milano,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/846007,2013,-,07 ALTRO::07.06 Mostra,-,"Mostra Tech Stories presso il Museo Nazionale della Scienza e della Tecnologia Leonardo da Vinci, Milano, dal 13 giugno 2013 al 5 gennaio 2014",-,ita;eng,ITA,6,POLIMI,"BUCCI, FEDERICO;COLLINA, LUISA MARIA VIRGINIA;A. Colombo;B. Finessi;PROTASONI, SARA;E. Rovida",Tech Stories
MILANO,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/880555,2014,-,07 ALTRO::07.06 Mostra,-,-,-,ita;eng,-,4,Triennale di Milano,"CONTI, GIOVANNI MARIA;DEL CURTO, BARBARA;FIORANI, ELEONORA;SOLDATI, MARIA GRAZIA","TEXTILE VIVANT.
Percorsi, esperienze e ricerche del textile design
Tracks, experiences and Researches in textile design"
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/898355,2014,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,1,-,"FINESSI, GIUSEPPE",IL DESIGN ITALIANO OLTRE LE CRISI. AUTARCHIA AUSTERITA' AUTOPRODUZIONE
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/924563,2013,-,07 ALTRO::07.06 Mostra,-,-,-,eng;ita,-,1,-,"FINESSI, GIUSEPPE",INTORNO AL LIBRO. TRA ARTE E DESIGN
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/924564,2013,-,07 ALTRO::07.06 Mostra,-,-,-,ita;eng,-,1,-,"FINESSI, GIUSEPPE",PROGETTO CIBO. LA FORMA DEL GUSTO
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/924565,2014,-,07 ALTRO::07.06 Mostra,-,-,-,ita;eng,-,1,-,"FINESSI, GIUSEPPE",LA CASA MORBIDA. Tra arte e design
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/924756,2009,-,07 ALTRO::07.06 Mostra,-,-,-,eng;ita,-,1,-,"FINESSI, GIUSEPPE",PAOLO ULIAN 1990-2009
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/924757,2011,-,07 ALTRO::07.06 Mostra,-,-,-,-,-,1,-,"FINESSI, GIUSEPPE",DI VASO IN FIORE
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/924758,2010,-,07 ALTRO::07.06 Mostra,-,-,-,eng;ita,-,1,-,"FINESSI, GIUSEPPE",GIOVANNI LEVANTI
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/925361,2009,-,07 ALTRO::07.06 Mostra,-,-,-,eng;ita,-,1,-,"FINESSI, GIUSEPPE",ANGELO MANGIAROTTI SCOLPIRE/COSTRUIRE
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/925756,2009,-,07 ALTRO::07.06 Mostra,-,-,-,ita;eng,-,1,-,"FINESSI, GIUSEPPE",ALESSANDRO MENDINI
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/925757,2009,-,07 ALTRO::07.06 Mostra,-,-,-,eng;ita,-,3,-,"Giacinto Di Pietrantonio;Enrico Leonardo Fagone;FINESSI, GIUSEPPE",PIO MANZU'. Quando il mondo era moderno.
-,-,none,07.06 Mostra,-,-,http://hdl.handle.net/11311/925758,2008,-,07 ALTRO::07.06 Mostra,-,-,-,ita;eng,-,1,-,"FINESSI, GIUSEPPE","""FABIO NOVEMBRE. Insegna anche a me la libertà delle rondini""."
Milano,-,info:eu-repo/semantics/closedAccess,07.06 Mostra,-,Milano; architettura,http://hdl.handle.net/11311/957975,2015,-,07 ALTRO::07.06 Mostra,-,Milano mai vista,-,ita,ITA,2,Editoriale Domus,"IRACE, FULVIO;NERI, GABRIELE",Milano mai vista
-,-,info:eu-repo/semantics/closedAccess,07.06 Mostra,-,metropolitana; Franco Albini; Bob Noorda,http://hdl.handle.net/11311/958564,2014,-,07 ALTRO::07.06 Mostra,-,-,-,ita,-,1,-,"BOSONI, GIAMPIERO","Milano Sottosopra, 50° anniversario della Rossa"
Varese,STAMPA,info:eu-repo/semantics/closedAccess,07.06 Mostra,"Varese, Liberty, catalogazione, rilievo fotografico, conservazione",-,http://hdl.handle.net/11311/959240,2015,-,07 ALTRO::07.06 Mostra,-,-,-,ita,ITA,5,-,"BAILA, ANGELA;ANZANI, ANNA;Guglielmi, E.;CARAMEL, CLAUDIA;Niglia, D.","Censire la Bellezza - Dal 28 febbraio al 10 marzo presso la Galleria 96 Metricubi d'arte - via Parini 8, Gallarate"
Milano,-,info:eu-repo/semantics/closedAccess,07.06 Mostra,-,Design; Autoproduzione; Food Design,http://hdl.handle.net/11311/960010,2014,-,07 ALTRO::07.06 Mostra,-,-,-,ita;eng,ITA,2,Consorzio POLI.Design,"ARQUILLA, VENANZIO;PARINI, BARBARA",A Designer A Day (ADAD) 2014
