title,author,year,type,keywords,cluster
Sistema Produto+Serviço Sustentável: Fundamentos,Vezzoli C.;Kohtala C.;Srinivasan A.;Xin L. Aguinaldo dos Santos;Liliane Iten Chaves;Leonardo A. G. Castillo;Carla. R. P. Gómez;Viviane G. A. Nunes;Priscilla R. Lepre;Rita C. Engler;Suzana B. Martins,2018,03.1 Monografia o trattato scientifico,-,nocluster
La fabbrica del Rinascimento. Frédéric Spitzer mercante d'arte e collezionista nell'Europa e delle nuove nazioni,"Cordera, Paola",2014,03.1 Monografia o trattato scientifico,-,nocluster
"Codex Atlanticus. L’architettura, le feste e gli apparati. Disegni di Leonardo dal Codice Atlantico",Cordera Paola,2010,03.1 Monografia o trattato scientifico,-,nocluster
Nutrirsi per immagini. Scritti di Alberto Veca per la gola,giovanni baule;valeria bucchetti;alberto capatti;giulio ceppi;claudio cerritelli;elisabetta longari;giacomo mojoli;ida regalia,2016,03.1 Monografia o trattato scientifico,-,nocluster
Idea and the matter,Marinela ferrara;giulio ceppi,2018,03.1 Monografia o trattato scientifico,-,nocluster
Scollamenti temporali,Giulio ceppi,2018,03.1 Monografia o trattato scientifico,-,nocluster
L'isola rovescia,Giulio Ceppi,2015,03.1 Monografia o trattato scientifico,-,nocluster
MakeToCare. An ecosystem of actors and user-centred solutions for innovation in the healthcare sector,Maffei S.;Bianchini M.;Parini B.;Delli Zotti,2018,03.1 Monografia o trattato scientifico,-,nocluster
Handbook of Research on Form and Morphogenesis in Modern Architectural Contexts,"Alessio Erioli;Maria Voyatzaki;Dimitris Gourdoukis;Fabio Bianconi;Marco Filippucci;Matteo Margutti;Margherita Stramaccia;Roberto Naboni;Ingrid Paoletti;Tommaso Empler;Mauro Chiarella;Matias Dalla Costa;Alessandro Luigini;Starlight Vattano;Andrea Vanossi;Ioanna Symeonidou;Domenico D’Uva;LO TURCO, MASSIMILIANO;BAUSOLA PAGLIERO, YOSEPH;Alessandro Buffi;Buthayna Hasan Eilouti;Giuseppe Amoruso;Giuseppe Fallacara;Maurizio Barberio;Pierpaolo Ruttico;Stefano Converso;Simone Giostra;Vito Sirago",2018,03.1 Monografia o trattato scientifico,-,nocluster
TRANSMEDIA DESIGN FRAMEWORK. Design-Oriented Approach to Transmedia Practice,M. Ciancia,2018,03.1 Monografia o trattato scientifico,-,nocluster
Monoloco stories,Barbara Anna,2018,03.1 Monografia o trattato scientifico,-,nocluster
Organizzazione e gestione della comunicazione nella pubblica amministrazione,"FIGIANI, MAURIZIO",2006,03.1 Monografia o trattato scientifico,-,nocluster
Trans-Alps: a trasnport model to support the traffic management,"R. Arditi;R. Javicoli;MAJA, ROBERTO;PONTI, MARCO;SALA, GABRIELLA;STUDER, LUCA PASINO;VERONESI, ELEONORA",2006,03.1 Monografia o trattato scientifico,-,nocluster
L’uso della falsa prospettiva come strumento di gestione degli spazi architettonici. La prospettiva nella scenografia di Europa riconosciuta,"BREVI, FAUSTO",2005,03.1 Monografia o trattato scientifico,-,nocluster
Requisiti ecosistemici degli edifici residenziali. L'esperienza di Bovisa 90 - La Casa ecologica.,"S. Pangrazzi;PIARDI, SILVIA ELVIRA MARIA",2005,03.1 Monografia o trattato scientifico,-,nocluster
"Design e Metaprogetto. Teorie, strumenti, pratiche","COLLINA, LUISA MARIA VIRGINIA",2005,03.1 Monografia o trattato scientifico,-,nocluster
Moda e design: il progetto dell'eccellenza,"CAPPELLIERI, ALBA",2007,03.1 Monografia o trattato scientifico,-,nocluster
Esercizi di stile,"FERRARIS, SILVIA DEBORAH;MAIOCCHI, MARCO MARIA;M. Romero",2006,03.1 Monografia o trattato scientifico,-,nocluster
Movie Design. Scenari progettuali per il design della comunicazione audiovisiva e multimediale,"GALBIATI, MARIA LUISA",2005,03.1 Monografia o trattato scientifico,-,nocluster
Sinestesia e progetto,"RICCO', DINA",2007,03.1 Monografia o trattato scientifico,-,nocluster
Come inventare e progettare alla maniera di Poe. Filosofia della composizione,"BONFANTINI, MASSIMO ACHILLE;G. Proni;TERENZI, MARINA TATIANA;ZINGALE, SALVATORE",2005,03.1 Monografia o trattato scientifico,-,nocluster
La progettazione web. Il design per la rete tra esperienza e interfacce,"BRUGNOLI, GIANLUCA",2004,03.1 Monografia o trattato scientifico,"interaction design, web design, digital design",nocluster
